time_rep_period,total_cost,Run_time
352,4707.825142145434,15.827000141143799
639,4764.28202599934,33.09700012207031
721,4731.881782518054,24.46399998664856
434,4789.224692826161,23.447999954223633
885,4783.868382146021,27.367000102996826
24,4679.923688974134,0.6759998798370361
967,4871.339765635463,34.37599992752075
803,4784.540232994073,33.19000005722046
188,4694.439245562051,6.229000091552734
926,4825.402861939451,32.29699993133545
311,4781.547073259066,13.211999893188477
1008,4787.590572384332,28.786999940872192
106,4543.958387513479,3.5759999752044678
270,4628.974161591642,12.07200002670288
762,4840.17025248896,38.681999921798706
516,4561.4633814799,26.907000064849854
393,4696.295626674968,19.675999879837036
598,4809.731381458196,23.26699995994568
844,4840.99681806343,29.06599998474121
475,4838.765064657375,22.670000076293945
65,4733.272625057451,1.7919998168945312
557,4770.673224018501,23.09599995613098
229,4830.598707327878,8.807999849319458
680,4712.95879796658,33.16900014877319
147,4590.464234761984,9.440999984741211
