MinCapReqConstraint,ConstraintDescription,Min_MW
1,MA_natural_gas_combined_cycle,13941.787016063121
2,CT_natural_gas_combined_cycle,4107.634753933652
3,ME_natural_gas_combined_cycle,155.76367708598087
4,MA_solar_pv,5000.0
5,CT_onshore_wind,10000.0
6,CT_solar_pv,0.0
7,ME_onshore_wind,113.34010659501627
