Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,3,3
4,4,4
5,10,7
6,6,5
7,2,2
8,19,14
9,9,6
10,10,7
11,11,8
12,12,9
13,13,10
14,14,11
15,15,12
16,12,9
17,15,12
18,18,13
19,19,14
20,14,11
21,21,15
22,22,16
23,13,10
