Time_Index,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery
85,1.0,1.0,1.0,0.407108,0.3383,0.4496,0.4496,1.0
86,1.0,1.0,1.0,0.324624,0.2956,0.4072,0.4072,1.0
87,1.0,1.0,1.0,0.221765,0.3247,0.3916,0.3916,1.0
88,1.0,1.0,1.0,0.069622,0.315,0.3658,0.3658,1.0
89,1.0,1.0,1.0,0.007988,0.3967,0.3265,0.3265,1.0
90,1.0,1.0,1.0,0.0,0.4368,0.3331,0.3331,1.0
91,1.0,1.0,1.0,0.0,0.5036,0.3885,0.3885,1.0
92,1.0,1.0,1.0,0.0,0.5107,0.4872,0.4872,1.0
93,1.0,1.0,1.0,0.0,0.4761,0.5722,0.5722,1.0
94,1.0,1.0,1.0,0.0,0.4146,0.6483,0.6483,1.0
95,1.0,1.0,1.0,0.0,0.3286,0.7089,0.7089,1.0
96,1.0,1.0,1.0,0.0,0.3145,0.7453,0.7453,1.0
97,1.0,1.0,1.0,0.0,0.2729,0.8083,0.8083,1.0
98,1.0,1.0,1.0,0.0,0.2936,0.7498,0.7498,1.0
99,1.0,1.0,1.0,0.0,0.2443,0.7304,0.7304,1.0
100,1.0,1.0,1.0,0.0,0.2332,0.7256,0.7256,1.0
101,1.0,1.0,1.0,0.0,0.2005,0.6366,0.6366,1.0
102,1.0,1.0,1.0,0.0,0.1586,0.5476,0.5476,1.0
103,1.0,1.0,1.0,0.0,0.1974,0.4716,0.4716,1.0
104,1.0,1.0,1.0,0.006201,0.1816,0.3765,0.3765,1.0
105,1.0,1.0,1.0,0.075193,0.1471,0.3187,0.3187,1.0
106,1.0,1.0,1.0,0.139256,0.1163,0.2669,0.2669,1.0
107,1.0,1.0,1.0,0.23994,0.123,0.249,0.249,1.0
108,1.0,1.0,1.0,0.329741,0.1716,0.2113,0.2113,1.0
109,1.0,1.0,1.0,0.258375,0.2087,0.2205,0.2205,1.0
110,1.0,1.0,1.0,0.206627,0.1706,0.2684,0.2684,1.0
111,1.0,1.0,1.0,0.138238,0.1629,0.3385,0.3385,1.0
112,1.0,1.0,1.0,0.056555,0.1423,0.4316,0.4316,1.0
113,1.0,1.0,1.0,0.005001,0.1195,0.4747,0.4747,1.0
114,1.0,1.0,1.0,0.0,0.1047,0.4876,0.4876,1.0
115,1.0,1.0,1.0,0.0,0.133,0.4593,0.4593,1.0
116,1.0,1.0,1.0,0.0,0.1245,0.4836,0.4836,1.0
117,1.0,1.0,1.0,0.0,0.1349,0.4721,0.4721,1.0
118,1.0,1.0,1.0,0.0,0.1442,0.4655,0.4655,1.0
119,1.0,1.0,1.0,0.0,0.1808,0.4777,0.4777,1.0
120,1.0,1.0,1.0,0.0,0.1988,0.517,0.517,1.0
121,1.0,1.0,1.0,0.0,0.2877,0.4704,0.4704,1.0
122,1.0,1.0,1.0,0.0,0.3486,0.4344,0.4344,1.0
123,1.0,1.0,1.0,0.0,0.3187,0.394,0.394,1.0
124,1.0,1.0,1.0,0.0,0.3047,0.3756,0.3756,1.0
125,1.0,1.0,1.0,0.0,0.3184,0.3989,0.3989,1.0
126,1.0,1.0,1.0,0.0,0.2849,0.3813,0.3813,1.0
127,1.0,1.0,1.0,0.0,0.4048,0.3882,0.3882,1.0
128,1.0,1.0,1.0,0.002592,0.2637,0.3821,0.3821,1.0
129,1.0,1.0,1.0,0.047529,0.1761,0.3833,0.3833,1.0
130,1.0,1.0,1.0,0.105455,0.1319,0.4538,0.4538,1.0
131,1.0,1.0,1.0,0.177548,0.1098,0.4808,0.4808,1.0
132,1.0,1.0,1.0,0.187337,0.0834,0.5001,0.5001,1.0
133,1.0,1.0,1.0,0.174017,0.0584,0.4823,0.4823,1.0
134,1.0,1.0,1.0,0.120045,0.0487,0.3416,0.3416,1.0
135,1.0,1.0,1.0,0.068626,0.0531,0.2936,0.2936,1.0
136,1.0,1.0,1.0,0.025145,0.108,0.2572,0.2572,1.0
137,1.0,1.0,1.0,0.000401,0.1421,0.2142,0.2142,1.0
138,1.0,1.0,1.0,0.0,0.1817,0.1714,0.1714,1.0
139,1.0,1.0,1.0,0.0,0.1432,0.216,0.216,1.0
140,1.0,1.0,1.0,0.0,0.1089,0.3941,0.3941,1.0
141,1.0,1.0,1.0,0.0,0.0873,0.6057,0.6057,1.0
142,1.0,1.0,1.0,0.0,0.0855,0.6981,0.6981,1.0
143,1.0,1.0,1.0,0.0,0.0723,0.7049,0.7049,1.0
144,1.0,1.0,1.0,0.0,0.0588,0.7603,0.7603,1.0
145,1.0,1.0,1.0,0.0,0.161,0.8156,0.8156,1.0
146,1.0,1.0,1.0,0.0,0.264,0.839,0.839,1.0
147,1.0,1.0,1.0,0.0,0.3644,0.8865,0.8865,1.0
148,1.0,1.0,1.0,0.0,0.4102,0.8999,0.8999,1.0
149,1.0,1.0,1.0,0.0,0.4958,0.9022,0.9022,1.0
150,1.0,1.0,1.0,0.0,0.6997,0.9009,0.9009,1.0
151,1.0,1.0,1.0,0.0,0.6315,0.8918,0.8918,1.0
152,1.0,1.0,1.0,0.0012,0.6596,0.8617,0.8617,1.0
153,1.0,1.0,1.0,0.011812,0.7224,0.8341,0.8341,1.0
154,1.0,1.0,1.0,0.015768,0.7239,0.789,0.789,1.0
155,1.0,1.0,1.0,0.02836,0.6923,0.743,0.743,1.0
156,1.0,1.0,1.0,0.032068,0.6814,0.764,0.764,1.0
157,1.0,1.0,1.0,0.036363,0.6321,0.7702,0.7702,1.0
158,1.0,1.0,1.0,0.032142,0.6356,0.7851,0.7851,1.0
159,1.0,1.0,1.0,0.023582,0.6892,0.7782,0.7782,1.0
160,1.0,1.0,1.0,0.010596,0.6802,0.7995,0.7995,1.0
161,1.0,1.0,1.0,0.000801,0.7041,0.7509,0.7509,1.0
162,1.0,1.0,1.0,0.0,0.6647,0.7345,0.7345,1.0
163,1.0,1.0,1.0,0.0,0.6406,0.7315,0.7315,1.0
164,1.0,1.0,1.0,0.0,0.6119,0.7995,0.7995,1.0
165,1.0,1.0,1.0,0.0,0.5961,0.834,0.834,1.0
166,1.0,1.0,1.0,0.0,0.5397,0.8655,0.8655,1.0
167,1.0,1.0,1.0,0.0,0.5281,0.8639,0.8639,1.0
168,1.0,1.0,1.0,0.0,0.4867,0.8686,0.8686,1.0
169,1.0,1.0,1.0,0.0,0.4887,0.8814,0.8814,1.0
170,1.0,1.0,1.0,0.0,0.4312,0.887,0.887,1.0
171,1.0,1.0,1.0,0.0,0.4527,0.8765,0.8765,1.0
172,1.0,1.0,1.0,0.0,0.446,0.8724,0.8724,1.0
173,1.0,1.0,1.0,0.0,0.4599,0.8484,0.8484,1.0
174,1.0,1.0,1.0,0.0,0.3941,0.8169,0.8169,1.0
175,1.0,1.0,1.0,0.0,0.364,0.7959,0.7959,1.0
176,1.0,1.0,1.0,0.009594,0.3629,0.7563,0.7563,1.0
177,1.0,1.0,1.0,0.131231,0.3296,0.7583,0.7583,1.0
178,1.0,1.0,1.0,0.339471,0.2761,0.7223,0.7223,1.0
179,1.0,1.0,1.0,0.499443,0.2993,0.5991,0.5991,1.0
180,1.0,1.0,1.0,0.590255,0.3488,0.5144,0.5144,1.0
181,1.0,1.0,1.0,0.518523,0.4315,0.4092,0.4092,1.0
182,1.0,1.0,1.0,0.378928,0.3358,0.3249,0.3249,1.0
183,1.0,1.0,1.0,0.272506,0.2297,0.2776,0.2776,1.0
184,1.0,1.0,1.0,0.101569,0.2279,0.2766,0.2766,1.0
185,1.0,1.0,1.0,0.006206,0.3443,0.278,0.278,1.0
186,1.0,1.0,1.0,0.0,0.4118,0.2762,0.2762,1.0
187,1.0,1.0,1.0,0.0,0.4981,0.3065,0.3065,1.0
188,1.0,1.0,1.0,0.0,0.4995,0.3394,0.3394,1.0
189,1.0,1.0,1.0,0.0,0.5976,0.4351,0.4351,1.0
190,1.0,1.0,1.0,0.0,0.5471,0.584,0.584,1.0
191,1.0,1.0,1.0,0.0,0.5636,0.7089,0.7089,1.0
192,1.0,1.0,1.0,0.0,0.5123,0.8274,0.8274,1.0
193,1.0,1.0,1.0,0.0,0.4956,0.8713,0.8713,1.0
194,1.0,1.0,1.0,0.0,0.4613,0.8818,0.8818,1.0
195,1.0,1.0,1.0,0.0,0.4167,0.873,0.873,1.0
196,1.0,1.0,1.0,0.0,0.4017,0.8752,0.8752,1.0
197,1.0,1.0,1.0,0.0,0.3374,0.8596,0.8596,1.0
198,1.0,1.0,1.0,0.0,0.323,0.8476,0.8476,1.0
199,1.0,1.0,1.0,0.0,0.3088,0.8601,0.8601,1.0
200,1.0,1.0,1.0,0.003186,0.2377,0.851,0.851,1.0
201,1.0,1.0,1.0,0.016277,0.2345,0.8708,0.8708,1.0
202,1.0,1.0,1.0,0.059544,0.2219,0.8855,0.8855,1.0
203,1.0,1.0,1.0,0.091899,0.1875,0.8843,0.8843,1.0
204,1.0,1.0,1.0,0.104004,0.1215,0.8897,0.8897,1.0
205,1.0,1.0,1.0,0.100798,0.1209,0.8842,0.8842,1.0
206,1.0,1.0,1.0,0.077691,0.0837,0.8873,0.8873,1.0
207,1.0,1.0,1.0,0.044823,0.0883,0.886,0.886,1.0
208,1.0,1.0,1.0,0.019052,0.0892,0.8887,0.8887,1.0
209,1.0,1.0,1.0,0.002797,0.174,0.8876,0.8876,1.0
210,1.0,1.0,1.0,0.0,0.2224,0.8807,0.8807,1.0
211,1.0,1.0,1.0,0.0,0.1422,0.8792,0.8792,1.0
212,1.0,1.0,1.0,0.0,0.1118,0.8499,0.8499,1.0
213,1.0,1.0,1.0,0.0,0.1168,0.8246,0.8246,1.0
214,1.0,1.0,1.0,0.0,0.1501,0.8257,0.8257,1.0
215,1.0,1.0,1.0,0.0,0.1818,0.8171,0.8171,1.0
216,1.0,1.0,1.0,0.0,0.1575,0.8552,0.8552,1.0
217,1.0,1.0,1.0,0.0,0.2168,0.869,0.869,1.0
218,1.0,1.0,1.0,0.0,0.2707,0.848,0.848,1.0
219,1.0,1.0,1.0,0.0,0.3736,0.8596,0.8596,1.0
220,1.0,1.0,1.0,0.0,0.3046,0.8531,0.8531,1.0
221,1.0,1.0,1.0,0.0,0.3592,0.8433,0.8433,1.0
222,1.0,1.0,1.0,0.0,0.2978,0.8472,0.8472,1.0
223,1.0,1.0,1.0,0.0,0.3299,0.8335,0.8335,1.0
224,1.0,1.0,1.0,0.006204,0.3541,0.8197,0.8197,1.0
225,1.0,1.0,1.0,0.073384,0.4021,0.8189,0.8189,1.0
226,1.0,1.0,1.0,0.192576,0.3645,0.8207,0.8207,1.0
227,1.0,1.0,1.0,0.271153,0.3874,0.8338,0.8338,1.0
228,1.0,1.0,1.0,0.291664,0.3894,0.8196,0.8196,1.0
229,1.0,1.0,1.0,0.246028,0.4031,0.8032,0.8032,1.0
230,1.0,1.0,1.0,0.19043,0.5213,0.7929,0.7929,1.0
231,1.0,1.0,1.0,0.102628,0.6103,0.7681,0.7681,1.0
232,1.0,1.0,1.0,0.04275,0.6378,0.7995,0.7995,1.0
233,1.0,1.0,1.0,0.005192,0.7135,0.7966,0.7966,1.0
234,1.0,1.0,1.0,0.0,0.6394,0.8225,0.8225,1.0
235,1.0,1.0,1.0,0.0,0.6457,0.8159,0.8159,1.0
236,1.0,1.0,1.0,0.0,0.6499,0.7879,0.7879,1.0
237,1.0,1.0,1.0,0.0,0.6222,0.7756,0.7756,1.0
238,1.0,1.0,1.0,0.0,0.5079,0.7106,0.7106,1.0
239,1.0,1.0,1.0,0.0,0.4415,0.6252,0.6252,1.0
240,1.0,1.0,1.0,0.0,0.4513,0.5549,0.5549,1.0
241,1.0,1.0,1.0,0.0,0.395,0.5138,0.5138,1.0
242,1.0,1.0,1.0,0.0,0.4489,0.4343,0.4343,1.0
243,1.0,1.0,1.0,0.0,0.3228,0.3142,0.3142,1.0
244,1.0,1.0,1.0,0.0,0.2343,0.2416,0.2416,1.0
245,1.0,1.0,1.0,0.0,0.1858,0.1596,0.1596,1.0
246,1.0,1.0,1.0,0.0,0.1278,0.1,0.1,1.0
247,1.0,1.0,1.0,0.0,0.0905,0.0782,0.0782,1.0
248,1.0,1.0,1.0,0.001804,0.0682,0.0835,0.0835,1.0
249,1.0,1.0,1.0,0.018221,0.0841,0.0804,0.0804,1.0
