natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.0,0.4379,0.7539,0.7539,1.0,1
1.0,1.0,1.0,0.19306815384615383,0.30342307692307696,0.3565307692307692,0.3565307692307692,1.0,2
1.0,1.0,1.0,0.257541,0.1152,0.3286,0.3286,1.0,3
1.0,1.0,1.0,0.0752197372881356,0.47184519774011296,0.625445197740113,0.625445197740113,1.0,4
1.0,1.0,1.0,0.325662,0.3861,0.0907,0.0907,1.0,5
1.0,1.0,1.0,0.07606782578397213,0.471389198606272,0.6171965156794423,0.6171965156794423,1.0,6
1.0,1.0,1.0,0.205142,0.7297,0.4162,0.4162,1.0,7
1.0,1.0,1.0,0.264187,0.58335,0.24995,0.24995,1.0,8
1.0,1.0,1.0,0.05640215,0.44460999999999995,0.6717300000000002,0.6717300000000002,1.0,9
1.0,1.0,1.0,0.185979,0.8375,0.8207,0.8207,1.0,10
1.0,1.0,1.0,0.4644513333333333,0.8236499999999999,0.72865,0.72865,1.0,11
1.0,1.0,1.0,0.09507619642857147,0.422550595238095,0.5216549107142858,0.5216549107142858,1.0,12
1.0,1.0,1.0,0.272578,0.7726,0.6802,0.6802,1.0,13
1.0,1.0,1.0,0.03290841463414635,0.3302292682926829,0.5739585365853659,0.5739585365853659,1.0,14
1.0,1.0,1.0,0.389673,0.3998,0.8653,0.8653,1.0,15
1.0,1.0,1.0,0.26744285714285715,0.3620857142857143,0.4062214285714285,0.4062214285714285,1.0,16
1.0,1.0,1.0,0.129951102189781,0.42675656934306544,0.5610948905109494,0.5610948905109494,1.0,17
1.0,1.0,1.0,0.518172,0.3881,0.6414,0.6414,1.0,18
1.0,1.0,1.0,0.7394122000000001,0.27988,0.8141400000000001,0.8141400000000001,1.0,19
1.0,1.0,1.0,0.15236461853448272,0.41476637931034527,0.4147890086206894,0.4147890086206894,1.0,20
1.0,1.0,1.0,0.1943033702342674,0.32723748277446074,0.4104478180983004,0.4104478180983004,1.0,21
1.0,1.0,1.0,0.29936,0.3993,0.8157,0.8157,1.0,22
1.0,1.0,1.0,0.26465263636363634,0.45456818181818176,0.4933409090909091,0.4933409090909091,1.0,23
1.0,1.0,1.0,0.489387,0.4444,0.5093,0.5093,1.0,24
1.0,1.0,1.0,0.22977541769041762,0.33308058968058973,0.28597174447174445,0.28597174447174445,1.0,25
1.0,1.0,1.0,0.418689,0.4156,0.7927,0.7927,1.0,26
1.0,1.0,1.0,0.08015080000000001,0.38072,0.8852399999999999,0.8852399999999999,1.0,27
1.0,1.0,1.0,0.07309341666666667,0.5145833333333333,0.7911583333333333,0.7911583333333333,1.0,28
1.0,1.0,1.0,0.6058365,0.42097500000000004,0.436,0.436,1.0,29
1.0,1.0,1.0,0.435124,0.3783,0.4889,0.4889,1.0,30
1.0,1.0,1.0,0.18901808571428583,0.27162753246753224,0.3294753246753249,0.3294753246753249,1.0,31
1.0,1.0,1.0,0.406977,0.1813,0.4588,0.4588,1.0,32
1.0,1.0,1.0,0.16395312500000006,0.3771718749999999,0.4424359375,0.4424359375,1.0,33
1.0,1.0,1.0,0.465061,0.4197,0.7178,0.7178,1.0,34
1.0,1.0,1.0,0.616489,0.4809,0.6244,0.6244,1.0,35
1.0,1.0,1.0,0.7476216666666667,0.5894333333333334,0.3567,0.3567,1.0,36
1.0,1.0,1.0,0.20135147313691512,0.23347417677642973,0.22080173310225312,0.22080173310225312,1.0,37
1.0,1.0,1.0,0.582948,0.7022,0.3845,0.3845,1.0,38
1.0,1.0,1.0,0.16708509249999998,0.3436662499999998,0.39156849999999993,0.39156849999999993,1.0,39
1.0,1.0,1.0,0.239783,0.6969,0.352,0.352,1.0,40
1.0,1.0,1.0,0.468939,0.6926,0.3325,0.3325,1.0,41
1.0,1.0,1.0,0.10983660186915886,0.37180028037383195,0.4379875700934577,0.4379875700934577,1.0,42
1.0,1.0,1.0,0.09768369722222216,0.3673166666666668,0.48772819444444454,0.48772819444444454,1.0,43
1.0,1.0,1.0,0.05644202916666668,0.4325843055555554,0.5119933333333341,0.5119933333333341,1.0,44
1.0,1.0,1.0,0.0,0.4382,0.5643,0.5643,1.0,45
1.0,1.0,1.0,0.0308794375,0.527803125,0.649725,0.649725,1.0,46
1.0,1.0,1.0,0.285004,0.7471,0.6592,0.6592,1.0,47
1.0,1.0,1.0,0.10452707999999998,0.492184,0.7264626666666664,0.7264626666666664,1.0,48
1.0,1.0,1.0,0.447228,0.1996,0.6668,0.6668,1.0,49
1.0,1.0,1.0,0.0423364,0.547375,0.292475,0.292475,1.0,50
1.0,1.0,1.0,0.5281994999999999,0.37595,0.29214999999999997,0.29214999999999997,1.0,51
1.0,1.0,1.0,0.07353721372031657,0.49338364116094974,0.6331329815303427,0.6331329815303427,1.0,52
1.0,1.0,1.0,0.49714,0.7572599999999999,0.43498000000000003,0.43498000000000003,1.0,53
1.0,1.0,1.0,0.06861353614457827,0.38875642570281066,0.5628351405622495,0.5628351405622495,1.0,54
1.0,1.0,1.0,0.226169,0.5684,0.6802,0.6802,1.0,55
1.0,1.0,1.0,0.406868,0.4786,0.5399,0.5399,1.0,56
