Time_Index,CT_NG,ME_NG,MA_NG
0,0.05306,0.05306,0.05306
1,5.45,5.45,5.28
2,4.09,4.09,3.98
3,3.14,3.14,3.69
4,2.13,2.13,3.18
5,2.13,2.13,3.18
6,2.13,2.13,3.18
7,2.13,2.13,3.18
8,1.82,1.82,2.23
9,1.82,1.82,2.23
10,1.82,1.82,2.23
11,1.7850000000000001,1.7850000000000001,2.17
12,1.75,1.75,2.11
13,1.75,1.75,2.11
14,1.63,1.63,1.81
15,1.63,1.63,1.81
16,1.63,1.63,1.81
17,2.78,2.78,2.74
18,2.78,2.78,2.74
19,3.78,3.78,4.28
20,3.78,3.78,4.28
