Period_Index,Rep_Period,Rep_Period_Index
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,13,2
7,2,1
8,2,1
9,2,1
10,13,2
11,13,2
12,13,2
13,13,2
14,2,1
15,13,2
16,2,1
17,13,2
18,13,2
19,2,1
20,13,2
21,13,2
22,13,2
23,13,2
