natural_gas,natural_gas_ccs,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,ror_hydro,pumped_hydro,nuclear_CF,Time_Index
1,1,0.0,0.2238,0.2912,0.2912,1,0.444793349,1,1,1
1,1,0.006585125000000001,0.26251250000000004,0.336625,0.336625,1,0.4447933490000001,1,1,2
1,1,0.101717,0.2783,0.3615,0.3615,1,0.444793349,1,1,3
1,1,0.25242275,0.1554,0.35569999999999996,0.35569999999999996,1,0.444793349,1,1,4
1,1,0.07246899999999999,0.10485,0.32015000000000005,0.32015000000000005,1,0.444793349,1,1,5
1,1,0.0003709285714285714,0.1643285714285714,0.41959285714285716,0.41959285714285716,1,0.44479334900000017,1,1,6
1,1,0.0,0.1894,0.6612,0.6612,1,0.444793349,1,1,7
1,1,0.014724000000000001,0.28659999999999997,0.69285,0.69285,1,0.444793349,1,1,8
1,1,0.057777,0.339,0.7279,0.7279,1,0.444793349,1,1,9
1,1,0.092161,0.3946,0.7875,0.7875,1,0.444793349,1,1,10
1,1,0.037445822222222216,0.7832666666666666,0.9109155555555557,0.9109155555555557,1,0.444793349,1,1,11
1,1,0.104515,0.6348,0.9141,0.9141,1,0.444793349,1,1,12
1,1,0.2611016666666666,0.5661999999999999,0.9049999999999999,0.9049999999999999,1,0.444793349,1,1,13
1,1,0.26945,0.4253,0.8206,0.8206,1,0.444793349,1,1,14
1,1,0.240084,0.3535,0.7518,0.7518,1,0.444793349,1,1,15
1,1,0.171115,0.319,0.681,0.681,1,0.444793349,1,1,16
1,1,0.075274,0.341,0.6867,0.6867,1,0.444793349,1,1,17
1,1,0.0008005999999999999,0.4279400000000001,0.6614599999999999,0.6614599999999999,1,0.44479334900000006,1,1,18
1,1,0.0,0.4745,0.5803,0.5803,1,0.444793349,1,1,19
1,1,0.0,0.4657,0.5387,0.5387,1,0.444793349,1,1,20
1,1,0.0,0.513,0.5017,0.5017,1,0.444793349,1,1,21
1,1,0.0,0.55534,0.42382,0.42382,1,0.44479334900000006,1,1,22
1,1,0.0,0.7222,0.3742,0.3742,1,0.444793349,1,1,23
1,1,0.0,0.7016,0.3617,0.3617,1,0.444793349,1,1,24
1,1,0.008025,0.7071,0.3692,0.3692,1,0.444793349,1,1,25
1,1,0.088543,0.6305,0.3729,0.3729,1,0.444793349,1,1,26
1,1,0.24447100000000002,0.5731200000000001,0.36395999999999995,0.36395999999999995,1,0.44479334900000006,1,1,27
1,1,0.164202,0.5285,0.3269,0.3269,1,0.444793349,1,1,28
1,1,0.063612,0.3948,0.3637,0.3637,1,0.444793349,1,1,29
1,1,0.005197,0.4711,0.4034,0.4034,1,0.444793349,1,1,30
1,1,0.0,0.5428,0.50498,0.50498,1,0.44479334900000006,1,1,31
1,1,0.0,0.5774,0.5622,0.5622,1,0.444793349,1,1,32
1,1,0.0,0.6017,0.5341,0.5341,1,0.444793349,1,1,33
1,1,0.0,0.66792,0.5676399999999999,0.5676399999999999,1,0.44479334900000006,1,1,34
1,1,0.0,0.7875,0.6237,0.6237,1,0.444793349,1,1,35
1,1,0.0,0.7749,0.6338,0.6338,1,0.444793349,1,1,36
1,1,0.009794,0.6865,0.6624,0.6624,1,0.444793349,1,1,37
1,1,0.132677,0.6537,0.6493,0.6493,1,0.444793349,1,1,38
1,1,0.321834,0.5929,0.6751,0.6751,1,0.444793349,1,1,39
1,1,0.46366125,0.54805,0.7065,0.7065,1,0.444793349,1,1,40
1,1,0.298741,0.5883,0.6641,0.6641,1,0.444793349,1,1,41
1,1,0.107554,0.56,0.7276,0.7276,1,0.444793349,1,1,42
1,1,0.00901,0.5845,0.8069,0.8069,1,0.444793349,1,1,43
1,1,0.0,0.6343,0.8431,0.8431,1,0.444793349,1,1,44
1,1,0.026543687500000003,0.7809625,0.8781,0.8781,1,0.44479334900000017,1,1,45
1,1,0.456614,0.7693,0.8491,0.8491,1,0.444793349,1,1,46
1,1,0.5655405,0.7968999999999999,0.7363999999999999,0.7363999999999999,1,0.444793349,1,1,47
1,1,0.478771,0.797,0.6807,0.6807,1,0.444793349,1,1,48
1,1,0.299015,0.7752,0.6025,0.6025,1,0.444793349,1,1,49
1,1,0.109995,0.7311,0.5957,0.5957,1,0.444793349,1,1,50
1,1,0.006202,0.8041,0.6278,0.6278,1,0.444793349,1,1,51
1,1,0.0,0.795125,0.709625,0.709625,1,0.444793349,1,1,52
1,1,0.0,0.7624,0.6431,0.6431,1,0.444793349,1,1,53
