Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1.0,11801.35,18.0,1.0,0.0
,,,,,,,2.0,11267.906,18.0,0.0,1.0
,,,,,,,3.0,10861.76,18.0,0.0,1.0
,,,,,,,4.0,10647.576,18.0,0.0,1.0
,,,,,,,5.0,10626.826,18.0,0.0,1.0
,,,,,,,6.0,10799.279,18.0,0.0,1.0
,,,,,,,7.0,11175.825,18.0,0.0,1.0
,,,,,,,8.0,11540.427,18.0,0.0,1.0
,,,,,,,9.0,12134.854,18.0,0.0,1.0
,,,,,,,10.0,12702.451,18.0,0.0,1.0
,,,,,,,11.0,13117.308,18.0,0.0,1.0
,,,,,,,12.0,13342.26,18.0,0.0,1.0
,,,,,,,13.0,13433.235,18.0,0.0,1.0
,,,,,,,14.0,13281.48,18.0,0.0,1.0
,,,,,,,15.0,13173.947,18.0,0.0,1.0
,,,,,,,16.0,13249.266,18.0,0.0,1.0
,,,,,,,17.0,14281.52,18.0,0.0,1.0
,,,,,,,18.0,15391.731,18.0,0.0,1.0
,,,,,,,19.0,15337.386,18.0,0.0,1.0
,,,,,,,20.0,15005.817,18.0,0.0,1.0
,,,,,,,21.0,14573.74,18.0,0.0,1.0
,,,,,,,22.0,13942.013,18.0,0.0,1.0
,,,,,,,23.0,13091.385,18.0,0.0,1.0
,,,,,,,24.0,12248.148,18.0,0.0,1.0
,,,,,,,25.0,11620.655,18.0,0.0,1.0
,,,,,,,26.0,11254.933,18.0,0.0,1.0
,,,,,,,27.0,11093.713,18.0,0.0,1.0
,,,,,,,28.0,11126.929,18.0,0.0,1.0
,,,,,,,29.0,11362.216,18.0,0.0,1.0
,,,,,,,30.0,11900.932,18.0,0.0,1.0
,,,,,,,31.0,12666.331,18.0,0.0,1.0
,,,,,,,32.0,13289.303,18.0,0.0,1.0
,,,,,,,33.0,14015.765,18.0,0.0,1.0
