Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,13303.979,1,1,0,1
,,,,,,,2,12925.612,1,0,1,5
,,,,,,,3,16118.9545,1,0,1,2
,,,,,,,4,17020.933,1,0,1,1
,,,,,,,5,17635.362,1,0,1,1
,,,,,,,6,17050.612,1,0,1,1
,,,,,,,7,17240.732,1,0,1,1
,,,,,,,8,16771.358,1,0,1,1
,,,,,,,9,16608.213,1,0,1,1
,,,,,,,10,16388.075,1,0,1,1
,,,,,,,11,16465.777,1,0,1,1
,,,,,,,12,17618.343,1,0,1,6
,,,,,,,13,16310.781,1,0,1,1
,,,,,,,14,14891.905,1,0,1,1
,,,,,,,15,14919.837625000002,1,0,1,8
,,,,,,,16,19001.389,1,0,1,1
,,,,,,,17,18808.709,1,0,1,1
,,,,,,,18,18439.27733333333,1,0,1,3
,,,,,,,19,17851.175,1,0,1,1
,,,,,,,20,17327.013,1,0,1,1
,,,,,,,21,17234.125,1,0,1,1
,,,,,,,22,18594.14,1,0,1,2
,,,,,,,23,18268.696,1,0,1,1
,,,,,,,24,17662.240666666665,1,0,1,3
,,,,,,,25,16021.59,1,0,1,1
,,,,,,,26,14833.873,1,0,1,1
,,,,,,,27,15121.439666666665,1,0,1,9
,,,,,,,28,18352.475,1,0,1,1
,,,,,,,29,16581.674458333335,1,0,1,24
,,,,,,,30,17318.9332,1,0,1,5
,,,,,,,31,15773.95897619047,1,0,1,42
,,,,,,,32,17099.871,1,0,1,1
,,,,,,,33,17442.84375,1,0,1,4
,,,,,,,34,15479.96457894737,1,0,1,19
,,,,,,,35,17505.251,1,0,1,1
,,,,,,,36,17039.946666666667,1,0,1,3
,,,,,,,37,16447.331,1,0,1,1
,,,,,,,38,15448.853384615386,1,0,1,26
,,,,,,,39,19002.665666666668,1,0,1,3
,,,,,,,40,17672.08766666667,1,0,1,3
,,,,,,,41,14954.969,1,0,1,1
,,,,,,,42,12253.995333333334,1,0,1,6
,,,,,,,43,13098.325,1,0,1,1
,,,,,,,44,16171.64165217391,1,0,1,23
,,,,,,,45,14502.709,1,0,1,1
,,,,,,,46,17959.783,1,0,1,2
,,,,,,,47,19001.063,1,0,1,1
,,,,,,,48,18967.861,1,0,1,2
,,,,,,,49,18836.27,1,0,1,1
,,,,,,,50,18562.846,1,0,1,1
,,,,,,,51,17589.885,1,0,1,1
,,,,,,,52,17836.398,1,0,1,1
,,,,,,,53,17696.115,1,0,1,1
,,,,,,,54,18601.554,1,0,1,1
,,,,,,,55,20267.429,1,0,1,3
,,,,,,,56,15780.3776,1,0,1,15
,,,,,,,57,17158.593,1,0,1,2
,,,,,,,58,17326.328,1,0,1,1
,,,,,,,59,17272.083,1,0,1,1
,,,,,,,60,16836.133,1,0,1,1
,,,,,,,61,18149.510499999997,1,0,1,6
,,,,,,,62,13253.235125,1,0,1,8
,,,,,,,63,16398.2545,1,0,1,2
,,,,,,,64,17317.39,1,0,1,1
,,,,,,,65,16970.442,1,0,1,1
,,,,,,,66,16900.428,1,0,1,1
,,,,,,,67,16375.808,1,0,1,1
,,,,,,,68,16507.23,1,0,1,1
,,,,,,,69,16442.02,1,0,1,1
,,,,,,,70,16421.171,1,0,1,1
,,,,,,,71,16448.26,1,0,1,1
,,,,,,,72,16398.585230769233,1,0,1,26
,,,,,,,73,19545.515,1,0,1,1
,,,,,,,74,18591.3285,1,0,1,2
,,,,,,,75,16917.152,1,0,1,1
,,,,,,,76,15352.184,1,0,1,1
,,,,,,,77,14467.491258064514,1,0,1,31
,,,,,,,78,14381.273,1,0,1,1
,,,,,,,79,16102.271263636365,1,0,1,110
,,,,,,,80,16372.496,1,0,1,1
,,,,,,,81,14980.538,1,0,1,1
,,,,,,,82,15685.588861111115,1,0,1,36
,,,,,,,83,18490.967,1,0,1,2
,,,,,,,84,17985.493000000002,1,0,1,2
,,,,,,,85,17890.939,1,0,1,1
,,,,,,,86,18699.069799999997,1,0,1,5
,,,,,,,87,16984.727,1,0,1,1
,,,,,,,88,14024.841428571428,1,0,1,7
,,,,,,,89,14795.372,1,0,1,1
,,,,,,,90,15476.957,1,0,1,1
,,,,,,,91,16550.105,1,0,1,1
,,,,,,,92,16881.057,1,0,1,1
,,,,,,,93,17014.112,1,0,1,1
,,,,,,,94,17069.073,1,0,1,1
,,,,,,,95,16833.0565,1,0,1,2
,,,,,,,96,15862.484750000003,1,0,1,20
,,,,,,,97,16755.653333333332,1,0,1,3
,,,,,,,98,17062.0305,1,0,1,2
,,,,,,,99,16670.7555,1,0,1,2
,,,,,,,100,15399.157444444447,1,0,1,45
,,,,,,,101,16554.584,1,0,1,1
,,,,,,,102,15582.733428571426,1,0,1,42
,,,,,,,103,14682.859,1,0,1,1
,,,,,,,104,15902.520333333336,1,0,1,24
,,,,,,,105,17365.061,1,0,1,1
,,,,,,,106,17445.756999999998,1,0,1,2
,,,,,,,107,17023.767,1,0,1,1
,,,,,,,108,16483.0115,1,0,1,2
,,,,,,,109,16207.392,1,0,1,1
,,,,,,,110,16565.686,1,0,1,1
,,,,,,,111,18012.3474,1,0,1,5
,,,,,,,112,14378.6551,1,0,1,10
,,,,,,,113,18087.944,1,0,1,1
,,,,,,,114,16115.443388888887,1,0,1,36
,,,,,,,115,15715.209,1,0,1,1
,,,,,,,116,15222.057499999995,1,0,1,26
,,,,,,,117,12528.991,1,0,1,1
,,,,,,,118,12209.116,1,0,1,5
,,,,,,,119,16076.269333333332,1,0,1,3
,,,,,,,120,16552.903142857143,1,0,1,7
,,,,,,,121,15756.324,1,0,1,1
,,,,,,,122,17314.852399999996,1,0,1,5
,,,,,,,123,14874.101,1,0,1,1
,,,,,,,124,15682.393160000001,1,0,1,25
,,,,,,,125,12932.863,1,0,1,1
,,,,,,,126,12613.107,1,0,1,1
,,,,,,,127,12575.293250000002,1,0,1,4
,,,,,,,128,15529.734333333334,1,0,1,3
,,,,,,,129,17260.941,1,0,1,2
,,,,,,,130,16678.29,1,0,1,1
,,,,,,,131,16314.027666666667,1,0,1,3
,,,,,,,132,15472.407,1,0,1,1
,,,,,,,133,16804.792,1,0,1,2
,,,,,,,134,16667.5506,1,0,1,5
,,,,,,,135,14075.878,1,0,1,1
,,,,,,,136,15433.861833333332,1,0,1,30
,,,,,,,137,14728.431,1,0,1,1
,,,,,,,138,15611.962,1,0,1,1
,,,,,,,139,16340.993,1,0,1,1
,,,,,,,140,15689.528719999997,1,0,1,25
,,,,,,,141,16218.876833333334,1,0,1,6
,,,,,,,142,15575.858800000002,1,0,1,10
,,,,,,,143,11723.861333333334,1,0,1,3
,,,,,,,144,15714.26275,1,0,1,4
,,,,,,,145,16979.514,1,0,1,1
,,,,,,,146,16831.717,1,0,1,1
,,,,,,,147,16488.293,1,0,1,1
,,,,,,,148,16028.572,1,0,1,1
,,,,,,,149,15965.324,1,0,1,1
,,,,,,,150,16347.805,1,0,1,1
,,,,,,,151,14905.88029411765,1,0,1,17
,,,,,,,152,17401.53,1,0,1,1
,,,,,,,153,17515.997000000003,1,0,1,2
,,,,,,,154,16957.796000000002,1,0,1,2
,,,,,,,155,15418.910166666661,1,0,1,18
,,,,,,,156,16387.149,1,0,1,1
,,,,,,,157,15200.36728,1,0,1,25
,,,,,,,158,16161.28,1,0,1,1
,,,,,,,159,16693.588,1,0,1,5
,,,,,,,160,16545.676,1,0,1,1
,,,,,,,161,15907.46025,1,0,1,16
,,,,,,,162,18471.326,1,0,1,1
,,,,,,,163,18076.861,1,0,1,1
,,,,,,,164,17678.031000000003,1,0,1,5
,,,,,,,165,17256.711,1,0,1,1
,,,,,,,166,16087.90992857143,1,0,1,14
,,,,,,,167,16447.543,1,0,1,1
,,,,,,,168,17857.944,1,0,1,1
,,,,,,,169,18463.13,1,0,1,1
,,,,,,,170,18097.701,1,0,1,1
,,,,,,,171,18078.939,1,0,1,1
,,,,,,,172,18040.456,1,0,1,1
,,,,,,,173,17455.8825,1,0,1,2
,,,,,,,174,17093.8104,1,0,1,5
,,,,,,,175,17288.05,1,0,1,1
,,,,,,,176,16848.245,1,0,1,2
,,,,,,,177,13902.499,1,0,1,11
,,,,,,,178,16165.256,1,0,1,1
,,,,,,,179,16119.268,1,0,1,1
,,,,,,,180,16248.265333333335,1,0,1,3
,,,,,,,181,15565.248,1,0,1,1
,,,,,,,182,15276.947,1,0,1,1
,,,,,,,183,15489.564,1,0,1,1
,,,,,,,184,14800.172812500003,1,0,1,16
,,,,,,,185,16979.644,1,0,1,7
,,,,,,,186,17848.3062,1,0,1,5
,,,,,,,187,15088.039,1,0,1,2
,,,,,,,188,12678.030999999999,1,0,1,10
,,,,,,,189,16993.26,1,0,1,1
,,,,,,,190,17271.73,1,0,1,1
,,,,,,,191,17107.626,1,0,1,2
,,,,,,,192,16973.875,1,0,1,1
,,,,,,,193,16570.111,1,0,1,3
,,,,,,,194,17703.8652,1,0,1,5
,,,,,,,195,15084.125,1,0,1,1
,,,,,,,196,15745.365149999998,1,0,1,20
,,,,,,,197,17015.680333333334,1,0,1,3
,,,,,,,198,14841.471,1,0,1,1
,,,,,,,199,12515.81885714286,1,0,1,7
,,,,,,,200,16431.041666666668,1,0,1,3
,,,,,,,201,16908.322,1,0,1,1
,,,,,,,202,17029.613,1,0,1,1
,,,,,,,203,16441.378,1,0,1,1
,,,,,,,204,16310.089,1,0,1,2
,,,,,,,205,16512.803,1,0,1,1
,,,,,,,206,16360.415,1,0,1,1
,,,,,,,207,15335.8408125,1,0,1,16
,,,,,,,208,15379.307,1,0,1,1
,,,,,,,209,16801.4045,1,0,1,2
,,,,,,,210,16621.504,1,0,1,3
,,,,,,,211,16665.025,1,0,1,1
,,,,,,,212,16295.727,1,0,1,1
,,,,,,,213,16370.692,1,0,1,1
,,,,,,,214,17296.637666666666,1,0,1,3
,,,,,,,215,14848.2144,1,0,1,5
,,,,,,,216,12697.478166666668,1,0,1,6
,,,,,,,217,14565.574,1,0,1,1
,,,,,,,218,15449.537,1,0,1,1
,,,,,,,219,15824.769,1,0,1,1
,,,,,,,220,16605.893,1,0,1,1
,,,,,,,221,16674.11,1,0,1,1
,,,,,,,222,16958.581,1,0,1,1
,,,,,,,223,16797.381,1,0,1,1
,,,,,,,224,16586.274,1,0,1,1
,,,,,,,225,16405.444,1,0,1,1
,,,,,,,226,14484.483588235293,1,0,1,17
,,,,,,,227,16382.395,1,0,1,1
,,,,,,,228,16518.48,1,0,1,1
,,,,,,,229,16307.925,1,0,1,1
,,,,,,,230,15804.078,1,0,1,1
,,,,,,,231,15190.903,1,0,1,2
,,,,,,,232,14727.617157894738,1,0,1,19
,,,,,,,233,16186.246,1,0,1,1
,,,,,,,234,17241.629,1,0,1,1
,,,,,,,235,16947.271,1,0,1,1
,,,,,,,236,16327.7455,1,0,1,2
,,,,,,,237,15979.828,1,0,1,1
,,,,,,,238,15450.836214285717,1,0,1,14
,,,,,,,239,15478.07,1,0,1,1
,,,,,,,240,16393.222,1,0,1,1
,,,,,,,241,17173.156,1,0,1,1
,,,,,,,242,17332.141,1,0,1,2
,,,,,,,243,17242.439,1,0,1,1
,,,,,,,244,17039.058,1,0,1,1
,,,,,,,245,16359.349,1,0,1,1
,,,,,,,246,17989.086571428572,1,0,1,7
,,,,,,,247,16125.743,1,0,1,1
,,,,,,,248,13201.537750000003,1,0,1,8
,,,,,,,249,17033.11925,1,0,1,4
,,,,,,,250,17624.503,1,0,1,1
,,,,,,,251,17150.587,1,0,1,2
,,,,,,,252,16581.279,1,0,1,1
,,,,,,,253,16319.541,1,0,1,1
,,,,,,,254,14660.20417647059,1,0,1,17
,,,,,,,255,14545.876,1,0,1,1
,,,,,,,256,16827.988,1,0,1,1
,,,,,,,257,17743.533,1,0,1,1
,,,,,,,258,17529.652,1,0,1,1
,,,,,,,259,16740.281,1,0,1,1
,,,,,,,260,15836.461,1,0,1,1
,,,,,,,261,15374.383,1,0,1,1
,,,,,,,262,15300.097,1,0,1,1
,,,,,,,263,15702.041,1,0,1,1
,,,,,,,264,17495.7226,1,0,1,5
,,,,,,,265,15032.638,1,0,1,1
,,,,,,,266,13889.1598,1,0,1,10
,,,,,,,267,18037.761,1,0,1,1
,,,,,,,268,18280.577,1,0,1,1
,,,,,,,269,15521.759333333333,1,0,1,18
,,,,,,,270,12665.612,1,0,1,1
,,,,,,,271,14622.363000000001,1,0,1,2
,,,,,,,272,16503.97675,1,0,1,4
,,,,,,,273,16528.322,1,0,1,1
,,,,,,,274,16171.980500000001,1,0,1,2
,,,,,,,275,15916.356,1,0,1,1
,,,,,,,276,16278.624,1,0,1,1
,,,,,,,277,14646.169,1,0,1,15
,,,,,,,278,16781.071,1,0,1,1
,,,,,,,279,16813.08,1,0,1,1
,,,,,,,280,16636.704,1,0,1,3
,,,,,,,281,16525.015,1,0,1,1
,,,,,,,282,16125.976,1,0,1,1
,,,,,,,283,15911.208,1,0,1,1
,,,,,,,284,17050.467,1,0,1,6
,,,,,,,285,15033.392,1,0,1,1
,,,,,,,286,13378.674500000001,1,0,1,2
,,,,,,,287,12164.440000000002,1,0,1,3
,,,,,,,288,13307.2575,1,0,1,2
,,,,,,,289,15789.144,1,0,1,1
,,,,,,,290,16863.379,1,0,1,1
,,,,,,,291,17437.803,1,0,1,1
,,,,,,,292,17606.061,1,0,1,1
,,,,,,,293,16650.271999999997,1,0,1,4
,,,,,,,294,16497.724,1,0,1,1
,,,,,,,295,15923.116,1,0,1,1
,,,,,,,296,17447.664571428573,1,0,1,7
,,,,,,,297,14537.862,1,0,1,1
,,,,,,,298,13257.31,1,0,1,3
,,,,,,,299,12756.89,1,0,1,1
,,,,,,,300,13515.1435,1,0,1,2
,,,,,,,301,15824.106,1,0,1,1
,,,,,,,302,16727.087,1,0,1,1
,,,,,,,303,17291.193,1,0,1,2
,,,,,,,304,17032.39,1,0,1,2
,,,,,,,305,16753.4745,1,0,1,2
,,,,,,,306,16310.536,1,0,1,1
,,,,,,,307,16376.082,1,0,1,1
,,,,,,,308,17204.624,1,0,1,1
,,,,,,,309,18378.164,1,0,1,1
,,,,,,,310,19059.034333333333,1,0,1,3
,,,,,,,311,17383.767,1,0,1,1
,,,,,,,312,15874.082,1,0,1,1
,,,,,,,313,14537.963,1,0,1,1
,,,,,,,314,15950.396904761908,1,0,1,21
,,,,,,,315,17097.03,1,0,1,1
,,,,,,,316,15712.217826086955,1,0,1,23
,,,,,,,317,16902.437,1,0,1,1
,,,,,,,318,13655.906555555555,1,0,1,9
,,,,,,,319,16346.536,1,0,1,2
,,,,,,,320,17210.304454545454,1,0,1,11
,,,,,,,321,17953.669,1,0,1,1
,,,,,,,322,16781.532,1,0,1,1
,,,,,,,323,15405.635,1,0,1,1
,,,,,,,324,14116.545,1,0,1,1
,,,,,,,325,12213.7275,1,0,1,6
,,,,,,,326,14071.784,1,0,1,1
,,,,,,,327,15815.767059999998,1,0,1,50
,,,,,,,328,17144.306,1,0,1,2
,,,,,,,329,16379.937999999998,1,0,1,4
,,,,,,,330,16523.347,1,0,1,1
,,,,,,,331,17822.194,1,0,1,5
,,,,,,,332,16478.71,1,0,1,1
,,,,,,,333,14764.719,1,0,1,1
,,,,,,,334,13965.746727272724,1,0,1,11
,,,,,,,335,16423.426333333333,1,0,1,3
,,,,,,,336,16029.456,1,0,1,1
,,,,,,,337,15447.085333333334,1,0,1,3
