Period_Index,Rep_Period,Rep_Period_Index
1,8,2
2,16,4
3,3,1
4,13,3
5,13,3
6,13,3
7,8,2
8,8,2
9,3,1
10,13,3
11,16,4
12,16,4
13,13,3
14,16,4
15,16,4
16,16,4
17,16,4
18,16,4
19,8,2
20,16,4
21,16,4
22,13,3
23,16,4
