$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
2000.0,1.0,1.0,1.0,1.0,8760.0,8760.0,50000.0,1.0,7268.25,2075.625,990.875,8.0
1800.0,0.9,2.0,0.04,,,,,2.0,7946.0,2269.0,1083.0,1.0
1100.0,0.55,3.0,0.024,,,,,3.0,9669.239520958085,2761.395209580838,1318.1676646706587,167.0
400.0,0.2,4.0,0.003,,,,,4.0,8468.0,2418.0,1154.0,1.0
,,,,,,,,5.0,9875.256544502618,2820.2094240837696,1346.3141361256544,191.0
,,,,,,,,6.0,11587.0,3309.0,1580.0,1.0
,,,,,,,,7.0,9944.778911564626,2840.1326530612246,1355.7551020408164,294.0
,,,,,,,,8.0,9005.0,2572.0,1227.0,1.0
,,,,,,,,9.0,9435.0,2694.0,1287.0,1.0
,,,,,,,,10.0,9466.0,2703.4303797468356,1290.4810126582279,79.0
,,,,,,,,11.0,9358.017521902379,2672.5506883604507,1275.7183979974968,799.0
,,,,,,,,12.0,10759.0,3072.0,1467.0,1.0
,,,,,,,,13.0,9098.547368421052,2598.452631578947,1240.378947368421,95.0
,,,,,,,,14.0,8530.0,2436.0,1163.0,1.0
,,,,,,,,15.0,8683.91304347826,2480.0,1183.7391304347825,23.0
,,,,,,,,16.0,7809.0,2230.0,1065.0,1.0
,,,,,,,,17.0,8257.0,2358.0,1126.0,1.0
,,,,,,,,18.0,8651.25,2470.5,1179.25,8.0
,,,,,,,,19.0,8619.0,2461.0,1175.0,1.0
,,,,,,,,20.0,8557.891719745223,2444.0063694267515,1166.6687898089172,157.0
,,,,,,,,21.0,7248.0,2070.0,988.0,1.0
,,,,,,,,22.0,7809.0,2230.0,1065.0,1.0
,,,,,,,,23.0,8288.714285714286,2367.0,1129.857142857143,7.0
,,,,,,,,24.0,8138.0,2324.0,1110.0,1.0
,,,,,,,,25.0,8552.597667638483,2442.4956268221576,1165.8892128279883,343.0
,,,,,,,,26.0,9325.475213013167,2663.30402788536,1271.3237800154918,2582.0
,,,,,,,,27.0,16191.0,4624.0,2207.0,1.0
,,,,,,,,28.0,9536.529297507284,2723.565555195856,1300.1158951116865,3089.0
,,,,,,,,29.0,8324.0,2377.0,1135.0,1.0
,,,,,,,,30.0,8603.130434782608,2457.0434782608695,1172.8695652173913,23.0
,,,,,,,,31.0,8689.0,2481.0,1185.0,1.0
,,,,,,,,32.0,9812.77358490566,2802.383647798742,1337.7358490566037,159.0
,,,,,,,,33.0,9554.5006993007,2728.6587412587414,1302.5356643356643,715.0
