Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,omega,Rel_TimeStep
,,,,,,,153,16345.801,5.0,1
,,,,,,,154,16940.129,5.0,1
,,,,,,,155,17465.495,5.0,1
,,,,,,,156,17297.321,5.0,1
,,,,,,,157,17427.582,5.0,1
,,,,,,,158,17432.531,5.0,1
,,,,,,,159,17352.053,5.0,1
,,,,,,,160,17463.597,5.0,1
,,,,,,,161,18345.257,5.0,1
,,,,,,,162,18842.79,5.0,1
,,,,,,,163,18573.447,5.0,1
,,,,,,,164,17992.959,5.0,1
,,,,,,,165,17323.641,5.0,1
,,,,,,,166,16345.689,5.0,1
,,,,,,,167,15033.843,5.0,1
,,,,,,,168,13834.792,5.0,1
,,,,,,,169,13110.278,5.0,1
,,,,,,,170,12692.4,5.0,1
,,,,,,,171,12394.424,5.0,1
,,,,,,,172,12393.187,5.0,1
,,,,,,,173,12764.47,5.0,1
,,,,,,,174,13895.933,5.0,1
,,,,,,,175,15742.854,5.0,1
,,,,,,,176,16495.912,5.0,1
,,,,,,,177,17046.592,5.0,1
,,,,,,,178,17244.924,5.0,1
,,,,,,,179,17005.092,5.0,1
,,,,,,,180,16929.668,5.0,1
,,,,,,,181,16789.898,5.0,1
,,,,,,,182,16639.331,5.0,1
,,,,,,,183,16462.553,5.0,1
,,,,,,,184,16835.504,5.0,1
,,,,,,,185,17963.999,5.0,1
,,,,,,,186,19567.754,5.0,1
,,,,,,,187,19539.128,5.0,1
,,,,,,,188,19023.502,5.0,1
,,,,,,,189,18208.797,5.0,1
,,,,,,,190,16676.388,5.0,1
,,,,,,,191,15042.206,5.0,1
,,,,,,,192,13846.705,5.0,1
,,,,,,,193,12775.581,5.0,1
,,,,,,,194,12282.231,5.0,1
,,,,,,,195,12031.779,5.0,1
,,,,,,,196,12117.072,5.0,1
,,,,,,,197,12304.625,5.0,1
,,,,,,,198,13676.108,5.0,1
,,,,,,,199,15700.668,5.0,1
,,,,,,,200,16462.929,5.0,1
,,,,,,,201,16782.03,5.0,1
,,,,,,,202,17151.876,5.0,1
,,,,,,,203,17152.986,5.0,1
,,,,,,,204,16845.171,5.0,1
,,,,,,,205,16973.351,5.0,1
,,,,,,,206,16712.54,5.0,1
,,,,,,,207,16454.109,5.0,1
,,,,,,,208,16452.93,5.0,1
,,,,,,,209,17215.341,5.0,1
,,,,,,,210,17816.417,5.0,1
,,,,,,,211,17687.147,5.0,1
,,,,,,,212,16581.676,5.0,1
,,,,,,,213,15903.627,5.0,1
,,,,,,,214,14653.023,5.0,1
,,,,,,,215,13740.497,5.0,1
,,,,,,,216,12565.497,5.0,1
,,,,,,,217,11931.065,5.0,1
,,,,,,,218,11410.13,5.0,1
,,,,,,,219,11295.584,5.0,1
,,,,,,,220,11144.32,5.0,1
,,,,,,,221,11112.361,5.0,1
,,,,,,,222,11979.022,5.0,1
,,,,,,,223,13026.347,5.0,1
,,,,,,,224,14033.504,5.0,1
,,,,,,,225,15281.427,5.0,1
,,,,,,,226,15749.452,5.0,1
,,,,,,,227,15604.739,5.0,1
,,,,,,,228,16480.222,5.0,1
,,,,,,,229,16289.132,5.0,1
,,,,,,,230,16198.995,5.0,1
,,,,,,,231,16186.16,5.0,1
,,,,,,,232,16426.821,5.0,1
,,,,,,,233,17525.416,5.0,1
,,,,,,,234,18601.849,5.0,1
,,,,,,,235,18514.716,5.0,1
,,,,,,,236,17415.431,5.0,1
,,,,,,,237,16862.238,5.0,1
,,,,,,,238,15555.886,5.0,1
,,,,,,,239,14215.493,5.0,1
,,,,,,,240,12914.899,5.0,1
,,,,,,,241,11980.2,5.0,1
,,,,,,,242,11512.962,5.0,1
,,,,,,,243,11327.86,5.0,1
,,,,,,,244,11024.487,5.0,1
,,,,,,,245,11109.863,5.0,1
,,,,,,,246,12657.152,5.0,1
,,,,,,,247,13038.402,5.0,1
,,,,,,,248,14442.922,5.0,1
,,,,,,,249,15206.999,5.0,1
,,,,,,,250,17073.546,5.0,1
,,,,,,,251,17539.814,5.0,1
,,,,,,,252,17729.189,5.0,1
,,,,,,,253,17701.202,5.0,1
,,,,,,,254,17574.772,5.0,1
,,,,,,,255,16417.856,5.0,1
