Period_Index,Rep_Period,Rep_Period_Index
1,3,1
2,3,1
3,3,1
4,4,2
5,10,4
6,10,4
7,7,3
8,19,7
9,3,1
10,10,4
11,3,1
12,17,6
13,13,5
14,17,6
15,17,6
16,17,6
17,17,6
18,17,6
19,19,7
20,17,6
21,23,8
22,23,8
23,23,8
