Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0.0
1,4.09,4.09,3.98,0.0
2,4.09,4.09,3.98,0.0
3,4.09,4.09,3.98,0.0
4,4.09,4.09,3.98,0.0
5,4.09,4.09,3.98,0.0
6,4.09,4.09,3.98,0.0
7,4.09,4.09,3.98,0.0
8,4.09,4.09,3.98,0.0
9,4.09,4.09,3.98,0.0
10,4.09,4.09,3.98,0.0
11,4.09,4.09,3.98,0.0
12,4.09,4.09,3.98,0.0
13,4.09,4.09,3.98,0.0
14,4.09,4.09,3.98,0.0
15,4.09,4.09,3.98,0.0
16,4.09,4.09,3.98,0.0
17,4.09,4.09,3.98,0.0
18,4.09,4.09,3.98,0.0
19,4.09,4.09,3.98,0.0
20,4.09,4.09,3.98,0.0
21,4.09,4.09,3.98,0.0
22,4.09,4.09,3.98,0.0
23,4.09,4.09,3.98,0.0
24,4.09,4.09,3.98,0.0
25,4.09,4.09,3.98,0.0
26,4.09,4.09,3.98,0.0
27,4.09,4.09,3.98,0.0
28,4.09,4.09,3.98,0.0
29,4.09,4.09,3.98,0.0
30,4.09,4.09,3.98,0.0
31,4.09,4.09,3.98,0.0
32,4.09,4.09,3.98,0.0
33,4.09,4.09,3.98,0.0
34,4.09,4.09,3.98,0.0
35,4.09,4.09,3.98,0.0
36,4.09,4.09,3.98,0.0
37,4.09,4.09,3.98,0.0
38,4.09,4.09,3.98,0.0
39,4.09,4.09,3.98,0.0
40,4.09,4.09,3.98,0.0
41,4.09,4.09,3.98,0.0
42,4.09,4.09,3.98,0.0
43,4.09,4.09,3.98,0.0
44,4.09,4.09,3.98,0.0
45,4.09,4.09,3.98,0.0
46,4.09,4.09,3.98,0.0
47,4.09,4.09,3.98,0.0
48,4.09,4.09,3.98,0.0
49,1.89,1.89,2.34,0.0
50,1.89,1.89,2.34,0.0
51,1.89,1.89,2.34,0.0
52,1.89,1.89,2.34,0.0
53,1.89,1.89,2.34,0.0
54,1.89,1.89,2.34,0.0
55,1.89,1.89,2.34,0.0
56,1.89,1.89,2.34,0.0
57,1.89,1.89,2.34,0.0
58,1.89,1.89,2.34,0.0
59,1.89,1.89,2.34,0.0
60,1.89,1.89,2.34,0.0
61,1.89,1.89,2.34,0.0
62,1.89,1.89,2.34,0.0
63,1.89,1.89,2.34,0.0
64,1.89,1.89,2.34,0.0
65,1.89,1.89,2.34,0.0
66,1.89,1.89,2.34,0.0
67,1.89,1.89,2.34,0.0
68,1.89,1.89,2.34,0.0
69,1.89,1.89,2.34,0.0
