Time_Index,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1.0,1.0,1.0,0.0,0.652541041,0.0,0.300439477,1.0,1.0,1.0
2,1.0,1.0,1.0,0.0,0.489089131,0.0,0.356635183,1.0,1.0,1.0
3,1.0,1.0,1.0,0.0,0.720441401,0.0,0.485553384,1.0,1.0,1.0
4,1.0,1.0,1.0,0.0,0.941009462,0.0,0.564847767,1.0,1.0,1.0
5,1.0,1.0,1.0,0.0,0.808041513,0.0,0.403786451,1.0,1.0,1.0
6,1.0,1.0,1.0,0.0,0.57156831,0.0,0.373498946,1.0,1.0,1.0
7,1.0,1.0,1.0,0.0,0.536646962,0.0,0.436061621,1.0,1.0,1.0
8,1.0,1.0,1.0,0.0,0.378664613,0.0,0.346012235,1.0,1.0,1.0
9,1.0,1.0,1.0,0.1455,0.192936942,0.09,0.475307226,1.0,1.0,1.0
10,1.0,1.0,1.0,0.2427,0.098409355,0.1936,0.389388561,1.0,1.0,1.0
11,1.0,1.0,1.0,0.3104,0.059856717,0.3332,0.363245636,1.0,1.0,1.0
12,1.0,1.0,1.0,0.3464,0.26922816,0.3326,0.345783859,1.0,1.0,1.0
13,1.0,1.0,1.0,0.3283,0.354099602,0.3824,0.331752688,1.0,1.0,1.0
14,1.0,1.0,1.0,0.2946,0.292772204,0.3927,0.313630641,1.0,1.0,1.0
15,1.0,1.0,1.0,0.2536,0.245338812,0.3493,0.401593149,1.0,1.0,1.0
16,1.0,1.0,1.0,0.175,0.282872379,0.2221,0.304199994,1.0,1.0,1.0
17,1.0,1.0,1.0,0.034,0.463687837,0.0478,0.334043056,1.0,1.0,1.0
18,1.0,1.0,1.0,0.0,0.6362167,0.0,0.404166341,1.0,1.0,1.0
19,1.0,1.0,1.0,0.0,0.725167036,0.0,0.501478553,1.0,1.0,1.0
20,1.0,1.0,1.0,0.0,0.557771087,0.0,0.325242937,1.0,1.0,1.0
21,1.0,1.0,1.0,0.0,0.807179213,0.0,0.508970261,1.0,1.0,1.0
22,1.0,1.0,1.0,0.0,0.854410052,0.0,0.506105185,1.0,1.0,1.0
23,1.0,1.0,1.0,0.0,0.932202816,0.0,0.493106008,1.0,1.0,1.0
24,1.0,1.0,1.0,0.0,0.962075233,0.0,0.614974141,1.0,1.0,1.0
25,1.0,1.0,1.0,0.0,0.990950346,0.0,0.746212304,1.0,1.0,1.0
26,1.0,1.0,1.0,0.0,0.998399675,0.0,0.681968093,1.0,1.0,1.0
27,1.0,1.0,1.0,0.0,0.999943674,0.0,0.741479397,1.0,1.0,1.0
28,1.0,1.0,1.0,0.0,0.950306296,0.0,0.785551429,1.0,1.0,1.0
29,1.0,1.0,1.0,0.0,0.845934808,0.0,0.852638841,1.0,1.0,1.0
30,1.0,1.0,1.0,0.0,0.965507269,0.0,0.885009408,1.0,1.0,1.0
31,1.0,1.0,1.0,0.0,0.770078421,0.0,0.885980785,1.0,1.0,1.0
32,1.0,1.0,1.0,0.0,0.546967149,0.0,0.77327913,1.0,1.0,1.0
33,1.0,1.0,1.0,0.2753,0.755076408,0.2852,0.851347625,1.0,1.0,1.0
34,1.0,1.0,1.0,0.4988,0.859453321,0.5084,0.799979925,1.0,1.0,1.0
35,1.0,1.0,1.0,0.6555,0.838057339,0.6649,0.710745454,1.0,1.0,1.0
36,1.0,1.0,1.0,0.727,0.84991914,0.739,0.635767758,1.0,1.0,1.0
37,1.0,1.0,1.0,0.7355,0.879191041,0.7491,0.509430289,1.0,1.0,1.0
38,1.0,1.0,1.0,0.7286,0.720450699,0.7427,0.618139982,1.0,1.0,1.0
39,1.0,1.0,1.0,0.6589,0.784591794,0.6855,0.658899546,1.0,1.0,1.0
40,1.0,1.0,1.0,0.4977,0.707923412,0.5306,0.597275257,1.0,1.0,1.0
41,1.0,1.0,1.0,0.2796,0.683650076,0.3169,0.443222761,1.0,1.0,1.0
42,1.0,1.0,1.0,0.0,0.363418788,0.0002,0.701171517,1.0,1.0,1.0
43,1.0,1.0,1.0,0.0,0.312440813,0.0,0.725046039,1.0,1.0,1.0
44,1.0,1.0,1.0,0.0,0.258420408,0.0,0.559438646,1.0,1.0,1.0
45,1.0,1.0,1.0,0.0,0.151898369,0.0,0.473131597,1.0,1.0,1.0
46,1.0,1.0,1.0,0.0,0.106907196,0.0,0.510252357,1.0,1.0,1.0
47,1.0,1.0,1.0,0.0,0.214337558,0.0,0.452961832,1.0,1.0,1.0
48,1.0,1.0,1.0,0.0,0.404683322,0.0,0.555146277,1.0,1.0,1.0
49,1.0,1.0,1.0,0.0,0.788164437,0.0,0.31698513,1.0,1.0,1.0
50,1.0,1.0,1.0,0.0,0.832224965,0.0,0.466707349,1.0,1.0,1.0
51,1.0,1.0,1.0,0.0,0.734846413,0.0,0.48304981,1.0,1.0,1.0
52,1.0,1.0,1.0,0.0,0.590619326,0.0,0.487218082,1.0,1.0,1.0
53,1.0,1.0,1.0,0.0,0.436024427,0.0,0.404704213,1.0,1.0,1.0
54,1.0,1.0,1.0,0.1168,0.47070837,0.145,0.382660687,1.0,1.0,1.0
55,1.0,1.0,1.0,0.091,0.1722188,0.1224,0.208374396,1.0,1.0,1.0
56,1.0,1.0,1.0,0.2258,0.083201431,0.2575,0.070506454,1.0,1.0,1.0
57,1.0,1.0,1.0,0.388,0.358199447,0.4072,0.090317294,1.0,1.0,1.0
58,1.0,1.0,1.0,0.505,0.258043587,0.5021,0.109320909,1.0,1.0,1.0
59,1.0,1.0,1.0,0.564,0.145203382,0.572,0.168696553,1.0,1.0,1.0
60,1.0,1.0,1.0,0.5897,0.216392785,0.5861,0.248848855,1.0,1.0,1.0
61,1.0,1.0,1.0,0.5797,0.052372407,0.566,0.232534766,1.0,1.0,1.0
62,1.0,1.0,1.0,0.5759,0.241585031,0.5915,0.16820538,1.0,1.0,1.0
