Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1.0,1.0,2000,8,48,2406.5934065934066,1,7365.0,2103.0,1004.0
,2,0.9,0.04,1800,,,1540.2197802197804,2,7087.0,2024.0,966.0
,3,0.55,0.024,1100,,,48.13186813186814,3,6960.0,1988.0,949.0
,4,0.2,0.003,400,,,4572.527472527473,4,6971.0,1991.0,950.0
,,,,,,,48.13186813186814,5,7203.0,2057.0,982.0
,,,,,,,48.13186813186814,6,7953.0,2271.0,1084.0
,,,,,,,48.13186813186814,7,9355.0,2672.0,1275.0
,,,,,,,48.13186813186814,8,10098.0,2884.0,1377.0
,,,,,,,,9,10236.0,2923.0,1395.0
,,,,,,,,10,10329.0,2950.0,1408.0
,,,,,,,,11,10429.0,2979.0,1422.0
,,,,,,,,12,10452.0,2985.0,1425.0
,,,,,,,,13,10410.0,2973.0,1419.0
,,,,,,,,14,10392.0,2968.0,1417.0
,,,,,,,,15,10359.0,2958.0,1412.0
,,,,,,,,16,10453.0,2985.0,1425.0
,,,,,,,,17,10905.0,3115.0,1487.0
,,,,,,,,18,11580.0,3307.0,1579.0
,,,,,,,,19,11613.0,3316.0,1583.0
,,,,,,,,20,11346.0,3241.0,1547.0
,,,,,,,,21,10934.0,3123.0,1491.0
,,,,,,,,22,10226.0,2920.0,1394.0
,,,,,,,,23,9304.0,2657.0,1268.0
,,,,,,,,24,8477.0,2421.0,1156.0
,,,,,,,,25,7935.0,2266.0,1082.0
,,,,,,,,26,7646.0,2184.0,1042.0
,,,,,,,,27,7543.0,2154.0,1028.0
,,,,,,,,28,7558.0,2158.0,1030.0
,,,,,,,,29,7791.0,2225.0,1062.0
,,,,,,,,30,8547.0,2440.0,1165.0
,,,,,,,,31,9940.0,2839.0,1355.0
,,,,,,,,32,10626.0,3035.0,1449.0
,,,,,,,,33,10710.0,3059.0,1460.0
,,,,,,,,34,10685.0,3051.0,1457.0
,,,,,,,,35,10660.0,3045.0,1454.0
,,,,,,,,36,10557.0,3015.0,1439.0
,,,,,,,,37,10365.0,2960.0,1413.0
,,,,,,,,38,10235.0,2923.0,1395.0
,,,,,,,,39,10076.0,2878.0,1373.0
,,,,,,,,40,10023.0,2863.0,1367.0
,,,,,,,,41,10322.0,2948.0,1407.0
