Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,12,12
15,15,14
16,16,15
17,17,16
18,18,17
19,19,18
20,20,19
21,26,22
22,19,18
23,23,20
24,24,21
25,18,17
26,26,22
27,27,23
28,182,140
29,26,22
30,30,24
31,31,25
32,32,26
33,33,27
34,34,28
35,35,29
36,36,30
37,37,31
38,38,32
39,39,33
40,40,34
41,41,35
42,42,36
43,43,37
44,44,38
45,45,39
46,46,40
47,47,41
48,48,42
49,49,43
50,50,44
51,51,45
52,52,46
53,53,47
54,54,48
55,55,49
56,56,50
57,48,42
58,55,49
59,154,117
60,60,51
61,61,52
62,62,53
63,63,54
64,64,55
65,134,102
66,66,56
67,67,57
68,68,58
69,69,59
70,70,60
71,68,58
72,81,63
73,82,64
74,132,100
75,115,87
76,76,61
77,143,110
78,135,103
79,62,53
80,80,62
81,81,63
82,82,64
83,69,59
84,84,65
85,85,66
86,86,67
87,100,76
88,88,68
89,76,61
90,90,69
91,91,70
92,118,90
93,93,71
94,94,72
95,95,73
96,118,90
97,97,74
98,97,74
99,99,75
100,100,76
101,101,77
102,102,78
103,103,79
104,113,86
105,105,80
106,106,81
107,107,82
108,108,83
109,109,84
110,107,82
111,108,83
112,112,85
113,113,86
114,113,86
115,115,87
116,116,88
117,117,89
118,118,90
119,85,66
120,120,91
121,121,92
122,122,93
123,85,66
124,124,94
125,117,89
126,126,95
127,127,96
128,85,66
129,129,97
130,130,98
131,131,99
132,132,100
133,133,101
134,134,102
135,135,103
136,136,104
137,134,102
138,138,105
139,139,106
140,140,107
141,141,108
142,142,109
143,143,110
144,144,111
145,127,96
146,146,112
147,133,101
148,148,113
149,139,106
150,141,108
151,151,114
152,152,115
153,153,116
154,154,117
155,155,118
156,156,119
157,157,120
158,158,121
159,155,118
160,160,122
161,158,121
162,162,123
163,163,124
164,164,125
165,165,126
166,160,122
167,160,122
168,168,127
169,169,128
170,170,129
171,171,130
172,172,131
173,169,128
174,174,132
175,175,133
176,176,134
177,177,135
178,178,136
179,179,137
180,180,138
181,181,139
182,182,140
