Time_Index,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery
85,1.0,1.0,1.0,0.353561,0.4065,0.432,0.432,1.0
86,1.0,1.0,1.0,0.244365,0.3281,0.3627,0.3627,1.0
87,1.0,1.0,1.0,0.217719,0.3412,0.3511,0.3511,1.0
88,1.0,1.0,1.0,0.072045,0.2908,0.284,0.284,1.0
89,1.0,1.0,1.0,0.006393,0.2931,0.317,0.317,1.0
90,1.0,1.0,1.0,0.0,0.3401,0.3296,0.3296,1.0
91,1.0,1.0,1.0,0.0,0.3797,0.3879,0.3879,1.0
92,1.0,1.0,1.0,0.0,0.3333,0.4868,0.4868,1.0
93,1.0,1.0,1.0,0.0,0.4253,0.6133,0.6133,1.0
94,1.0,1.0,1.0,0.0,0.4746,0.7255,0.7255,1.0
95,1.0,1.0,1.0,0.0,0.5264,0.7696,0.7696,1.0
96,1.0,1.0,1.0,0.0,0.5134,0.8189,0.8189,1.0
97,1.0,1.0,1.0,0.0,0.4873,0.8539,0.8539,1.0
98,1.0,1.0,1.0,0.0,0.4236,0.7994,0.7994,1.0
99,1.0,1.0,1.0,0.0,0.467,0.7155,0.7155,1.0
100,1.0,1.0,1.0,0.0,0.4236,0.666,0.666,1.0
101,1.0,1.0,1.0,0.0,0.3792,0.5803,0.5803,1.0
102,1.0,1.0,1.0,0.0,0.3882,0.4799,0.4799,1.0
103,1.0,1.0,1.0,0.0,0.4419,0.4074,0.4074,1.0
104,1.0,1.0,1.0,0.002791,0.3422,0.3899,0.3899,1.0
105,1.0,1.0,1.0,0.036361,0.2376,0.3688,0.3688,1.0
106,1.0,1.0,1.0,0.111709,0.2026,0.4186,0.4186,1.0
107,1.0,1.0,1.0,0.215701,0.2046,0.3972,0.3972,1.0
108,1.0,1.0,1.0,0.276724,0.2254,0.4331,0.4331,1.0
109,1.0,1.0,1.0,0.244795,0.3334,0.4198,0.4198,1.0
110,1.0,1.0,1.0,0.168974,0.4032,0.4838,0.4838,1.0
111,1.0,1.0,1.0,0.117418,0.5234,0.5401,0.5401,1.0
112,1.0,1.0,1.0,0.060264,0.5926,0.6455,0.6455,1.0
113,1.0,1.0,1.0,0.004594,0.6511,0.6045,0.6045,1.0
114,1.0,1.0,1.0,0.0,0.6195,0.5855,0.5855,1.0
115,1.0,1.0,1.0,0.0,0.5255,0.595,0.595,1.0
116,1.0,1.0,1.0,0.0,0.5665,0.5827,0.5827,1.0
117,1.0,1.0,1.0,0.0,0.5779,0.595,0.595,1.0
118,1.0,1.0,1.0,0.0,0.6427,0.6045,0.6045,1.0
119,1.0,1.0,1.0,0.0,0.5394,0.6035,0.6035,1.0
120,1.0,1.0,1.0,0.0,0.6562,0.6224,0.6224,1.0
121,1.0,1.0,1.0,0.0,0.6352,0.6224,0.6224,1.0
122,1.0,1.0,1.0,0.0,0.6016,0.5445,0.5445,1.0
123,1.0,1.0,1.0,0.0,0.5284,0.4608,0.4608,1.0
124,1.0,1.0,1.0,0.0,0.4281,0.3772,0.3772,1.0
125,1.0,1.0,1.0,0.0,0.3111,0.3228,0.3228,1.0
126,1.0,1.0,1.0,0.0,0.2,0.2518,0.2518,1.0
127,1.0,1.0,1.0,0.0,0.2034,0.2596,0.2596,1.0
