Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1.0,11441.992,21.0,1.0,0.0
,,,,,,,2.0,11021.235,21.0,0.0,1.0
,,,,,,,3.0,10717.157,21.0,0.0,1.0
,,,,,,,4.0,10594.3,21.0,0.0,1.0
,,,,,,,5.0,10697.451,21.0,0.0,1.0
,,,,,,,6.0,11021.935,21.0,0.0,1.0
,,,,,,,7.0,11499.809,21.0,0.0,1.0
,,,,,,,8.0,11855.218,21.0,0.0,1.0
,,,,,,,9.0,12363.745,21.0,0.0,1.0
,,,,,,,10.0,12902.59,21.0,0.0,1.0
,,,,,,,11.0,13363.567,21.0,0.0,1.0
,,,,,,,12.0,13661.133,21.0,0.0,1.0
,,,,,,,13.0,13808.497,21.0,0.0,1.0
,,,,,,,14.0,13787.923,21.0,0.0,1.0
,,,,,,,15.0,13734.434,21.0,0.0,1.0
,,,,,,,16.0,13907.008,21.0,0.0,1.0
,,,,,,,17.0,14808.387,21.0,0.0,1.0
,,,,,,,18.0,15743.772,21.0,0.0,1.0
,,,,,,,19.0,15549.624,21.0,0.0,1.0
,,,,,,,20.0,15125.505,21.0,0.0,1.0
,,,,,,,21.0,14533.007,21.0,0.0,1.0
,,,,,,,22.0,13712.575,21.0,0.0,1.0
,,,,,,,23.0,12687.501,21.0,0.0,1.0
,,,,,,,24.0,11801.446,21.0,0.0,1.0
,,,,,,,25.0,11224.864,21.0,0.0,1.0
,,,,,,,26.0,10908.916,21.0,0.0,1.0
,,,,,,,27.0,10807.02,21.0,0.0,1.0
,,,,,,,28.0,10889.198,21.0,0.0,1.0
,,,,,,,29.0,11292.703,21.0,0.0,1.0
,,,,,,,30.0,12286.773,21.0,0.0,1.0
,,,,,,,31.0,13921.493,21.0,0.0,1.0
,,,,,,,32.0,14887.726,21.0,0.0,1.0
,,,,,,,33.0,15144.487,21.0,0.0,1.0
,,,,,,,34.0,15239.947,21.0,0.0,1.0
,,,,,,,35.0,15273.792,21.0,0.0,1.0
,,,,,,,36.0,15116.756,21.0,0.0,1.0
,,,,,,,37.0,14915.784,21.0,0.0,1.0
,,,,,,,38.0,14715.914,21.0,0.0,1.0
,,,,,,,39.0,14577.815,21.0,0.0,1.0
,,,,,,,40.0,14642.255,21.0,0.0,1.0
,,,,,,,41.0,15445.78,21.0,0.0,1.0
,,,,,,,42.0,16290.739,21.0,0.0,1.0
,,,,,,,43.0,16129.312,21.0,0.0,1.0
,,,,,,,44.0,15664.5,21.0,0.0,1.0
,,,,,,,45.0,15020.622,21.0,0.0,1.0
,,,,,,,46.0,14070.84,21.0,0.0,1.0
,,,,,,,47.0,12875.403,21.0,0.0,1.0
,,,,,,,48.0,11787.792,21.0,0.0,1.0
,,,,,,,49.0,11072.908,21.0,0.0,1.0
,,,,,,,50.0,10677.987,21.0,0.0,1.0
,,,,,,,51.0,10475.367,21.0,0.0,1.0
,,,,,,,52.0,10457.543,21.0,0.0,1.0
,,,,,,,53.0,10763.271,21.0,0.0,1.0
,,,,,,,54.0,11649.659,21.0,0.0,1.0
,,,,,,,55.0,13130.921,21.0,0.0,1.0
,,,,,,,56.0,14099.828,21.0,0.0,1.0
,,,,,,,57.0,14435.804,21.0,0.0,1.0
,,,,,,,58.0,14632.709,21.0,0.0,1.0
,,,,,,,59.0,14791.341,21.0,0.0,1.0
,,,,,,,60.0,14770.667,21.0,0.0,1.0
,,,,,,,61.0,14657.207,21.0,0.0,1.0
,,,,,,,62.0,14603.675,21.0,0.0,1.0
,,,,,,,63.0,14466.96,21.0,0.0,1.0
,,,,,,,64.0,14471.378,21.0,0.0,1.0
,,,,,,,65.0,15062.617,21.0,0.0,1.0
,,,,,,,66.0,15532.169,21.0,0.0,1.0
,,,,,,,67.0,15255.204,21.0,0.0,1.0
,,,,,,,68.0,14739.584,21.0,0.0,1.0
,,,,,,,69.0,14161.636,21.0,0.0,1.0
,,,,,,,70.0,13420.508,21.0,0.0,1.0
,,,,,,,71.0,12477.733,21.0,0.0,1.0
,,,,,,,72.0,11521.364,21.0,0.0,1.0
,,,,,,,73.0,10794.785,21.0,0.0,1.0
,,,,,,,74.0,10357.632,21.0,0.0,1.0
,,,,,,,75.0,10115.787,21.0,0.0,1.0
,,,,,,,76.0,10034.839,21.0,0.0,1.0
,,,,,,,77.0,10135.871,21.0,0.0,1.0
,,,,,,,78.0,10490.026,21.0,0.0,1.0
,,,,,,,79.0,11129.489,21.0,0.0,1.0
,,,,,,,80.0,11853.852,21.0,0.0,1.0
,,,,,,,81.0,12660.16,21.0,0.0,1.0
,,,,,,,82.0,13375.289,21.0,0.0,1.0
,,,,,,,83.0,13822.951,21.0,0.0,1.0
,,,,,,,84.0,14055.26,21.0,0.0,1.0
,,,,,,,85.0,14108.663,21.0,0.0,1.0
,,,,,,,86.0,14017.087,21.0,0.0,1.0
,,,,,,,87.0,13904.5,21.0,0.0,1.0
,,,,,,,88.0,13969.495,21.0,0.0,1.0
,,,,,,,89.0,14520.346,21.0,0.0,1.0
,,,,,,,90.0,14920.253,21.0,0.0,1.0
,,,,,,,91.0,14673.941,21.0,0.0,1.0
,,,,,,,92.0,14168.171,21.0,0.0,1.0
,,,,,,,93.0,13710.348,21.0,0.0,1.0
,,,,,,,94.0,13076.726,21.0,0.0,1.0
,,,,,,,95.0,12414.967,21.0,0.0,1.0
,,,,,,,96.0,11635.314,21.0,0.0,1.0
,,,,,,,97.0,10951.768,21.0,0.0,1.0
,,,,,,,98.0,10508.419,21.0,0.0,1.0
,,,,,,,99.0,10301.382,21.0,0.0,1.0
,,,,,,,100.0,10240.856,21.0,0.0,1.0
,,,,,,,101.0,10373.528,21.0,0.0,1.0
,,,,,,,102.0,10676.35,21.0,0.0,1.0
,,,,,,,103.0,11220.397,21.0,0.0,1.0
,,,,,,,104.0,11834.6,21.0,0.0,1.0
,,,,,,,105.0,12603.587,21.0,0.0,1.0
,,,,,,,106.0,13290.244,21.0,0.0,1.0
,,,,,,,107.0,13766.767,21.0,0.0,1.0
,,,,,,,108.0,14043.758,21.0,0.0,1.0
,,,,,,,109.0,14200.615,21.0,0.0,1.0
,,,,,,,110.0,14130.773,21.0,0.0,1.0
,,,,,,,111.0,14052.276,21.0,0.0,1.0
,,,,,,,112.0,14217.006,21.0,0.0,1.0
,,,,,,,113.0,15109.049,21.0,0.0,1.0
,,,,,,,114.0,16103.965,21.0,0.0,1.0
,,,,,,,115.0,15988.083,21.0,0.0,1.0
,,,,,,,116.0,15553.956,21.0,0.0,1.0
,,,,,,,117.0,14954.867,21.0,0.0,1.0
,,,,,,,118.0,14094.284,21.0,0.0,1.0
,,,,,,,119.0,13074.2,21.0,0.0,1.0
,,,,,,,120.0,12190.632,21.0,0.0,1.0
,,,,,,,121.0,11616.993,21.0,0.0,1.0
,,,,,,,122.0,11316.069,21.0,0.0,1.0
,,,,,,,123.0,11236.353,21.0,0.0,1.0
,,,,,,,124.0,11306.633,21.0,0.0,1.0
,,,,,,,125.0,11748.948,21.0,0.0,1.0
,,,,,,,126.0,12816.515,21.0,0.0,1.0
,,,,,,,127.0,14534.827,21.0,0.0,1.0
,,,,,,,128.0,15524.298,21.0,0.0,1.0
,,,,,,,129.0,15757.382,21.0,0.0,1.0
,,,,,,,130.0,15851.439,21.0,0.0,1.0
,,,,,,,131.0,15917.431,21.0,0.0,1.0
,,,,,,,132.0,15933.44,21.0,0.0,1.0
,,,,,,,133.0,15818.309,21.0,0.0,1.0
,,,,,,,134.0,15703.798,21.0,0.0,1.0
,,,,,,,135.0,15498.235,21.0,0.0,1.0
,,,,,,,136.0,15474.523,21.0,0.0,1.0
,,,,,,,137.0,16093.643,21.0,0.0,1.0
,,,,,,,138.0,16959.477,21.0,0.0,1.0
,,,,,,,139.0,16845.852,21.0,0.0,1.0
,,,,,,,140.0,16409.414,21.0,0.0,1.0
,,,,,,,141.0,15751.829,21.0,0.0,1.0
,,,,,,,142.0,14761.629,21.0,0.0,1.0
,,,,,,,143.0,13551.241,21.0,0.0,1.0
,,,,,,,144.0,12529.769,21.0,0.0,1.0
,,,,,,,145.0,11802.326,21.0,0.0,1.0
,,,,,,,146.0,11458.255,21.0,0.0,1.0
,,,,,,,147.0,11306.05,21.0,0.0,1.0
,,,,,,,148.0,11345.887,21.0,0.0,1.0
,,,,,,,149.0,11717.488,21.0,0.0,1.0
,,,,,,,150.0,12744.873,21.0,0.0,1.0
,,,,,,,151.0,14449.557,21.0,0.0,1.0
,,,,,,,152.0,15370.113,21.0,0.0,1.0
,,,,,,,153.0,15514.685,21.0,0.0,1.0
,,,,,,,154.0,15464.839,21.0,0.0,1.0
,,,,,,,155.0,15385.632,21.0,0.0,1.0
,,,,,,,156.0,15239.977,21.0,0.0,1.0
,,,,,,,157.0,15060.683,21.0,0.0,1.0
,,,,,,,158.0,14981.964,21.0,0.0,1.0
,,,,,,,159.0,14852.68,21.0,0.0,1.0
,,,,,,,160.0,14986.175,21.0,0.0,1.0
,,,,,,,161.0,15787.882,21.0,0.0,1.0
,,,,,,,162.0,16580.562,21.0,0.0,1.0
,,,,,,,163.0,16453.987,21.0,0.0,1.0
,,,,,,,164.0,16002.649,21.0,0.0,1.0
,,,,,,,165.0,15312.803,21.0,0.0,1.0
,,,,,,,166.0,14376.427,21.0,0.0,1.0
,,,,,,,167.0,13166.748,21.0,0.0,1.0
,,,,,,,168.0,12156.216,21.0,0.0,1.0
,,,,,,,169.0,11540.287,21.0,0.0,1.0
,,,,,,,170.0,11196.849,21.0,0.0,1.0
,,,,,,,171.0,11049.886,21.0,0.0,1.0
,,,,,,,172.0,11094.435,21.0,0.0,1.0
,,,,,,,173.0,11482.145,21.0,0.0,1.0
,,,,,,,174.0,12520.557,21.0,0.0,1.0
,,,,,,,175.0,14215.862,21.0,0.0,1.0
,,,,,,,176.0,15162.597,21.0,0.0,1.0
,,,,,,,177.0,15339.867,21.0,0.0,1.0
,,,,,,,178.0,15318.623,21.0,0.0,1.0
