Qt_Data_Points,Max_Rel_TimeStep
2134,132
2154,159
2110,131
1835,134
1991,138
2035,120
2111,133
2109,95
1867,166
1982,99
2100,122
2023,113
2101,209
2089,99
2035,186
1990,119
2171,90
1896,108
1952,113
2004,127
1970,135
1965,118
1881,119
