Period_Index,Rep_Period,Rep_Period_Index
1,8,3
2,3,1
3,3,1
4,4,2
5,4,2
6,3,1
7,3,1
8,8,3
9,3,1
10,4,2
11,3,1
12,13,4
13,13,4
14,8,3
15,4,2
16,13,4
17,13,4
18,3,1
19,8,3
20,4,2
21,13,4
22,13,4
23,13,4
