Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,16,11
3,3,2
4,15,10
5,10,5
6,6,3
7,1,1
8,8,4
9,3,2
10,10,5
11,11,6
12,12,7
13,13,8
14,14,9
15,15,10
16,16,11
17,17,12
18,18,13
19,19,14
20,14,9
21,21,15
22,22,16
23,13,8
