Period_Index,Rep_Period,Rep_Period_Index
1,7,1
2,7,1
3,7,1
4,8,2
5,13,3
6,7,1
7,7,1
8,8,2
9,7,1
10,13,3
11,7,1
12,7,1
13,13,3
14,7,1
15,21,4
16,13,3
17,7,1
18,7,1
19,8,2
20,21,4
21,21,4
22,21,4
23,21,4
