Period_Index,Rep_Period,Rep_Period_Index
1,8,3
2,2,1
3,3,2
4,3,2
5,8,3
6,3,2
7,3,2
8,8,3
9,2,1
10,3,2
11,3,2
12,3,2
13,2,1
14,2,1
15,21,4
16,2,1
17,3,2
18,3,2
19,8,3
20,21,4
21,21,4
22,21,4
23,21,4
