Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,2,2
9,9,8
10,10,9
11,11,10
12,12,11
13,13,12
14,14,13
15,15,14
16,16,15
17,17,16
18,18,17
19,19,18
20,20,19
21,21,20
22,22,21
23,23,22
24,24,23
25,25,24
26,26,25
27,19,18
28,28,26
29,29,27
30,30,28
31,31,29
32,32,30
33,33,31
34,34,32
35,35,33
36,36,34
37,37,35
38,38,36
39,39,37
40,40,38
41,41,39
42,42,40
43,43,41
44,44,42
45,45,43
46,46,44
47,48,45
48,48,45
49,49,46
50,50,47
51,51,48
52,52,49
53,53,50
54,54,51
55,55,52
56,56,53
57,57,54
58,58,55
59,154,135
60,54,51
61,61,56
62,62,57
63,84,75
64,64,58
65,65,59
66,66,60
67,67,61
68,68,62
69,69,63
70,84,75
71,71,64
72,72,65
73,73,66
74,132,116
75,75,67
76,76,68
77,77,69
78,78,70
79,62,57
80,80,71
81,81,72
82,82,73
83,83,74
84,84,75
85,80,71
86,86,76
87,87,77
88,88,78
89,89,79
90,90,80
91,91,81
92,91,81
93,93,82
94,94,83
95,95,84
96,96,85
97,97,86
98,98,87
99,99,88
100,100,89
101,101,90
102,102,91
103,103,92
104,104,93
105,101,90
106,106,94
107,107,95
108,108,96
109,109,97
110,107,95
111,108,96
112,112,98
113,113,99
114,114,100
115,115,101
116,116,102
117,117,103
118,113,99
119,119,104
120,120,105
121,121,106
122,122,107
123,123,108
124,124,109
125,112,98
126,126,110
127,127,111
128,128,112
129,129,113
130,130,114
131,131,115
132,132,116
133,133,117
134,134,118
135,135,119
136,136,120
137,133,117
138,138,121
139,139,122
140,140,123
141,141,124
142,142,125
143,143,126
144,144,127
145,143,126
146,146,128
147,147,129
148,148,130
149,149,131
150,149,131
151,151,132
152,152,133
153,153,134
154,154,135
155,155,136
156,156,137
157,157,138
158,158,139
159,155,136
160,160,140
161,161,141
162,162,142
163,163,143
164,164,144
165,165,145
166,160,140
167,167,146
168,168,147
169,169,148
170,170,149
171,171,150
172,172,151
173,169,148
174,174,152
175,175,153
176,176,154
177,177,155
178,178,156
179,179,157
180,180,158
181,181,159
182,182,160
