Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,1,8736,200928.0,1,11998.282403627723
,,,,,,,2,11362.61181270705
,,,,,,,3,10877.812406340332
,,,,,,,4,10632.395279465896
,,,,,,,5,10599.203618864025
,,,,,,,6,10795.33615878417
,,,,,,,7,11192.630278109591
,,,,,,,8,11536.91832126172
,,,,,,,9,12163.536641109158
,,,,,,,10,12771.044610913093
,,,,,,,11,13155.665550735983
,,,,,,,12,13311.968097933883
,,,,,,,13,13382.37465072573
,,,,,,,14,13251.31788174319
,,,,,,,15,13109.297806683067
,,,,,,,16,13175.681127886808
,,,,,,,17,14462.109428183552
,,,,,,,18,15672.498651465101
,,,,,,,19,15566.888822277331
,,,,,,,20,15095.164918571958
,,,,,,,21,14534.929919928261
,,,,,,,22,13751.40556814471
,,,,,,,23,12761.690597470748
,,,,,,,24,11687.487763446572
,,,,,,,25,10783.266464019853
,,,,,,,26,10242.141815419658
,,,,,,,27,9974.596914810641
,,,,,,,28,9920.283288371216
,,,,,,,29,10144.5784494081
,,,,,,,30,10697.77279277261
,,,,,,,31,11519.517844643166
,,,,,,,32,12188.279515376007
,,,,,,,33,13039.192996260326
,,,,,,,34,13920.984779583358
,,,,,,,35,14552.933881285033
,,,,,,,36,14824.401432692453
,,,,,,,37,14812.130576348733
,,,,,,,38,14695.859183452483
,,,,,,,39,14633.19735146774
,,,,,,,40,14845.724560109415
,,,,,,,41,16232.230746160283
,,,,,,,42,17615.719508520073
,,,,,,,43,17477.92382662746
,,,,,,,44,17048.443854597193
,,,,,,,45,16360.471253031146
,,,,,,,46,15281.239379521838
,,,,,,,47,13941.503260682695
,,,,,,,48,12708.38277892835
,,,,,,,49,11892.672574439954
,,,,,,,50,11483.308760350215
,,,,,,,51,11304.274954679518
,,,,,,,52,11347.524694251653
,,,,,,,53,11761.917547826524
,,,,,,,54,12964.863792670078
,,,,,,,55,15103.211381748168
,,,,,,,56,16297.407097887592
,,,,,,,57,16500.58029308692
,,,,,,,58,16649.842185005637
,,,,,,,59,16810.369125371046
,,,,,,,60,16852.11015309764
,,,,,,,61,16793.974456649517
,,,,,,,62,16752.233428922922
,,,,,,,63,16672.372281899028
,,,,,,,64,16883.390778695164
,,,,,,,65,18197.881119318943
,,,,,,,66,19620.294647293653
,,,,,,,67,19654.492115792553
,,,,,,,68,19319.558086082765
,,,,,,,69,18685.899110956143
,,,,,,,70,17577.49880843307
,,,,,,,71,16098.961199804287
,,,,,,,72,14802.47482053728
,,,,,,,73,13997.828502916173
,,,,,,,74,13575.389186165092
,,,,,,,75,13373.221798862789
,,,,,,,76,13407.419267361687
,,,,,,,77,13763.475262909025
,,,,,,,78,14909.090457622076
,,,,,,,79,17018.2696176864
,,,,,,,80,18122.948430990476
,,,,,,,81,18174.244633738825
,,,,,,,82,18150.80930973811
,,,,,,,83,18124.96004678453
,,,,,,,84,17971.071438539493
,,,,,,,85,17718.714237175576
,,,,,,,86,17561.607043660053
,,,,,,,87,17420.995099655767
,,,,,,,88,17588.66327609006
,,,,,,,89,18800.76237279656
,,,,,,,90,19777.20067922977
,,,,,,,91,19630.352726263918
,,,,,,,92,19161.646246249624
,,,,,,,93,18419.36001824415
,,,,,,,94,17217.419581297625
,,,,,,,95,15663.446380391864
,,,,,,,96,14216.088816570898
,,,,,,,97,13288.733935512573
,,,,,,,98,12806.951952836936
,,,,,,,99,12569.581289138709
,,,,,,,100,12524.319933772522
,,,,,,,101,12845.172652923939
,,,,,,,102,13909.317407977851
,,,,,,,103,15913.892546751433
,,,,,,,104,17073.89079439196
,,,,,,,105,17203.438851528957
,,,,,,,106,17295.36969331717
,,,,,,,107,17245.682783204065
,,,,,,,108,17013.642901360083
,,,,,,,109,16792.16400243487
,,,,,,,110,16696.008767479147
,,,,,,,111,16558.01192400713
,,,,,,,112,16654.569482121664
,,,,,,,113,17717.80901006825
,,,,,,,114,18861.91549293576
,,,,,,,115,18785.474092761757
,,,,,,,116,18346.941849658255
,,,,,,,117,17663.99828757734
,,,,,,,118,16529.44697973158
,,,,,,,119,15010.67705522174
,,,,,,,120,13695.080325911233
,,,,,,,121,12827.068110777464
,,,,,,,122,12381.495212394775
,,,,,,,123,12147.141972387628
,,,,,,,124,12080.758651183887
,,,,,,,125,12375.460365012617
,,,,,,,126,13417.47734633195
,,,,,,,127,15368.744666563134
,,,,,,,128,16534.777761585818
,,,,,,,129,16679.31235638851
,,,,,,,130,16704.055230655358
,,,,,,,131,16659.799683186196
,,,,,,,132,16431.1795481921
,,,,,,,133,16153.777730192225
,,,,,,,134,15990.937431663655
,,,,,,,135,15755.477802969777
,,,,,,,136,15818.340796533927
,,,,,,,137,16739.9625725792
,,,,,,,138,17619.742740108177
,,,,,,,139,17328.05844997053
,,,,,,,140,16828.171925148414
,,,,,,,141,16167.356136802082
,,,,,,,142,15295.320690080207
,,,,,,,143,14124.560297941498
,,,,,,,144,12906.526934642548
,,,,,,,145,11983.195285172327
,,,,,,,146,11476.26810507103
,,,,,,,147,11202.688357079855
,,,,,,,148,11089.032064715873
,,,,,,,149,11200.676741285803
,,,,,,,150,11624.121865933908
,,,,,,,151,12386.524251879908
,,,,,,,152,13175.077643148592
,,,,,,,153,14024.180669818265
,,,,,,,154,14556.655370504031
,,,,,,,155,14710.745140328472
,,,,,,,156,14590.85283900293
,,,,,,,157,14318.178318119077
,,,,,,,158,14012.412717423056
,,,,,,,159,13784.094324798067
,,,,,,,160,13911.630766141012
,,,,,,,161,14925.786868712714
,,,,,,,162,15939.037744177092
,,,,,,,163,15756.986514815317
,,,,,,,164,15250.05933471402
,,,,,,,165,14757.213465171093
,,,,,,,166,14065.21763201694
,,,,,,,167,13170.04860366346
,,,,,,,168,12176.310401401393
,,,,,,,169,11347.524694251653
,,,,,,,170,10866.748519473043
,,,,,,,171,10586.128116202683
,,,,,,,172,10505.66348444057
,,,,,,,173,10582.104884614577
,,,,,,,174,10893.905332692755
,,,,,,,175,11491.355223526427
,,,,,,,176,12107.311979665383
,,,,,,,177,12997.552549323435
,,,,,,,178,13696.287295387665
,,,,,,,179,14138.239285341057
,,,,,,,180,14393.211587237245
,,,,,,,181,14458.790262123364
,,,,,,,182,14369.876844026232
,,,,,,,183,14300.979003079925
,,,,,,,184,14485.544752184265
,,,,,,,185,15723.392531054636
,,,,,,,186,16998.153459745874
,,,,,,,187,16958.926951761845
,,,,,,,188,16525.423748143472
,,,,,,,189,15958.148094220594
,,,,,,,190,15000.618976251477
,,,,,,,191,13767.498494497131
,,,,,,,192,12689.27242888485
,,,,,,,193,11974.14301409909
,,,,,,,194,11629.150905419041
,,,,,,,195,11517.506228849112
,,,,,,,196,11564.779200009352
,,,,,,,197,11985.206900966381
,,,,,,,198,13182.118298427777
,,,,,,,199,15342.593661240448
,,,,,,,200,16587.280933810598
,,,,,,,201,16716.426667788786
,,,,,,,202,16752.43459050233
,,,,,,,203,16752.93749445084
,,,,,,,204,16613.73368150239
,,,,,,,205,16351.620143537315
,,,,,,,206,16163.534066793381
,,,,,,,207,15927.47095336129
,,,,,,,208,15960.059129224943
,,,,,,,209,17031.54628192715
,,,,,,,210,18458.58652622818
,,,,,,,211,18412.31936296497
,,,,,,,212,17923.496725010147
,,,,,,,213,17198.309231254123
,,,,,,,214,16007.432681174887
,,,,,,,215,14503.749875120444
,,,,,,,216,13185.135722118855
,,,,,,,217,12294.995733250507
,,,,,,,218,11864.509953323215
,,,,,,,219,11631.162521213093
,,,,,,,220,11614.063786963645
,,,,,,,221,11957.044279849642
,,,,,,,222,13065.444582372716
,,,,,,,223,15164.565663466778
,,,,,,,224,16280.91184837636
,,,,,,,225,16358.057314078284
,,,,,,,226,16449.38467112828
,,,,,,,227,16476.642065137694
,,,,,,,228,16327.78249637779
,,,,,,,229,16076.028779752087
,,,,,,,230,15931.293023369988
,,,,,,,231,15777.806738283763
,,,,,,,232,15863.400990320708
,,,,,,,233,16913.967338764764
,,,,,,,234,18061.29240690276
,,,,,,,235,17943.612882950674
,,,,,,,236,17496.028368773932
,,,,,,,237,16821.13126986923
,,,,,,,238,15712.730967346157
,,,,,,,239,14256.321132451954
,,,,,,,240,12980.9567190225
,,,,,,,241,12154.182627666813
,,,,,,,242,11750.853660959234
,,,,,,,243,11579.866318464748
,,,,,,,244,11618.08701855175
,,,,,,,245,12001.299827318802
,,,,,,,246,13202.234456368304
,,,,,,,247,15328.512350682078
,,,,,,,248,16442.444596638798
,,,,,,,249,16448.278282441548
,,,,,,,250,16377.469406490893
,,,,,,,251,16331.906308755599
,,,,,,,252,16201.151282142167
,,,,,,,253,15966.093976607102
,,,,,,,254,15862.495763213385
,,,,,,,255,15702.371146006786
,,,,,,,256,15795.207214902319
,,,,,,,257,16817.912684598745
,,,,,,,258,18060.286599005733
,,,,,,,259,17987.868430419836
,,,,,,,260,17552.35361100741
,,,,,,,261,16876.450704205683
,,,,,,,262,15706.696119963997
,,,,,,,263,14202.00750601253
,,,,,,,264,12880.375929319862
,,,,,,,265,12021.415985259331
,,,,,,,266,11548.686273656931
,,,,,,,267,11319.362073134915
,,,,,,,268,11300.251723091415
,,,,,,,269,11632.16832911012
,,,,,,,270,12719.44666579564
,,,,,,,271,14696.86499134951
,,,,,,,272,16076.833426069707
,,,,,,,273,16452.100352450252
,,,,,,,274,16724.674292544398
,,,,,,,275,16955.205462542846
,,,,,,,276,17027.020146390532
,,,,,,,277,16969.689096260026
,,,,,,,278,16892.3424689787
