$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
2000.0,1.0,1.0,1.0,1.0,8760.0,8760.0,50000.0,1.0,7268.25,2075.625,990.875,8.0
1800.0,0.9,2.0,0.04,,,,,2.0,7946.0,2269.0,1083.0,1.0
1100.0,0.55,3.0,0.024,,,,,3.0,8340.0,2382.0,1137.0,1.0
400.0,0.2,4.0,0.003,,,,,4.0,8650.333333333334,2470.0,1179.0,3.0
,,,,,,,,5.0,8587.0,2452.0,1170.5,2.0
,,,,,,,,6.0,8594.0,2454.0,1171.0,1.0
,,,,,,,,7.0,9431.0,2693.0,1286.0,1.0
,,,,,,,,8.0,8035.8,2294.733333333333,1095.4,15.0
,,,,,,,,9.0,8513.0,2431.0,1161.0,1.0
,,,,,,,,10.0,9492.166666666666,2710.6666666666665,1293.8333333333333,6.0
,,,,,,,,11.0,9687.0,2766.0,1321.0,1.0
,,,,,,,,12.0,9421.764705882353,2690.6470588235293,1284.4117647058824,17.0
,,,,,,,,13.0,10908.57142857143,3115.4285714285716,1487.0,7.0
,,,,,,,,14.0,10692.625,3053.75,1457.8125,16.0
,,,,,,,,15.0,11834.0,3380.0,1614.0,1.0
,,,,,,,,16.0,11803.0,3371.0,1609.0,1.0
,,,,,,,,17.0,11777.0,3363.0,1605.0,1.0
,,,,,,,,18.0,11464.0,3274.25,1563.0,4.0
,,,,,,,,19.0,11423.0,3262.0,1557.0,1.0
,,,,,,,,20.0,12221.0,3491.0,1666.0,1.0
,,,,,,,,21.0,10272.4375,2933.875,1400.5,16.0
,,,,,,,,22.0,11267.0,3218.0,1536.0,1.0
,,,,,,,,23.0,11066.0,3160.3333333333335,1509.0,3.0
,,,,,,,,24.0,10826.0,3092.0,1476.0,2.0
,,,,,,,,25.0,10853.0,3100.0,1479.0,1.0
,,,,,,,,26.0,11542.0,3296.0,1574.0,1.0
,,,,,,,,27.0,9740.461538461539,2781.769230769231,1327.7692307692307,13.0
,,,,,,,,28.0,10032.0,2865.0,1368.0,1.0
,,,,,,,,29.0,10800.0,3085.0,1473.0,1.0
,,,,,,,,30.0,10890.0,3110.0,1484.0,1.0
,,,,,,,,31.0,10901.0,3113.0,1486.0,1.0
,,,,,,,,32.0,10853.0,3100.0,1479.0,1.0
,,,,,,,,33.0,10603.5,3028.0,1446.0,2.0
,,,,,,,,34.0,10350.5,2955.5,1411.0,2.0
,,,,,,,,35.0,9096.941176470587,2598.0588235294117,1240.1176470588234,17.0
,,,,,,,,36.0,9143.0,2611.0,1247.0,1.0
