Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,3,3
4,4,4
5,10,6
6,6,5
7,1,1
8,19,13
9,3,3
10,10,6
11,11,7
12,12,8
13,13,9
14,14,10
15,15,11
16,16,12
17,15,11
18,11,7
19,19,13
20,20,14
21,21,15
22,22,16
23,13,9
