Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,11441.992,1,1,0,1
,,,,,,,2,12820.65621875,1,0,1,32
,,,,,,,3,15239.947,1,0,1,1
,,,,,,,4,15195.274,1,0,1,2
,,,,,,,5,13483.142293103441,1,0,1,116
,,,,,,,6,15514.685,1,0,1,1
,,,,,,,7,15425.235499999999,1,0,1,2
,,,,,,,8,14025.510818181821,1,0,1,22
,,,,,,,9,15318.623,1,0,1,1
,,,,,,,10,14751.77891304348,1,0,1,23
,,,,,,,11,16456.344,1,0,1,1
,,,,,,,12,16347.35,1,0,1,2
,,,,,,,13,16087.395,1,0,1,1
,,,,,,,14,15889.865,1,0,1,1
,,,,,,,15,15751.913,1,0,1,1
,,,,,,,16,13057.51475757576,1,0,1,66
,,,,,,,17,12042.041,1,0,1,1
,,,,,,,18,13358.709323943656,1,0,1,71
,,,,,,,19,14401.61,1,0,1,1
,,,,,,,20,14227.377799999998,1,0,1,5
,,,,,,,21,13960.125976190475,1,0,1,42
,,,,,,,22,16898.474,1,0,1,1
,,,,,,,23,16657.0465,1,0,1,4
,,,,,,,24,16245.725,1,0,1,1
,,,,,,,25,15509.964384615385,1,0,1,13
,,,,,,,26,14362.9372,1,0,1,5
,,,,,,,27,14340.886374999996,1,0,1,48
,,,,,,,28,16731.484,1,0,1,1
,,,,,,,29,16680.6308,1,0,1,5
,,,,,,,30,16263.017,1,0,1,1
,,,,,,,31,17028.41633333333,1,0,1,6
,,,,,,,32,14646.914,1,0,1,1
,,,,,,,33,14067.018333333333,1,0,1,9
,,,,,,,34,17224.409,1,0,1,1
,,,,,,,35,13983.087864583327,1,0,1,192
,,,,,,,36,15146.804,1,0,1,1
,,,,,,,37,14798.071399999997,1,0,1,5
,,,,,,,38,14132.091294117648,1,0,1,17
,,,,,,,39,16109.144,1,0,1,1
,,,,,,,40,15856.39,1,0,1,1
,,,,,,,41,14559.52789473684,1,0,1,38
,,,,,,,42,13585.49962408759,1,0,1,274
,,,,,,,43,14743.115,1,0,1,1
,,,,,,,44,13965.978341666667,1,0,1,120
,,,,,,,45,14438.227666666668,1,0,1,3
,,,,,,,46,13872.858799999998,1,0,1,45
,,,,,,,47,14655.575333333332,1,0,1,3
,,,,,,,48,14398.909069767444,1,0,1,43
,,,,,,,49,16302.237000000001,1,0,1,2
,,,,,,,50,14069.605777777777,1,0,1,27
,,,,,,,51,13027.341,1,0,1,1
,,,,,,,52,12452.72688888889,1,0,1,18
,,,,,,,53,13062.247,1,0,1,1
,,,,,,,54,13063.043249999999,1,0,1,4
,,,,,,,55,12423.068,1,0,1,1
,,,,,,,56,12425.775,1,0,1,1
,,,,,,,57,12744.024842105262,1,0,1,19
,,,,,,,58,14188.858,1,0,1,1
,,,,,,,59,13988.292,1,0,1,1
,,,,,,,60,13726.772,1,0,1,1
,,,,,,,61,13283.600698113207,1,0,1,106
,,,,,,,62,13278.437903614455,1,0,1,83
,,,,,,,63,13589.457,1,0,1,2
,,,,,,,64,12666.102422222224,1,0,1,45
,,,,,,,65,14124.578,1,0,1,1
,,,,,,,66,13875.540666666668,1,0,1,3
,,,,,,,67,13321.574,1,0,1,1
,,,,,,,68,12429.481567796614,1,0,1,236
,,,,,,,69,12725.255000000001,1,0,1,5
,,,,,,,70,12319.95972222222,1,0,1,18
,,,,,,,71,14726.8546,1,0,1,5
,,,,,,,72,12572.902148760328,1,0,1,121
,,,,,,,73,11821.225,1,0,1,1
,,,,,,,74,12609.160237288132,1,0,1,118
,,,,,,,75,12510.365,1,0,1,1
,,,,,,,76,11568.819,1,0,1,20
,,,,,,,77,12646.219500000001,1,0,1,4
,,,,,,,78,11804.233574999998,1,0,1,80
