Time_Index,NG,nuclear_fuel,NGCCS
0,0.056877747,0.0,0.005388525
1,8.661,0.66,9.61608
2,8.661,0.66,9.616080000000006
3,8.661,0.66,9.61608
4,8.661,0.66,9.61608
5,8.660999999999973,0.659999999999998,9.616080000000009
6,8.661,0.66,9.61608
7,8.661,0.66,9.61608
8,8.661,0.66,9.616080000000004
9,8.661,0.66,9.61608
10,8.661,0.66,9.616080000000004
11,8.661,0.66,9.61608
12,8.661,0.66,9.61608
13,8.661,0.66,9.61608
14,8.661,0.66,9.61608
15,8.661,0.66,9.61608
16,8.660999999999994,0.6599999999999991,9.616080000000007
17,8.661,0.66,9.61608
18,8.66099999999999,0.659999999999999,9.616080000000007
19,8.661,0.66,9.61608
20,8.661,0.66,9.61608
21,8.661,0.66,9.616080000000007
22,8.661,0.66,9.61608
23,8.661,0.66,9.61608
24,8.661,0.66,9.61608
25,8.661,0.66,9.616079999999998
26,8.661,0.66,9.61608
27,8.661,0.66,9.616080000000007
28,8.661,0.66,9.61608
29,8.661,0.66,9.61608
30,8.661,0.66,9.61608
31,8.661,0.66,9.616079999999998
32,8.661,0.66,9.61608
33,8.661,0.66,9.616079999999998
34,8.661,0.66,9.61608
35,8.661000000000005,0.6599999999999975,9.616080000000009
36,8.661,0.66,9.61608
37,8.661,0.66,9.61608
38,8.661,0.66,9.61608
39,8.661,0.66,9.61608
40,8.661,0.66,9.61608
41,8.661,0.66,9.616080000000006
42,8.275000000000043,0.6599999999999973,9.230079999999989
43,8.275,0.66,9.23008
44,8.274999999999984,0.659999999999998,9.230080000000019
45,8.275,0.66,9.23008
46,8.274999999999995,0.66,9.23007999999999
47,8.275,0.66,9.23008
48,8.274999999999995,0.66,9.23007999999999
49,8.275,0.66,9.23008
50,8.275000000000004,0.66,9.230079999999994
51,8.275,0.66,9.23008
52,8.275000000000002,0.66,9.230079999999996
53,8.275,0.66,9.23008
54,8.275,0.66,9.23008
55,8.275,0.66,9.23008
56,8.275,0.66,9.23008
57,8.275000000000002,0.66,9.230079999999996
58,8.275,0.66,9.23008
59,8.275,0.66,9.23008
60,8.275,0.66,9.23008
61,8.274999999999984,0.6599999999999981,9.230080000000015
62,7.423999999999989,0.6599999999999987,8.379080000000005
63,7.424,0.66,8.37908
64,7.423999999999999,0.66,8.379079999999993
65,7.424,0.66,8.37908
66,7.424,0.66,8.37908
67,7.424,0.66,8.37908
68,7.423999999999982,0.6599999999999974,8.379079999999975
69,7.424000000000001,0.66,8.37908
70,7.424000000000003,0.66,8.379079999999998
71,7.424000000000001,0.66,8.37908
72,7.423999999999985,0.659999999999998,8.379080000000018
73,7.424,0.66,8.37908
74,7.423999999999986,0.659999999999998,8.379080000000016
75,7.424,0.66,8.37908
76,7.424000000000004,0.66,8.379079999999998
77,7.424,0.66,8.37908
78,7.42399999999999,0.6599999999999987,8.379080000000004
79,6.469000000000036,0.6599999999999971,7.424079999999983
80,6.469,0.66,7.42408
81,6.469000000000024,0.6599999999999976,7.424080000000002
82,6.469,0.66,7.42408
83,6.469,0.66,7.42408
84,6.457276872964177,0.6599999999999971,7.412356872964186
85,6.408,0.66,7.36308
86,6.408,0.66,7.36308
87,6.408,0.66,7.36308
88,6.407999999999985,0.6599999999999974,7.36308000000002
89,6.408,0.66,7.36308
90,6.4080000000000075,0.659999999999998,7.363079999999993
91,6.408,0.66,7.36308
92,6.408000000000009,0.6599999999999977,7.363079999999996
93,6.408,0.66,7.36308
94,6.407999999999993,0.66,7.36308
95,6.408,0.66,7.36308
96,6.408,0.66,7.36308
97,6.408,0.6599999999999996,7.363080000000008
98,6.408,0.66,7.36308
99,6.408000000000005,0.6599999999999985,7.363080000000002
100,6.408,0.66,7.36308
101,6.408,0.66,7.36308
102,6.408,0.66,7.36308
103,6.408,0.66,7.36308
104,6.408,0.66,7.36308
105,6.506999999999999,0.66,7.46208
106,6.606,0.66,7.56108
107,6.606,0.66,7.56108
108,6.606,0.66,7.56108
109,6.605999999999995,0.6599999999999983,7.561079999999984
110,6.606,0.66,7.56108
111,6.605999999999997,0.66,7.561080000000001
112,6.606,0.66,7.56108
113,6.605999999999998,0.66,7.561080000000001
114,6.606,0.66,7.56108
115,6.605999999999999,0.66,7.56108
116,6.606,0.66,7.56108
117,6.605999999999995,0.66,7.561080000000003
118,6.606,0.66,7.56108
119,6.605999999999995,0.66,7.561080000000003
120,6.606,0.66,7.56108
121,6.605999999999995,0.66,7.561080000000003
122,6.606,0.66,7.56108
123,6.606,0.66,7.56108
124,6.605999999999996,0.6599999999999976,7.56107999999997
125,6.606,0.66,7.56108
126,6.605999999999995,0.6599999999999984,7.561079999999986
127,6.606,0.66,7.56108
128,6.606,0.66,7.56108
