Qt_Data_Points,Max_Rel_TimeStep
43,1447
45,1972
32,1415
72,1279
39,1791
40,1806
75,2174
58,1096
55,1351
55,1334
44,1211
54,978
44,2177
47,841
42,1249
45,983
37,1654
58,951
61,1663
27,1819
28,1280
43,1591
38,1175
