Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rel_TimeStep
,,,,,,,136.0,16119.642857142857,14.0
,,,,,,,137.0,22009.0,3.0
,,,,,,,138.0,22926.0,1.0
,,,,,,,139.0,22341.0,1.0
,,,,,,,140.0,15036.265665607854,3463.0
,,,,,,,141.0,13241.66856060606,264.0
,,,,,,,142.0,13328.69956140351,456.0
,,,,,,,143.0,14450.976388888888,720.0
,,,,,,,144.0,14757.463194444446,288.0
,,,,,,,145.0,14999.805043859647,456.0
,,,,,,,146.0,14269.471577380953,672.0
,,,,,,,147.0,13464.471908602152,744.0
,,,,,,,148.0,12850.712152777776,288.0
,,,,,,,149.0,14604.568378712871,4848.0
,,,,,,,150.0,13354.63263888889,288.0
,,,,,,,151.0,13943.811805555555,432.0
,,,,,,,152.0,14561.288055555553,720.0
,,,,,,,153.0,14884.23301282051,312.0
,,,,,,,154.0,15507.522685185188,432.0
,,,,,,,155.0,14987.666964285712,672.0
,,,,,,,156.0,14055.580376344087,744.0
,,,,,,,157.0,13350.302243589744,312.0
,,,,,,,158.0,12847.04838145232,1143.0
,,,,,,,159.0,22251.5,1.0
,,,,,,,160.0,22254.9,1.0
,,,,,,,161.0,15087.802092960043,3679.0
,,,,,,,162.0,13548.320512820514,312.0
,,,,,,,163.0,14150.914705882353,408.0
,,,,,,,164.0,15212.317777777778,720.0
,,,,,,,165.0,15903.41488095238,336.0
,,,,,,,166.0,15975.945343137255,408.0
,,,,,,,167.0,15383.0625,672.0
,,,,,,,168.0,14690.492607526881,744.0
,,,,,,,169.0,13138.72380952381,336.0
,,,,,,,170.0,13533.32944188428,1953.0
,,,,,,,171.0,13438.7,1.0
,,,,,,,172.0,14473.559697821504,2846.0
,,,,,,,173.0,13295.441964285714,336.0
,,,,,,,174.0,13995.1703125,384.0
,,,,,,,175.0,14461.513194444444,720.0
,,,,,,,176.0,15755.465277777777,360.0
,,,,,,,177.0,15371.436718750001,384.0
,,,,,,,178.0,16224.094047619046,672.0
,,,,,,,179.0,14510.901209677419,744.0
,,,,,,,180.0,13139.507499999998,360.0
,,,,,,,181.0,14363.37361809045,4776.0
,,,,,,,182.0,12732.293333333333,360.0
,,,,,,,183.0,13217.410555555554,360.0
,,,,,,,184.0,13522.891111111114,720.0
,,,,,,,185.0,14553.642190104167,384.0
,,,,,,,186.0,14738.07031111111,360.0
,,,,,,,187.0,14440.399391369046,672.0
,,,,,,,188.0,13168.686280241936,744.0
,,,,,,,189.0,13023.105565104168,384.0
,,,,,,,190.0,14334.334761784512,4752.0
,,,,,,,191.0,12734.736276041667,384.0
,,,,,,,192.0,13110.588883928573,336.0
,,,,,,,193.0,14483.56566666667,720.0
,,,,,,,194.0,14562.596539215685,408.0
,,,,,,,195.0,13949.775800595238,336.0
,,,,,,,196.0,13973.493745535714,672.0
,,,,,,,197.0,13994.002030241934,744.0
,,,,,,,198.0,12503.134781862746,408.0
