Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
,,,,,,,109.0,14394.306,20.0,0.0,1.0
,,,,,,,110.0,14302.968,20.0,0.0,1.0
,,,,,,,111.0,14247.594,20.0,0.0,1.0
,,,,,,,112.0,14359.061,20.0,0.0,1.0
,,,,,,,113.0,14982.314,20.0,0.0,1.0
,,,,,,,114.0,15416.421,20.0,0.0,1.0
,,,,,,,115.0,15148.425,20.0,0.0,1.0
,,,,,,,116.0,14647.507,20.0,0.0,1.0
,,,,,,,117.0,14150.43,20.0,0.0,1.0
,,,,,,,118.0,13498.142,20.0,0.0,1.0
,,,,,,,119.0,12706.652,20.0,0.0,1.0
,,,,,,,120.0,11893.694,20.0,0.0,1.0
,,,,,,,121.0,11212.304,20.0,0.0,1.0
,,,,,,,122.0,10787.95,20.0,0.0,1.0
,,,,,,,123.0,10574.905,20.0,0.0,1.0
,,,,,,,124.0,10509.049,20.0,0.0,1.0
,,,,,,,125.0,10604.574,20.0,0.0,1.0
,,,,,,,126.0,10875.107,20.0,0.0,1.0
,,,,,,,127.0,11406.196,20.0,0.0,1.0
,,,,,,,128.0,11996.987,20.0,0.0,1.0
,,,,,,,129.0,12778.52,20.0,0.0,1.0
,,,,,,,130.0,13386.602,20.0,0.0,1.0
,,,,,,,131.0,13725.859,20.0,0.0,1.0
,,,,,,,132.0,13867.884,20.0,0.0,1.0
,,,,,,,133.0,13961.457,20.0,0.0,1.0
,,,,,,,134.0,13870.514,20.0,0.0,1.0
,,,,,,,135.0,13873.302,20.0,0.0,1.0
,,,,,,,136.0,14089.597,20.0,0.0,1.0
,,,,,,,137.0,15069.83,20.0,0.0,1.0
,,,,,,,138.0,16122.346,20.0,0.0,1.0
,,,,,,,139.0,16085.862,20.0,0.0,1.0
,,,,,,,140.0,15714.88,20.0,0.0,1.0
,,,,,,,141.0,15276.085,20.0,0.0,1.0
,,,,,,,142.0,14459.199,20.0,0.0,1.0
,,,,,,,143.0,13471.13,20.0,0.0,1.0
,,,,,,,144.0,12611.777,20.0,0.0,1.0
,,,,,,,145.0,12087.992,20.0,0.0,1.0
,,,,,,,146.0,11843.342,20.0,0.0,1.0
,,,,,,,147.0,11812.836,20.0,0.0,1.0
,,,,,,,148.0,11968.943,20.0,0.0,1.0
,,,,,,,149.0,12471.327,20.0,0.0,1.0
,,,,,,,150.0,13609.049,20.0,0.0,1.0
,,,,,,,151.0,15448.373,20.0,0.0,1.0
,,,,,,,152.0,16458.159,20.0,0.0,1.0
,,,,,,,153.0,16616.578,20.0,0.0,1.0
,,,,,,,154.0,16585.19,20.0,0.0,1.0
,,,,,,,155.0,16576.757,20.0,0.0,1.0
,,,,,,,156.0,16458.886,20.0,0.0,1.0
,,,,,,,157.0,16300.148,20.0,0.0,1.0
,,,,,,,158.0,16147.038,20.0,0.0,1.0
,,,,,,,159.0,16012.75,20.0,0.0,1.0
,,,,,,,160.0,16145.113,20.0,0.0,1.0
,,,,,,,161.0,16965.038,20.0,0.0,1.0
,,,,,,,162.0,17835.125,20.0,0.0,1.0
,,,,,,,163.0,17708.136,20.0,0.0,1.0
,,,,,,,164.0,17259.93,20.0,0.0,1.0
,,,,,,,165.0,16560.804,20.0,0.0,1.0
,,,,,,,166.0,15508.654,20.0,0.0,1.0
,,,,,,,167.0,14245.933,20.0,0.0,1.0
,,,,,,,168.0,13133.097,20.0,0.0,1.0
,,,,,,,169.0,12388.162,20.0,0.0,1.0
,,,,,,,170.0,11955.816,20.0,0.0,1.0
,,,,,,,171.0,11756.466,20.0,0.0,1.0
,,,,,,,172.0,11757.854,20.0,0.0,1.0
,,,,,,,173.0,12120.022,20.0,0.0,1.0
,,,,,,,174.0,13090.982,20.0,0.0,1.0
,,,,,,,175.0,14700.981,20.0,0.0,1.0
,,,,,,,176.0,15675.145,20.0,0.0,1.0
,,,,,,,177.0,15951.029,20.0,0.0,1.0
,,,,,,,178.0,16072.342,20.0,0.0,1.0
,,,,,,,179.0,16139.393,20.0,0.0,1.0
,,,,,,,180.0,16113.335,20.0,0.0,1.0
,,,,,,,181.0,15993.083,20.0,0.0,1.0
,,,,,,,182.0,15849.318,20.0,0.0,1.0
,,,,,,,183.0,15649.765,20.0,0.0,1.0
,,,,,,,184.0,15653.188,20.0,0.0,1.0
,,,,,,,185.0,16248.462,20.0,0.0,1.0
,,,,,,,186.0,16864.86,20.0,0.0,1.0
,,,,,,,187.0,16646.735,20.0,0.0,1.0
,,,,,,,188.0,16143.196,20.0,0.0,1.0
,,,,,,,189.0,15436.533,20.0,0.0,1.0
,,,,,,,190.0,14418.698,20.0,0.0,1.0
,,,,,,,191.0,13138.398,20.0,0.0,1.0
,,,,,,,192.0,12069.849,20.0,0.0,1.0
,,,,,,,193.0,11348.459,20.0,0.0,1.0
,,,,,,,194.0,10957.436,20.0,0.0,1.0
,,,,,,,195.0,10761.001,20.0,0.0,1.0
,,,,,,,196.0,10754.454,20.0,0.0,1.0
,,,,,,,197.0,11110.49,20.0,0.0,1.0
,,,,,,,198.0,12100.558,20.0,0.0,1.0
,,,,,,,199.0,13731.266,20.0,0.0,1.0
,,,,,,,200.0,14682.285,20.0,0.0,1.0
,,,,,,,201.0,14876.379,20.0,0.0,1.0
,,,,,,,202.0,14992.525,20.0,0.0,1.0
,,,,,,,203.0,15084.388,20.0,0.0,1.0
,,,,,,,204.0,15130.922,20.0,0.0,1.0
,,,,,,,205.0,15104.415,20.0,0.0,1.0
,,,,,,,206.0,15105.602,20.0,0.0,1.0
