$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
2000.0,1.0,1.0,1.0,1.0,8760.0,8760.0,50000.0,1.0,7268.25,2075.625,990.875,8.0
1800.0,0.9,2.0,0.04,,,,,2.0,7946.0,2269.0,1083.0,1.0
1100.0,0.55,3.0,0.024,,,,,3.0,8340.0,2382.0,1137.0,1.0
400.0,0.2,4.0,0.003,,,,,4.0,9677.246987951807,2763.6807228915663,1319.2590361445782,166.0
,,,,,,,,5.0,8468.0,2418.0,1154.0,1.0
,,,,,,,,6.0,8906.0,2544.0,1214.0,1.0
,,,,,,,,7.0,9312.0,2659.2,1269.6,5.0
,,,,,,,,8.0,9895.71891891892,2826.054054054054,1349.1027027027028,185.0
,,,,,,,,9.0,11587.0,3309.0,1580.0,1.0
,,,,,,,,10.0,11837.0,3381.0,1614.0,1.0
,,,,,,,,11.0,9938.320819112629,2838.286689419795,1354.8737201365188,293.0
,,,,,,,,12.0,9005.0,2572.0,1227.0,1.0
,,,,,,,,13.0,9435.0,2694.0,1287.0,1.0
,,,,,,,,14.0,9466.0,2703.4303797468356,1290.4810126582279,79.0
,,,,,,,,15.0,9381.818965517241,2679.3505747126437,1278.9655172413793,696.0
,,,,,,,,16.0,9197.184466019418,2626.6019417475727,1253.7766990291261,103.0
,,,,,,,,17.0,10759.0,3072.0,1467.0,1.0
,,,,,,,,18.0,9098.547368421052,2598.452631578947,1240.378947368421,95.0
,,,,,,,,19.0,8530.0,2436.0,1163.0,1.0
,,,,,,,,20.0,8683.91304347826,2480.0,1183.7391304347825,23.0
,,,,,,,,21.0,7809.0,2230.0,1065.0,1.0
,,,,,,,,22.0,8257.0,2358.0,1126.0,1.0
,,,,,,,,23.0,8651.25,2470.5,1179.25,8.0
,,,,,,,,24.0,8619.0,2461.0,1175.0,1.0
,,,,,,,,25.0,8557.891719745223,2444.0063694267515,1166.6687898089172,157.0
,,,,,,,,26.0,7248.0,2070.0,988.0,1.0
,,,,,,,,27.0,7809.0,2230.0,1065.0,1.0
,,,,,,,,28.0,8288.714285714286,2367.0,1129.857142857143,7.0
,,,,,,,,29.0,8138.0,2324.0,1110.0,1.0
,,,,,,,,30.0,8513.253731343284,2431.268656716418,1160.5298507462687,134.0
,,,,,,,,31.0,7157.0,2044.0,975.0,1.0
,,,,,,,,32.0,8584.653846153846,2451.644230769231,1170.2596153846155,208.0
,,,,,,,,33.0,8533.345588235294,2437.0227272727275,1163.2907754010696,1496.0
,,,,,,,,34.0,7685.0,2195.0,1048.0,1.0
