Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,4,1
3,4,1
4,4,1
5,8,2
6,8,2
7,8,2
8,8,2
9,8,2
10,12,3
11,12,3
12,12,3
13,12,3
14,17,4
15,17,4
16,17,4
17,17,4
18,23,6
19,20,5
20,20,5
21,23,6
22,20,5
23,23,6
24,20,5
25,28,7
26,34,9
27,28,7
28,28,7
29,29,8
30,34,9
31,28,7
32,28,7
33,34,9
34,34,9
35,34,9
36,34,9
37,23,6
38,20,5
39,20,5
40,23,6
41,20,5
42,20,5
43,23,6
44,17,4
45,12,3
46,23,6
47,23,6
48,48,10
49,8,2
50,8,2
51,51,11
52,8,2
