Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,12993.71,1,1,0,1
,,,,,,,2,12883.431999999999,1,0,1,5
,,,,,,,3,15260.86,1,0,1,2
,,,,,,,4,17541.364,1,0,1,1
,,,,,,,5,17127.684,1,0,1,5
,,,,,,,6,16403.017,1,0,1,1
,,,,,,,7,15976.251722222223,1,0,1,18
,,,,,,,8,16951.075666666668,1,0,1,6
,,,,,,,9,16984.405333333332,1,0,1,9
,,,,,,,10,15563.757734848485,1,0,1,132
,,,,,,,11,16789.898,1,0,1,1
,,,,,,,12,15181.619913043474,1,0,1,92
,,,,,,,13,17455.209499999997,1,0,1,2
,,,,,,,14,15161.543574468089,1,0,1,47
,,,,,,,15,17299.406,1,0,1,1
,,,,,,,16,16948.723,1,0,1,1
,,,,,,,17,15170.561678571432,1,0,1,420
,,,,,,,18,15424.854646341459,1,0,1,82
,,,,,,,19,16064.926999999998,1,0,1,3
,,,,,,,20,16908.4244,1,0,1,5
,,,,,,,21,19269.701,1,0,1,1
,,,,,,,22,15683.534978260863,1,0,1,230
,,,,,,,23,17166.59725,1,0,1,4
,,,,,,,24,14954.555717391306,1,0,1,92
,,,,,,,25,16980.961,1,0,1,4
,,,,,,,26,14876.867250000001,1,0,1,20
,,,,,,,27,16862.189,1,0,1,1
,,,,,,,28,16574.035,1,0,1,2
,,,,,,,29,15256.129666666668,1,0,1,3
,,,,,,,30,14462.813066666675,1,0,1,90
,,,,,,,31,16490.162500000002,1,0,1,4
,,,,,,,32,14622.931849999999,1,0,1,20
,,,,,,,33,16517.04325,1,0,1,4
,,,,,,,34,14896.612682242989,1,0,1,107
,,,,,,,35,13014.45825,1,0,1,8
,,,,,,,36,16856.238,1,0,1,1
,,,,,,,37,16812.648,1,0,1,1
,,,,,,,38,16807.385,1,0,1,1
,,,,,,,39,16239.9825,1,0,1,2
,,,,,,,40,16048.171,1,0,1,1
,,,,,,,41,14579.51425925926,1,0,1,27
,,,,,,,42,15666.722,1,0,1,1
,,,,,,,43,14307.550291228054,1,0,1,285
,,,,,,,44,14678.885,1,0,1,1
,,,,,,,45,14342.679153846155,1,0,1,65
,,,,,,,46,15407.181,1,0,1,1
,,,,,,,47,15518.8215,1,0,1,4
,,,,,,,48,14917.648,1,0,1,1
,,,,,,,49,14764.562966666663,1,0,1,90
,,,,,,,50,15217.32,1,0,1,1
,,,,,,,51,14817.263806060606,1,0,1,165
,,,,,,,52,14746.517,1,0,1,1
,,,,,,,53,15605.561,1,0,1,1
,,,,,,,54,15804.128,1,0,1,2
,,,,,,,55,15026.710333333334,1,0,1,3
,,,,,,,56,14357.795,1,0,1,1
,,,,,,,57,14468.197,1,0,1,1
,,,,,,,58,13911.427799999998,1,0,1,45
,,,,,,,59,14268.733,1,0,1,2
,,,,,,,60,13909.82581818182,1,0,1,33
,,,,,,,61,10263.845,1,0,1,1
,,,,,,,62,10474.789999999999,1,0,1,5
,,,,,,,63,13688.421,1,0,1,1
,,,,,,,64,15163.3374,1,0,1,10
,,,,,,,65,15146.499333333333,1,0,1,6
,,,,,,,66,11240.6795,1,0,1,6
,,,,,,,67,14452.618999999999,1,0,1,2
,,,,,,,68,15593.082,1,0,1,1
,,,,,,,69,15395.072,1,0,1,1
,,,,,,,70,15292.6075,1,0,1,4
,,,,,,,71,14342.418,1,0,1,1
,,,,,,,72,14439.081,1,0,1,1
,,,,,,,73,14847.224,1,0,1,1
,,,,,,,74,14909.780799999999,1,0,1,5
,,,,,,,75,12939.849,1,0,1,1
,,,,,,,76,11275.716,1,0,1,2
,,,,,,,77,13561.124681402438,1,0,1,328
,,,,,,,78,17713.533,1,0,1,1
,,,,,,,79,17177.468,1,0,1,1
,,,,,,,80,13500.61480187574,1,0,1,853
,,,,,,,81,11605.601,1,0,1,1
,,,,,,,82,12843.747000000001,1,0,1,47
,,,,,,,83,11819.392,1,0,1,1
,,,,,,,84,12450.617,1,0,1,1
,,,,,,,85,16737.609333333337,1,0,1,6
,,,,,,,86,17867.824,1,0,1,1
,,,,,,,87,14136.664333333327,1,0,1,144
,,,,,,,88,18421.348,1,0,1,1
,,,,,,,89,14551.345333333331,1,0,1,39
,,,,,,,90,16776.483,1,0,1,1
,,,,,,,91,17286.35,1,0,1,1
,,,,,,,92,18609.300999999996,1,0,1,6
,,,,,,,93,19150.763,1,0,1,1
,,,,,,,94,18161.439,1,0,1,1
,,,,,,,95,13602.411875000002,1,0,1,16
,,,,,,,96,16753.283000000003,1,0,1,5
,,,,,,,97,17749.377,1,0,1,1
,,,,,,,98,17451.12,1,0,1,1
,,,,,,,99,16088.265,1,0,1,1
,,,,,,,100,12028.039692307693,1,0,1,13
,,,,,,,101,11825.538,1,0,1,1
,,,,,,,102,13005.865,1,0,1,1
,,,,,,,103,13892.638,1,0,1,1
,,,,,,,104,14706.269999999999,1,0,1,6
,,,,,,,105,14981.65,1,0,1,1
,,,,,,,106,14924.982,1,0,1,1
,,,,,,,107,14862.141,1,0,1,1
,,,,,,,108,12238.456714285714,1,0,1,14
,,,,,,,109,14390.079,1,0,1,1
,,,,,,,110,14832.215333333332,1,0,1,6
,,,,,,,111,15290.393,1,0,1,1
,,,,,,,112,14854.533,1,0,1,1
,,,,,,,113,14058.609749999998,1,0,1,112
,,,,,,,114,17218.846,1,0,1,1
,,,,,,,115,18289.972,1,0,1,1
,,,,,,,116,18222.181,1,0,1,1
,,,,,,,117,17368.401,1,0,1,3
,,,,,,,118,17634.677,1,0,1,1
,,,,,,,119,13468.648642857146,1,0,1,14
,,,,,,,120,11317.737,1,0,1,1
,,,,,,,121,13328.52,1,0,1,1
,,,,,,,122,15037.499,1,0,1,1
,,,,,,,123,16307.021333333332,1,0,1,6
,,,,,,,124,17196.288,1,0,1,1
,,,,,,,125,14373.764629921257,1,0,1,254
,,,,,,,126,15107.838,1,0,1,1
,,,,,,,127,18349.93511111111,1,0,1,9
,,,,,,,128,19702.806,1,0,1,1
,,,,,,,129,16189.748108695658,1,0,1,46
,,,,,,,130,19970.758,1,0,1,1
,,,,,,,131,16089.108928571428,1,0,1,14
,,,,,,,132,17028.701,1,0,1,1
,,,,,,,133,18310.149,1,0,1,1
,,,,,,,134,17326.212,1,0,1,1
,,,,,,,135,18274.54333333333,1,0,1,6
,,,,,,,136,19684.592,1,0,1,1
,,,,,,,137,19661.691,1,0,1,1
,,,,,,,138,18871.165,1,0,1,1
,,,,,,,139,17044.542555555552,1,0,1,45
,,,,,,,140,24080.34,1,0,1,1
,,,,,,,141,23529.267,1,0,1,1
,,,,,,,142,17274.707466666667,1,0,1,15
,,,,,,,143,21728.63528571429,1,0,1,7
,,,,,,,144,22688.502,1,0,1,1
,,,,,,,145,18594.457000000002,1,0,1,29
,,,,,,,146,17777.737,1,0,1,1
,,,,,,,147,16559.727055555555,1,0,1,18
,,,,,,,148,20861.391,1,0,1,1
,,,,,,,149,19476.151594405597,1,0,1,143
,,,,,,,150,20437.715,1,0,1,1
,,,,,,,151,13931.500230769232,1,0,1,13
,,,,,,,152,12045.85,1,0,1,1
,,,,,,,153,13740.862,1,0,1,1
,,,,,,,154,16862.325,1,0,1,1
,,,,,,,155,17460.906074074075,1,0,1,54
,,,,,,,156,24032.977,1,0,1,1
,,,,,,,157,17912.821025641028,1,0,1,39
,,,,,,,158,16401.915,1,0,1,1
,,,,,,,159,17696.907,1,0,1,1
,,,,,,,160,18559.859714285714,1,0,1,7
,,,,,,,161,18041.152,1,0,1,1
,,,,,,,162,12679.256307692307,1,0,1,13
