epsilon,total_cost,Run_time
0.38445455,4762.274985660944,12.240999937057495
0.62663636,20931.14615061625,2.1010000705718994
0.06154545,4884.043146910887,26.44700002670288
0.34409091,4873.418427576162,13.69700002670288
0.09181818,4884.042882087161,26.85599994659424
0.35418182,4873.217645721968,16.276000022888184
0.28354545,4875.361156639792,19.563999891281128
0.15236364,4881.336566325217,26.994999885559082
0.63672727,5905.117637003096,2.306999921798706
0.20281818,4877.39626574002,22.65999984741211
0.48536364,21559.296694631983,12.397000074386597
0.65690909,16860.839047423793,2.822000026702881
0.112,4882.49025674314,29.032999992370605
0.40463636,4759.004416702337,16.01099991798401
0.29363636,4875.276889507207,19.930000066757202
0.19272727,4881.281189777862,24.715999841690063
0.04136364,4884.043240804665,24.46499991416931
0.02118182,4884.043360984504,26.717999935150146
0.001,4884.122097882978,32.76900005340576
0.30372727,4875.200563031094,15.734999895095825
0.08172727,4884.043080116872,22.618000030517578
0.26336364,4877.290806731604,22.36899995803833
0.42481818,4757.6142033114265,10.937999963760376
0.334,4874.543676878492,16.44099998474121
0.24318182,4877.344273681485,21.64400005340576
0.223,4877.392352544838,23.34600019454956
0.07163636,4884.043146910887,25.926999807357788
0.60645455,20936.35043701547,2.5439999103546143
0.36427273,4824.092638083498,15.416000127792358
0.61654545,20931.26560993445,2.3309998512268066
0.17254545,4881.2851267896,24.822999954223633
0.46518182,4746.420827269063,9.734999895095825
0.52572727,21507.023679166738,3.754999876022339
0.43490909,4757.455195164562,9.471999883651733
0.47527273,4746.231312214044,9.692999839782715
0.18263636,4881.284828451293,27.26199984550476
0.12209091,4882.490256742904,24.496999979019165
0.03127273,4884.043360984503,30.628000020980835
0.41472727,4757.881865617618,11.371999979019165
0.59636364,20936.8380322298,2.746999979019165
0.51563636,5132.13180436393,8.258999824523926
0.667,20232.122644190666,1.7730000019073486
0.01109091,4884.043360984532,28.6010000705719
0.445,4746.931285076213,9.322999954223633
0.10190909,4882.490257082236,28.361000061035156
0.37436364,4823.945506510947,17.555999994277954
0.32390909,4874.90656574203,20.960999965667725
0.58627273,20937.152388206705,2.8410000801086426
0.05145455,4884.043241275079,29.717999935150146
0.27345455,4875.400402637503,20.98799991607666
0.64681818,20877.263965241506,2.9660000801086426
0.25327273,4877.330855416138,27.562999963760376
0.14227273,4881.337386027196,26.19099998474121
0.13218182,4882.487285316843,26.82100009918213
0.31381818,4875.013423086291,18.95800018310547
0.16245455,4881.336103957472,23.90499997138977
0.50554545,21558.50717100837,38.73799991607666
0.57618182,20990.86197038744,2.9639999866485596
0.23309091,4877.364427714672,22.717000007629395
0.54590909,21506.649558298075,7.226999998092651
0.556,21342.00898423945,9.431999921798706
0.49545455,21558.87324102062,6.0269999504089355
0.39454545,4759.368259285784,12.881999969482422
0.53581818,21506.94173663871,4.052000045776367
0.21290909,4877.395149927106,30.061000108718872
0.56609091,21341.662997492134,24.79800009727478
0.45509091,4746.730774368956,10.085999965667725
