epsilon,total_cost,Run_time,Time_Indexes
1.0,8447.573745975471,0.04699993133544922,30
1.0,8447.573745975471,0.05799984931945801,30
1.0,8447.573745975471,0.06299996376037598,30
1.0,8447.573745975471,0.04900002479553223,30
1.0,8447.573745975471,0.05500006675720215,30
0.98990909,12148.824557278558,0.04200005531311035,35
0.98990909,12148.824557278558,0.04200005531311035,35
0.98990909,12148.824557278558,0.03600001335144043,35
0.98990909,12148.824557278558,0.04499983787536621,35
0.98990909,12148.824557278558,0.046000003814697266,35
