time_rep_period,total_cost,Run_time
352,4707.825142145434,16.544999837875366
639,4764.28202599934,32.460999965667725
721,4731.881782518054,24.124000072479248
434,4789.224692826161,22.723000049591064
885,4783.868382146021,40.462000131607056
24,4679.923688974134,0.7310001850128174
967,4871.339765635463,41.68300008773804
803,4784.540232994073,37.30400013923645
188,4694.439245562051,6.048999786376953
926,4825.402861939451,40.28400015830994
311,4781.547073259066,13.38700008392334
1008,4787.590572384332,39.276999950408936
106,4543.958387513479,3.4830000400543213
270,4628.974161591642,11.994999885559082
762,4840.17025248896,38.86399984359741
516,4561.4633814799,27.088000059127808
393,4696.295626674968,19.944000005722046
598,4809.731381458196,22.990000009536743
844,4840.99681806343,42.83200001716614
475,4838.765064657375,22.59999990463257
65,4733.272625057451,1.7150001525878906
557,4770.673224018501,23.14300012588501
229,4830.598707327878,8.296000003814697
680,4712.95879796658,33.06699991226196
147,4590.464234761984,5.686999797821045
