CO2,MinCapReq,UCommit,epsilon,repetition,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time
0,0,0,0.001,3.0,4884122097.883332,67.41450462341308,8760.0,58.3471517224,9.9121842458
0,0,0,0.02559659,3.0,4884043360.984988,79.71142234802247,8743.0,258.7326773364,9.4495967244
0,0,0,0.04404403,3.0,4884043240.805117,65.54355778694153,8715.0,261.4859637488,10.0511284742
0,0,0,0.08093892,3.0,4884043080.117072,67.46757283210755,8631.0,247.4104944736,9.4635835118
0,0,0,0.10553551,3.0,4882490257.0825815,72.57008876800538,8537.0,248.15783808380002,10.3870380678
0,0,0,0.12398295,3.0,4882487640.310327,70.57716035842896,8465.0,240.1830737146,9.9450739776
0,0,0,0.1424304,3.0,4881337386.027313,71.96661553382873,8358.0,235.83861935599998,9.575003468999999
0,0,0,0.16087784,3.0,4881336196.870498,77.61711363792419,8206.0,228.690876758,9.839168267400002
0,0,0,0.19162358,3.0,4881281189.487141,50.731156253814696,7946.0,213.4968106506,8.7740288982
0,0,0,0.23466761,3.0,4877356909.473841,55.773350429534915,7525.0,191.0205165832,9.1399780294
0,0,0,0.27771164,3.0,4875395440.901507,41.16837477684021,6924.0,158.58778987780002,8.8216456484
0,0,0,0.31460653,3.0,4875003649.357006,39.15333619117737,6106.0,124.5434487528,7.844851887600001
0,0,0,0.38224715,3.0,4762534027.944995,26.84827618598938,4624.0,73.621225653,6.9044575976
0,0,0,0.57974331,3.0,20990799190.1933,5.342077207565308,1438.0,9.2032512618,4.830009207600001
0,0,0,0.78987166,3.0,4649317533.688725,1.6343184471130372,213.0,2.3784511264,4.2634171758
0,0,0,1.0,3.0,8447573745.975473,0.31800193786621095,30.0,2.1448233192,4.1339431478
0,0,1,0.001,3.0,4646277043.898472,65.4669484615326,8760.0,59.5750515856,6.493414921
0,0,1,0.02559659,3.0,4646275737.573754,70.9578070640564,8743.0,868.6109214690001,5.8821807118
0,0,1,0.04404403,3.0,4646722398.113037,120.452721118927,8715.0,879.318791122,6.2146132756
0,0,1,0.08093892,3.0,4646276344.909405,76.52445421218872,8631.0,838.6467458864001,5.7392134762
0,0,1,0.10553551,3.0,4646273709.508944,89.65264978408814,8537.0,842.7921344048,6.5646249026
0,0,1,0.12398295,3.0,4646271657.006061,81.99889121055602,8465.0,803.5034047322,6.27868247
0,0,1,0.1424304,3.0,4646260465.265061,50.32035279273987,8358.0,797.9460662872,5.9099840634000005
0,0,1,0.16087784,3.0,4646705585.94619,92.22907419204712,8206.0,765.532748316,5.422815099599999
0,0,1,0.19162358,3.0,4646251994.176923,97.60818147659302,7946.0,716.6221036889999,5.455398863
0,0,1,0.23466761,3.0,4646219742.36992,101.53656220436096,7525.0,649.1353700124,5.3371920204
0,0,1,0.27771164,3.0,4646138213.591113,71.57739143371582,6924.0,536.7493641268,4.5182096832
0,0,1,0.31460653,3.0,4645966359.584438,70.41761555671692,6106.0,426.24743653120004,4.276246678600001
0,0,1,0.38224715,3.0,4645659065.511092,55.613773584365845,4624.0,240.21305917499998,3.1991694938000004
0,0,1,0.57974331,3.0,5534646695.029812,3600.906556749344,1438.0,23.459060666600003,1.1300295526
0,0,1,0.78987166,3.0,24343319468640.95,0.09712891578674313,213.0,1.1876314998,0.2512718382
0,0,1,1.0,3.0,3478275580995.269,0.027403020858764622,30.0,0.5427815824,0.16543836220000002
0,1,0,0.001,3.0,6015416918.226834,40.60647802352905,8760.0,58.914760482400006,9.851268789399999
0,1,0,0.02559659,3.0,6015416918.226817,49.2383490562439,8743.0,258.62442409659997,6.4544073462
0,1,0,0.04404403,3.0,6015416918.226805,42.46284322738647,8715.0,285.27781081399996,6.8131154392
0,1,0,0.08093892,3.0,6015416918.22683,41.66587619781494,8631.0,248.6522766958,9.968985624999998
0,1,0,0.10553551,3.0,6015416441.404536,44.93807806968689,8537.0,278.71430891119996,6.959621515
0,1,0,0.12398295,3.0,6015416441.404528,48.954683494567874,8465.0,250.3279489434,6.284042249800001
0,1,0,0.1424304,3.0,6015419038.349721,45.344459533691406,8358.0,248.2705558312,6.1933479178
0,1,0,0.16087784,3.0,6015412432.502306,41.74600853919983,8206.0,233.9456976792,5.6766605949999995
0,1,0,0.19162358,3.0,6015360744.486495,40.989624214172366,7946.0,241.8321612826,7.2670667822
0,1,0,0.23466761,3.0,6015030025.29962,37.353748369216916,7525.0,191.8467309694,5.115244755000001
0,1,0,0.27771164,3.0,6016831168.5538645,28.501313829421996,6924.0,163.5301591002,4.6931081548
0,1,0,0.31460653,3.0,6014031071.14804,25.384241247177123,6106.0,127.73328496280001,4.0476549072
0,1,0,0.38224715,3.0,6002115004.949808,20.044547033309936,4624.0,71.935815095,3.195011149
0,1,0,0.57974331,3.0,21075594250.95547,5.232813215255737,1438.0,7.3136407132,1.0258483699999998
0,1,0,0.78987166,3.0,5602275496.783473,1.1865334510803223,213.0,0.3254015906,0.24638361739999998
0,1,0,1.0,3.0,4894890554.980181,0.08148984909057613,30.0,0.097524135,0.1415444688
0,1,1,0.001,3.0,5786691799.328677,1404.9609311580657,8760.0,58.2748082148,6.0912091392
0,1,1,0.02559659,3.0,5786470890.364984,393.0436534881592,8743.0,862.3879173494,10.181128609
0,1,1,0.04404403,3.0,5784947678.541554,1003.1518146038055,8715.0,1014.0563511166001,8.5609897128
0,1,1,0.08093892,3.0,5784784856.946631,639.6280433654786,8631.0,842.9538130598,5.5918472598
0,1,1,0.10553551,3.0,5784796590.045074,965.4105390548706,8537.0,989.6505769456,9.0602623314
0,1,1,0.12398295,3.0,5786148658.527868,572.6790008068085,8465.0,918.3527958188,8.4994793046
0,1,1,0.1424304,3.0,5786197066.01928,1207.3290163517,8358.0,795.7064384406001,9.9636656992
0,1,1,0.16087784,3.0,5784931113.424272,991.8787190437317,8206.0,764.5188430358,5.1349952254
0,1,1,0.19162358,3.0,5784675564.35058,2102.605588388443,7946.0,853.2948422058,9.6755326506
0,1,1,0.23466761,3.0,5784848002.258874,993.91732339859,7525.0,639.0526810146,5.0829543286
0,1,1,0.27771164,3.0,5786151345.494742,1646.1511561870575,6924.0,558.273496835,5.814014439599999
0,1,1,0.31460653,3.0,5783212465.546469,636.3529543876648,6106.0,430.8248423040001,5.481887444
0,1,1,0.38224715,3.0,5776149138.706674,460.2041163444519,4624.0,241.9054121896,3.5170378721999995
0,1,1,0.57974331,3.0,42784577398.06437,943.1021413326264,1438.0,22.351793729,1.0439275618
0,1,1,0.78987166,3.0,3567709496108.124,0.0734707355499267,213.0,0.6207677894,0.2974760622
0,1,1,1.0,3.0,4553819649517.614,0.01139407157897946,30.0,0.0762637018,0.0710013048
1,0,0,0.001,3.0,23931058116.145584,88.61627202033996,8760.0,57.739342744400005,6.2854072456
1,0,0,0.02559659,3.0,23931058116.145687,76.93046660423279,8743.0,254.052870751,6.3352118202
1,0,0,0.04404403,3.0,23931058116.14561,71.30273685455322,8715.0,260.4574889194,6.49170103
1,0,0,0.08093892,3.0,23931058112.29151,77.91842198371887,8631.0,251.43877759779997,6.1745509808
1,0,0,0.10553551,3.0,23931058112.29162,68.14574918746948,8537.0,249.36712344339998,5.7660048518
1,0,0,0.12398295,3.0,23931058112.291573,68.5394320011139,8465.0,238.93242270259998,6.1036793276
