time_rep_period,total_cost,Run_time
352,4707.825142145434,10.796000003814697
639,4764.28202599934,21.391000032424927
721,4731.881782518054,16.769999980926514
434,4789.224692826161,16.54699993133545
885,4783.868382146021,31.782999992370605
24,4679.923688974134,0.36700010299682617
967,4871.339765635463,36.04900002479553
803,4784.540232994073,26.401999950408936
188,4694.439245562051,4.729000091552734
926,4825.402861939451,31.296000003814697
311,4781.547073259066,9.001999855041504
1008,4787.590572384332,25.83899998664856
106,4543.958387513479,2.569000005722046
270,4628.974161591642,7.622999906539917
762,4840.17025248896,28.360000133514404
516,4561.4633814799,18.366999864578247
393,4696.295626674968,12.593999862670898
598,4809.731381458196,16.24399995803833
844,4840.99681806343,34.895999908447266
475,4838.765064657375,15.309000015258789
65,4733.272625057451,1.2599999904632568
557,4770.673224018501,14.197999954223633
229,4830.598707327878,5.476999998092651
680,4712.95879796658,24.265000104904175
147,4590.464234761984,4.052999973297119
