Time_Index,CT_NG,ME_NG,MA_NG
176,2.13,2.13,3.18
177,2.13,2.13,3.18
178,2.1299999999999994,2.1299999999999994,3.18
179,1.9399999999999997,1.9399999999999997,1.9499999999999997
180,1.94,1.94,1.95
181,1.9400000000000002,1.9400000000000002,1.9499999999999993
182,1.94,1.94,1.95
183,1.94,1.94,1.95
184,1.94,1.94,1.95
185,1.9399999999999995,1.9399999999999995,1.9500000000000004
186,1.94,1.94,1.95
187,1.94,1.94,1.95
188,1.94,1.94,1.95
189,1.8770491803278684,1.8770491803278684,2.09688524590164
190,1.82,1.82,2.23
191,1.8199999999999996,1.8199999999999996,2.2300000000000013
192,1.82,1.82,2.23
193,1.8199999999999996,1.8199999999999996,2.229999999999999
194,1.82,1.82,2.23
195,1.82,1.82,2.2300000000000004
196,1.82,1.82,2.23
197,1.8199999999999998,1.8199999999999998,2.2299999999999995
198,1.82,1.82,2.23
199,1.82,1.82,2.23
200,1.8199999999999998,1.8199999999999998,2.229999999999999
201,1.82,1.82,2.23
202,1.82,1.82,2.23
203,1.82,1.82,2.23
204,1.82,1.82,2.229999999999999
205,1.82,1.82,2.23
206,1.82,1.82,2.23
207,1.82,1.82,2.23
208,1.82,1.82,2.23
209,1.8199999999999992,1.8199999999999992,2.2300000000000004
210,1.82,1.82,2.23
211,1.82,1.82,2.23
212,1.82,1.82,2.23
213,1.82,1.82,2.229999999999999
214,1.82,1.82,2.23
215,1.82,1.82,2.23
216,1.819999999999999,1.819999999999999,2.2300000000000004
217,1.82,1.82,2.23
218,1.82,1.82,2.23
219,1.82,1.82,2.229999999999999
220,1.82,1.82,2.23
221,1.8768484848484845,1.8768484848484845,2.3193333333333337
222,1.89,1.89,2.34
223,1.89,1.89,2.34
224,1.89,1.89,2.34
225,1.8899999999999997,1.8899999999999997,2.34
226,1.89,1.89,2.34
227,1.89,1.89,2.34
228,1.89,1.89,2.34
229,1.89,1.89,2.34
230,1.89,1.89,2.3400000000000007
231,1.89,1.89,2.34
232,1.89,1.89,2.34
233,1.89,1.89,2.3400000000000003
234,1.89,1.89,2.34
235,1.89,1.89,2.34
236,1.8899999999999995,1.8899999999999995,2.3399999999999985
237,1.89,1.89,2.34
238,1.8899999999999997,1.8899999999999997,2.3400000000000003
239,1.89,1.89,2.34
240,1.89,1.89,2.34
241,1.89,1.89,2.34
242,1.89,1.89,2.34
243,1.89,1.89,2.34
244,1.89,1.89,2.3400000000000007
245,1.89,1.89,2.34
246,1.8784895833333337,1.8784895833333337,2.3196354166666664
247,1.76,1.76,2.11
248,1.76,1.76,2.11
249,1.76,1.76,2.11
250,1.76,1.76,2.11
251,1.7600000000000007,1.7600000000000007,2.11
252,1.76,1.76,2.11
253,1.7600000000000005,1.7600000000000005,2.11
254,1.76,1.76,2.11
255,1.76,1.76,2.11
256,1.7599999999999998,1.7599999999999998,2.1100000000000003
257,1.76,1.76,2.11
258,1.7599999999999998,1.7599999999999998,2.11
259,1.76,1.76,2.11
260,1.7600000000000005,1.7600000000000005,2.11
261,1.76,1.76,2.11
262,1.7600000000000002,1.7600000000000002,2.11
263,1.76,1.76,2.11
264,1.76,1.76,2.11
265,1.76,1.76,2.11
266,1.76,1.76,2.11
267,1.76,1.76,2.11
268,1.76,1.76,2.11
269,1.76,1.76,2.11
270,1.76,1.76,2.11
271,1.76,1.76,2.11
272,1.76,1.76,2.11
273,1.76,1.76,2.11
274,1.76,1.76,2.11
275,1.76,1.76,2.11
276,1.76,1.76,2.11
277,1.7516756756756757,1.7516756756756757,2.11
278,1.75,1.75,2.11
279,1.75,1.75,2.1100000000000003
280,1.75,1.75,2.11
281,1.75,1.75,2.11
282,1.75,1.75,2.11
283,1.75,1.75,2.11
284,1.75,1.75,2.1100000000000008
285,1.75,1.75,2.11
286,1.75,1.75,2.11
287,1.75,1.75,2.11
288,1.75,1.75,2.11
289,1.75,1.75,2.11
290,1.6325316455696197,1.6325316455696197,1.8163291139240503
291,1.63,1.63,1.81
292,1.63,1.63,1.81
293,1.6299999999999997,1.6299999999999997,1.81
294,1.6299999999999992,1.6299999999999992,1.8099999999999998
295,1.63,1.63,1.81
296,1.6299999999999997,1.6299999999999997,1.8100000000000003
297,1.63,1.63,1.81
298,1.6299999999999994,1.6299999999999994,1.8100000000000003
299,2.7800000000000002,2.7800000000000002,2.7400000000000007
300,2.78,2.78,2.74
301,2.78,2.78,2.74
302,2.78,2.78,2.74
303,2.78,2.78,2.74
304,2.78,2.78,2.74
305,2.78,2.78,2.74
306,2.7800000000000002,2.7800000000000002,2.740000000000001
307,2.78,2.78,2.74
308,2.78,2.78,2.74
309,2.78,2.78,2.74
310,2.78,2.78,2.74
311,2.78,2.78,2.74
312,2.78,2.78,2.74
313,2.78,2.78,2.7399999999999993
314,2.78,2.78,2.74
315,2.7800000000000002,2.7800000000000002,2.7399999999999998
316,2.78,2.78,2.74
317,2.78,2.78,2.74
318,2.78,2.78,2.74
319,2.78,2.78,2.74
320,2.7800000000000002,2.7800000000000002,2.7400000000000007
321,2.78,2.78,2.74
322,2.78,2.78,2.74
323,2.78,2.78,2.74
324,2.78,2.78,2.74
325,2.7800000000000002,2.7800000000000002,2.7399999999999998
326,2.78,2.78,2.74
