Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,12751.0,1,1,0,1
,,,,,,,2,15638.984293193716,1,0,1,191
,,,,,,,3,15435.208333333334,1,0,1,1224
,,,,,,,4,14867.123052959501,1,0,1,321
,,,,,,,5,16996.0,1,0,1,1
,,,,,,,6,14521.68619246862,1,0,1,239
,,,,,,,7,13693.375,1,0,1,8
,,,,,,,8,14297.625,1,0,1,40
,,,,,,,9,16645.0,1,0,1,1
,,,,,,,10,14415.899159663866,1,0,1,119
,,,,,,,11,14442.0,1,0,1,1
,,,,,,,12,14197.0,1,0,1,14
,,,,,,,13,14164.572916666666,1,0,1,192
,,,,,,,14,14701.915655339806,1,0,1,4944
,,,,,,,15,13739.989583333334,1,0,1,192
,,,,,,,16,14223.626893939394,1,0,1,528
,,,,,,,17,15042.461111111112,1,0,1,720
