natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.575841,0.2889,0.4583,0.4583,1.0,65
1.0,1.0,1.0,0.502902,0.369,0.4589,0.4589,1.0,66
1.0,1.0,1.0,0.34852,0.4453,0.5048,0.5048,1.0,67
1.0,1.0,1.0,0.02632868421052632,0.5997263157894737,0.6896631578947368,0.6896631578947368,1.0,68
1.0,1.0,1.0,0.271339,0.6693,0.6571,0.6571,1.0,69
1.0,1.0,1.0,0.29913,0.5623333333333334,0.5773666666666667,0.5773666666666667,1.0,70
1.0,1.0,1.0,0.208315,0.6686,0.6062,0.6062,1.0,71
1.0,1.0,1.0,0.099319,0.7541,0.6489,0.6489,1.0,72
1.0,1.0,1.0,0.029202171875000005,0.5126046875,0.550275,0.550275,1.0,73
1.0,1.0,1.0,0.103155,0.7898,0.5553,0.5553,1.0,74
1.0,1.0,1.0,0.205142,0.7297,0.4162,0.4162,1.0,75
1.0,1.0,1.0,0.271488,0.6198,0.2911,0.2911,1.0,76
1.0,1.0,1.0,0.256886,0.5469,0.2088,0.2088,1.0,77
1.0,1.0,1.0,0.333682,0.355,0.1347,0.1347,1.0,78
1.0,1.0,1.0,0.319994,0.2329,0.0866,0.0866,1.0,79
1.0,1.0,1.0,0.296841,0.1211,0.1222,0.1222,1.0,80
1.0,1.0,1.0,0.13389,0.1148,0.1745,0.1745,1.0,81
1.0,1.0,1.0,0.00272725,0.5042749999999999,0.8072875000000002,0.8072875000000002,1.0,82
1.0,1.0,1.0,0.185979,0.8375,0.8207,0.8207,1.0,83
1.0,1.0,1.0,0.360013,0.8417,0.8071,0.8071,1.0,84
1.0,1.0,1.0,0.52492575,0.833225,0.7278,0.7278,1.0,85
1.0,1.0,1.0,0.326992,0.7673,0.6536,0.6536,1.0,86
1.0,1.0,1.0,0.125481,0.68,0.7101,0.7101,1.0,87
1.0,1.0,1.0,0.019807944444444444,0.5417111111111111,0.7666166666666667,0.7666166666666667,1.0,88
