natural_gas,natural_gas_ccs,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,ror_hydro,pumped_hydro,nuclear_CF,Time_Index
1,1,0.0,0.2935,0.917,0.917,1,0.444793349,1,1,1
1,1,0.0013678571428571429,0.22635714285714287,0.8983428571428573,0.8983428571428573,1,0.4447933490000001,1,1,2
1,1,0.113901,0.2893,0.8801,0.8801,1,0.444793349,1,1,3
1,1,0.256673,0.3126,0.8933,0.8933,1,0.444793349,1,1,4
1,1,0.40618,0.3899,0.8173,0.8173,1,0.444793349,1,1,5
1,1,0.5344215,0.42784999999999995,0.75065,0.75065,1,0.444793349,1,1,6
1,1,0.466232,0.5431,0.6744,0.6744,1,0.444793349,1,1,7
1,1,0.287196,0.6252,0.6464,0.6464,1,0.444793349,1,1,8
1,1,0.10748,0.768,0.6452,0.6452,1,0.444793349,1,1,9
1,1,0.008583,0.8057,0.608,0.608,1,0.444793349,1,1,10
1,1,0.0,0.7977,0.6068,0.6068,1,0.444793349,1,1,11
1,1,0.0,0.663875,0.5544,0.5544,1,0.444793349,1,1,12
1,1,0.0037309090909090907,0.5569363636363636,0.3239363636363637,0.3239363636363637,1,0.44479334900000017,1,1,13
1,1,0.075904,0.3282,0.2026,0.2026,1,0.444793349,1,1,14
1,1,0.12391183333333335,0.10611666666666665,0.1902,0.1902,1,0.44479334900000006,1,1,15
1,1,0.0005196,0.12606,0.34484,0.34484,1,0.44479334900000006,1,1,16
1,1,0.0,0.1472,0.4483,0.4483,1,0.444793349,1,1,17
1,1,0.0,0.1301,0.4859,0.4859,1,0.444793349,1,1,18
1,1,0.0,0.1483,0.5662,0.5662,1,0.444793349,1,1,19
1,1,0.0,0.18322,0.71348,0.71348,1,0.44479334900000006,1,1,20
1,1,0.0,0.2526,0.7896,0.7896,1,0.444793349,1,1,21
1,1,0.0,0.332,0.8051,0.8051,1,0.444793349,1,1,22
1,1,0.019303846153846154,0.3767384615384616,0.8675307692307691,0.8675307692307691,1,0.44479334900000017,1,1,23
1,1,0.0,0.6279,0.7937,0.7937,1,0.444793349,1,1,24
1,1,0.0,0.5856,0.7987,0.7987,1,0.444793349,1,1,25
1,1,0.0,0.6246111111111111,0.8467,0.8467,1,0.4447933490000001,1,1,26
1,1,0.08198584615384616,0.3095461538461538,0.9014923076923077,0.9014923076923077,1,0.44479334900000017,1,1,27
1,1,0.000832,0.741575,0.90945,0.90945,1,0.44479334900000017,1,1,28
1,1,0.12593,0.8299,0.8823,0.8823,1,0.444793349,1,1,29
1,1,0.283153,0.8541,0.8684,0.8684,1,0.444793349,1,1,30
1,1,0.46826599999999996,0.86365,0.8149500000000001,0.8149500000000001,1,0.444793349,1,1,31
1,1,0.409134,0.8543,0.7244,0.7244,1,0.444793349,1,1,32
1,1,0.314629,0.8294,0.6439,0.6439,1,0.444793349,1,1,33
1,1,0.211829,0.8143,0.649,0.649,1,0.444793349,1,1,34
1,1,0.064959,0.7806,0.729,0.729,1,0.444793349,1,1,35
1,1,0.005007,0.7472,0.7707,0.7707,1,0.444793349,1,1,36
1,1,0.0,0.6267250000000001,0.762425,0.762425,1,0.444793349,1,1,37
1,1,0.0,0.5624,0.7552,0.7552,1,0.444793349,1,1,38
1,1,0.0,0.5335,0.7887,0.7887,1,0.444793349,1,1,39
1,1,0.0,0.4993,0.8071,0.8071,1,0.444793349,1,1,40
1,1,0.0,0.39135,0.80705,0.80705,1,0.444793349,1,1,41
1,1,0.0,0.3765,0.7031,0.7031,1,0.444793349,1,1,42
1,1,0.0,0.3957,0.5906,0.5906,1,0.444793349,1,1,43
1,1,0.0077632000000000005,0.41706000000000004,0.30335999999999996,0.30335999999999996,1,0.44479334900000006,1,1,44
1,1,0.096327,0.2957,0.2453,0.2453,1,0.444793349,1,1,45
1,1,0.20705924999999997,0.213275,0.20547500000000002,0.20547500000000002,1,0.444793349,1,1,46
1,1,0.10077699999999999,0.19090000000000001,0.35609999999999997,0.35609999999999997,1,0.444793349,1,1,47
1,1,0.005614,0.24,0.4125,0.4125,1,0.444793349,1,1,48
1,1,0.0,0.44523999999999997,0.48491999999999996,0.48491999999999996,1,0.44479334900000006,1,1,49
1,1,0.0,0.5255,0.4554,0.4554,1,0.444793349,1,1,50
1,1,0.0,0.5438500000000001,0.3971833333333333,0.3971833333333333,1,0.44479334900000006,1,1,51
1,1,0.0010646666666666667,0.32160000000000005,0.4245666666666667,0.4245666666666667,1,0.444793349,1,1,52
1,1,0.027071,0.2073,0.5341,0.5341,1,0.444793349,1,1,53
1,1,0.029243583333333333,0.08468333333333333,0.7932166666666666,0.7932166666666666,1,0.44479334900000017,1,1,54
1,1,0.0,0.3059,0.9003,0.9003,1,0.444793349,1,1,55
1,1,0.0040236,0.5896600000000001,0.8846599999999999,0.8846599999999999,1,0.4447933490000001,1,1,56
1,1,0.17510250000000002,0.6933833333333334,0.8363499999999999,0.8363499999999999,1,0.44479334900000006,1,1,57
1,1,0.07492,0.6885,0.7405,0.7405,1,0.444793349,1,1,58
1,1,0.0008280000000000001,0.6675666666666666,0.8418333333333333,0.8418333333333333,1,0.44479334900000006,1,1,59
1,1,0.0,0.7511999999999999,0.8361428571428572,0.8361428571428572,1,0.4447933490000001,1,1,60
1,1,0.0,0.6976,0.6856,0.6856,1,0.444793349,1,1,61
1,1,0.0026085,0.6569,0.6111500000000001,0.6111500000000001,1,0.444793349,1,1,62
1,1,0.075169,0.5704,0.5065,0.5065,1,0.444793349,1,1,63
1,1,0.192304,0.4489,0.4622,0.4622,1,0.444793349,1,1,64
1,1,0.250823,0.3153,0.4052,0.4052,1,0.444793349,1,1,65
