Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rel_TimeStep
,,,,,,,124.0,14472.792471774195,744.0
,,,,,,,125.0,13771.154020833332,48.0
,,,,,,,126.0,13559.021535921625,1378.0
,,,,,,,127.0,17421.204,1.0
,,,,,,,128.0,18143.261000000002,5.0
,,,,,,,129.0,18421.348,1.0
,,,,,,,130.0,14672.324414634146,41.0
,,,,,,,131.0,17824.229,1.0
,,,,,,,132.0,18654.65775,4.0
,,,,,,,133.0,19212.946,1.0
,,,,,,,134.0,19150.763,1.0
,,,,,,,135.0,18161.439,1.0
,,,,,,,136.0,14507.017363636363,22.0
,,,,,,,137.0,17451.12,1.0
,,,,,,,138.0,14427.914999999997,7.0
,,,,,,,139.0,10208.196571428572,7.0
,,,,,,,140.0,11825.538,1.0
,,,,,,,141.0,13005.865,1.0
,,,,,,,142.0,13892.638,1.0
,,,,,,,143.0,14055.567176870749,147.0
,,,,,,,144.0,17569.059,1.0
,,,,,,,145.0,17250.182,1.0
,,,,,,,146.0,17285.962,1.0
,,,,,,,147.0,14819.831629629629,351.0
,,,,,,,148.0,17028.701,1.0
,,,,,,,149.0,18310.149,1.0
,,,,,,,150.0,17326.212,1.0
,,,,,,,151.0,17503.333,1.0
,,,,,,,152.0,18428.7854,5.0
,,,,,,,153.0,19684.592,1.0
,,,,,,,154.0,19661.691,1.0
,,,,,,,155.0,18871.165,1.0
,,,,,,,156.0,17197.494673913043,46.0
,,,,,,,157.0,23529.267,1.0
,,,,,,,158.0,18506.87880952381,21.0
,,,,,,,159.0,22576.604,1.0
,,,,,,,160.0,18166.174776758413,327.0
,,,,,,,161.0,12845.262,1.0
,,,,,,,162.0,13739.758,1.0
,,,,,,,163.0,14880.181,2.0
,,,,,,,164.0,16272.598000000002,4.0
,,,,,,,165.0,18765.039,1.0
,,,,,,,166.0,16754.07695137421,473.0
,,,,,,,167.0,21870.601,1.0
,,,,,,,168.0,23180.285,1.0
,,,,,,,169.0,24942.2658,5.0
,,,,,,,170.0,24839.463,1.0
,,,,,,,171.0,24482.481,1.0
,,,,,,,172.0,24385.755,1.0
,,,,,,,173.0,18573.45708227848,158.0
,,,,,,,174.0,16253.072,1.0
,,,,,,,175.0,18946.193634328356,268.0
,,,,,,,176.0,25565.212,1.0
,,,,,,,177.0,25988.814,1.0
,,,,,,,178.0,25702.242,1.0
,,,,,,,179.0,25113.354,1.0
,,,,,,,180.0,19624.21345454545,22.0
,,,,,,,181.0,25678.737,1.0
,,,,,,,182.0,25202.957,1.0
,,,,,,,183.0,15584.189740740741,594.0
,,,,,,,184.0,17194.736,1.0
