$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
,,,,,,,,37.0,10800.0,3085.0,1473.0,1.0
,,,,,,,,38.0,10890.0,3110.0,1484.0,1.0
,,,,,,,,39.0,10901.0,3113.0,1486.0,1.0
,,,,,,,,40.0,10853.0,3100.0,1479.0,1.0
,,,,,,,,41.0,10603.5,3028.0,1446.0,2.0
,,,,,,,,42.0,10423.0,2976.0,1421.0,1.0
,,,,,,,,43.0,10278.0,2935.0,1401.0,1.0
,,,,,,,,44.0,10327.0,2950.0,1408.0,1.0
,,,,,,,,45.0,9020.0625,2576.0625,1229.625,16.0
,,,,,,,,46.0,9143.0,2611.0,1247.0,1.0
,,,,,,,,47.0,9471.0,2704.0,1291.0,1.0
,,,,,,,,48.0,9563.0,2731.0,1303.0,1.0
,,,,,,,,49.0,9304.333333333334,2657.0,1268.0,3.0
,,,,,,,,50.0,8976.0,2564.0,1224.0,1.0
,,,,,,,,51.0,9072.0,2591.0,1236.0,1.0
,,,,,,,,52.0,9736.0,2780.0,1328.0,1.0
,,,,,,,,53.0,8243.6,2354.133333333333,1123.8666666666666,15.0
,,,,,,,,54.0,8468.0,2418.0,1154.0,1.0
,,,,,,,,55.0,8906.0,2544.0,1214.0,1.0
,,,,,,,,56.0,9183.0,2623.0,1252.0,1.0
,,,,,,,,57.0,9356.0,2672.0,1276.0,1.0
,,,,,,,,58.0,9360.0,2672.5,1276.0,2.0
,,,,,,,,59.0,9301.0,2656.0,1268.0,1.0
,,,,,,,,60.0,9431.0,2694.0,1286.0,1.0
,,,,,,,,61.0,10240.0,2925.0,1396.0,1.0
,,,,,,,,62.0,9203.066666666668,2628.3333333333335,1254.6666666666667,15.0
,,,,,,,,63.0,10898.0,3112.0,1486.0,1.0
,,,,,,,,64.0,10812.25,3087.75,1474.25,4.0
,,,,,,,,65.0,10513.0,3002.0,1434.0,1.0
,,,,,,,,66.0,10366.0,2960.0,1414.0,1.0
,,,,,,,,67.0,10401.0,2970.0,1418.0,1.0
,,,,,,,,68.0,11101.0,3170.0,1514.0,1.0
,,,,,,,,69.0,9551.866666666667,2727.8,1302.1333333333334,15.0
,,,,,,,,70.0,10665.0,3046.0,1454.0,1.0
,,,,,,,,71.0,10719.0,3061.0,1461.0,1.0
,,,,,,,,72.0,10671.0,3047.5,1455.0,2.0
,,,,,,,,73.0,10399.5,2970.0,1418.0,2.0
,,,,,,,,74.0,10262.0,2930.0,1399.0,1.0
,,,,,,,,75.0,10332.0,2950.0,1408.0,1.0
,,,,,,,,76.0,9549.5625,2727.1875,1301.9375,16.0
,,,,,,,,77.0,10723.0,3062.0,1462.0,1.0
,,,,,,,,78.0,10437.285714285714,2980.5714285714284,1422.7142857142858,7.0
,,,,,,,,79.0,10965.0,3131.0,1495.0,1.0
,,,,,,,,80.0,11246.0,3212.0,1533.0,5.0
,,,,,,,,81.0,9275.0,2649.0,1265.0,1.0
,,,,,,,,82.0,9510.433333333332,2715.9666666666667,1296.4333333333334,30.0
,,,,,,,,83.0,8217.0,2347.0,1120.0,1.0
,,,,,,,,84.0,10114.666666666666,2888.6666666666665,1378.6666666666667,3.0
,,,,,,,,85.0,10548.0,3012.0,1438.0,1.0
,,,,,,,,86.0,10562.0,3016.0,1440.0,1.0
,,,,,,,,87.0,10516.0,3003.0,1434.0,1.0
,,,,,,,,88.0,10420.0,2976.0,1421.0,1.0
,,,,,,,,89.0,10378.0,2964.0,1415.0,1.0
,,,,,,,,90.0,10339.0,2953.0,1409.0,1.0
,,,,,,,,91.0,10489.0,2995.0,1430.0,1.0
,,,,,,,,92.0,9476.625,2706.5625,1291.9375,16.0
,,,,,,,,93.0,9713.0,2774.0,1324.0,1.0
,,,,,,,,94.0,10103.42857142857,2885.1428571428573,1377.5714285714287,7.0
,,,,,,,,95.0,9650.625,2756.0625,1315.875,16.0
,,,,,,,,96.0,10049.0,2870.0,1370.0,1.0
,,,,,,,,97.0,10727.142857142857,3063.4285714285716,1462.7142857142858,7.0
,,,,,,,,98.0,10455.0625,2985.875,1425.3125,16.0
,,,,,,,,99.0,11587.0,3309.0,1580.0,1.0
,,,,,,,,100.0,11837.0,3381.0,1614.0,1.0
,,,,,,,,101.0,11806.333333333334,3371.6666666666665,1609.6666666666667,3.0
,,,,,,,,102.0,11515.0,3289.0,1570.0,1.0
,,,,,,,,103.0,11370.0,3247.0,1550.0,1.0
,,,,,,,,104.0,11392.0,3254.0,1553.0,1.0
,,,,,,,,105.0,11972.0,3419.0,1632.0,1.0
,,,,,,,,106.0,9989.75,2853.125,1361.75,16.0
,,,,,,,,107.0,10861.0,3101.0,1480.0,1.0
,,,,,,,,108.0,10789.75,3081.5,1470.75,4.0
,,,,,,,,109.0,10756.5,3071.5,1466.5,2.0
,,,,,,,,110.0,9447.941176470587,2698.1176470588234,1287.8823529411766,17.0
,,,,,,,,111.0,10515.142857142857,3003.1428571428573,1433.5714285714287,7.0
,,,,,,,,112.0,10136.357142857143,2894.8571428571427,1381.857142857143,14.0
,,,,,,,,113.0,10860.0,3101.0,1480.0,1.0
,,,,,,,,114.0,11601.0,3313.0,1581.0,1.0
,,,,,,,,115.0,11633.0,3322.0,1586.0,1.0
,,,,,,,,116.0,11574.0,3306.0,1578.0,1.0
,,,,,,,,117.0,11218.6,3203.8,1529.6,5.0
,,,,,,,,118.0,11021.0,3148.0,1503.0,1.0
,,,,,,,,119.0,11577.0,3306.0,1579.0,1.0
,,,,,,,,120.0,9914.066666666668,2831.6,1351.6,15.0
,,,,,,,,121.0,10970.0,3133.0,1495.0,1.0
,,,,,,,,122.0,11002.0,3142.0,1500.0,1.0
,,,,,,,,123.0,11010.5,3144.5,1501.0,2.0
,,,,,,,,124.0,10825.5,3092.0,1475.5,2.0
,,,,,,,,125.0,10656.0,3043.0,1453.0,1.0
,,,,,,,,126.0,10674.0,3049.0,1455.0,1.0
,,,,,,,,127.0,11148.0,3184.0,1520.0,1.0
,,,,,,,,128.0,9714.5,2774.4285714285716,1324.2857142857142,14.0
,,,,,,,,129.0,9943.0,2839.5,1355.5,2.0
,,,,,,,,130.0,10895.0,3111.0,1485.0,1.0
,,,,,,,,131.0,11252.0,3213.3333333333335,1534.1666666666667,6.0
,,,,,,,,132.0,9837.75,2809.4375,1341.3125,16.0
,,,,,,,,133.0,9982.0,2850.0,1361.0,1.0
,,,,,,,,134.0,10385.142857142857,2965.8571428571427,1415.5714285714287,7.0
,,,,,,,,135.0,10808.0,3086.0,1474.0,1.0
,,,,,,,,136.0,9594.25,2740.0625,1308.0,16.0
,,,,,,,,137.0,11033.0,3151.0,1504.0,1.0
,,,,,,,,138.0,11119.0,3176.0,1516.0,1.0
,,,,,,,,139.0,11103.0,3170.0,1514.0,1.0
,,,,,,,,140.0,10996.0,3140.0,1499.0,1.0
,,,,,,,,141.0,10844.0,3096.6666666666665,1478.6666666666667,3.0
,,,,,,,,142.0,9344.1875,2668.375,1273.8125,16.0
,,,,,,,,143.0,10153.0,2900.0,1384.0,1.0
,,,,,,,,144.0,10111.0,2888.0,1378.0,1.0
,,,,,,,,145.0,10123.0,2891.0,1380.0,1.0
,,,,,,,,146.0,9978.333333333334,2850.0,1360.0,3.0
,,,,,,,,147.0,9783.0,2794.0,1333.0,1.0
,,,,,,,,148.0,9791.0,2796.0,1335.0,1.0
,,,,,,,,149.0,10281.0,2936.0,1402.0,1.0
,,,,,,,,150.0,8976.666666666666,2563.6666666666665,1223.6666666666667,15.0
,,,,,,,,151.0,10338.0,2952.0,1409.0,1.0
,,,,,,,,152.0,10396.0,2969.0,1418.0,1.0
,,,,,,,,153.0,10313.0,2945.2,1406.2,5.0
,,,,,,,,154.0,10122.0,2891.0,1380.0,1.0
,,,,,,,,155.0,10578.0,3021.0,1442.0,1.0
,,,,,,,,156.0,9316.333333333334,2660.733333333333,1270.2,15.0
,,,,,,,,157.0,10532.0,3008.0,1436.0,1.0
,,,,,,,,158.0,10500.0,2999.0,1432.0,1.0
,,,,,,,,159.0,10474.0,2991.0,1428.0,1.0
,,,,,,,,160.0,10331.5,2950.5,1408.25,4.0
,,,,,,,,161.0,10364.0,2960.0,1413.0,1.0
,,,,,,,,162.0,10868.0,3104.0,1482.0,1.0
,,,,,,,,163.0,9372.23076923077,2676.641025641026,1277.7435897435898,39.0
,,,,,,,,164.0,9129.0,2607.0,1245.0,1.0
,,,,,,,,165.0,9504.0,2715.0,1296.0,1.0
,,,,,,,,166.0,9624.5,2748.5,1312.0,2.0
,,,,,,,,167.0,9397.0,2684.0,1281.0,1.0
,,,,,,,,168.0,9152.0,2614.0,1247.0,1.0
,,,,,,,,169.0,9002.0,2571.0,1227.0,1.0
,,,,,,,,170.0,9005.0,2572.0,1227.0,1.0
,,,,,,,,171.0,9435.0,2694.0,1287.0,1.0
,,,,,,,,172.0,8397.666666666666,2398.3333333333335,1144.8666666666666,15.0
,,,,,,,,173.0,8673.0,2477.0,1182.0,1.0
,,,,,,,,174.0,9069.0,2590.0,1236.0,1.0
,,,,,,,,175.0,9270.4,2647.8,1263.8,5.0
,,,,,,,,176.0,9177.0,2621.0,1251.0,1.0
,,,,,,,,177.0,9706.0,2772.0,1323.0,1.0
,,,,,,,,178.0,8999.133333333333,2570.0666666666666,1226.8,15.0
,,,,,,,,179.0,10580.0,3021.0,1443.0,1.0
,,,,,,,,180.0,10670.0,3047.0,1454.0,1.0
,,,,,,,,181.0,10661.0,3045.0,1454.0,1.0
,,,,,,,,182.0,10615.0,3031.0,1447.0,1.0
,,,,,,,,183.0,10493.0,2996.5,1430.5,2.0
,,,,,,,,184.0,10343.0,2954.0,1410.0,1.0
,,,,,,,,185.0,10379.0,2965.0,1415.0,1.0
,,,,,,,,186.0,10817.0,3089.0,1474.0,1.0
,,,,,,,,187.0,9530.916666666666,2722.0833333333335,1299.4166666666667,12.0
,,,,,,,,188.0,8557.0,2444.0,1166.0,1.0
,,,,,,,,189.0,9910.0,2830.0,1351.0,1.0
,,,,,,,,190.0,10659.0,3044.0,1454.0,1.0
,,,,,,,,191.0,10732.0,3065.0,1463.0,1.0
,,,,,,,,192.0,10721.0,3061.0,1462.0,1.0
,,,,,,,,193.0,10450.75,2984.5,1424.75,4.0
