Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,13384.0,1,1,0,1
,,,,,,,2,12786.7625,1,0,1,8
,,,,,,,3,14389.5,1,0,1,1
,,,,,,,4,14882.925000000001,1,0,1,4
,,,,,,,5,14633.5,1,0,1,1
,,,,,,,6,14003.811111111112,1,0,1,18
,,,,,,,7,15624.425,1,0,1,4
,,,,,,,8,15360.25,1,0,1,2
,,,,,,,9,14813.858333333332,1,0,1,12
,,,,,,,10,12757.6,1,0,1,6
,,,,,,,11,15473.514285714284,1,0,1,7
,,,,,,,12,13756.024390243903,1,0,1,41
,,,,,,,13,15766.1,1,0,1,1
,,,,,,,14,16045.1,1,0,1,4
,,,,,,,15,16046.4,1,0,1,1
,,,,,,,16,16165.025000000003,1,0,1,20
,,,,,,,17,18463.100000000002,1,0,1,11
,,,,,,,18,14121.857142857143,1,0,1,7
,,,,,,,19,14767.0,1,0,1,1
,,,,,,,20,16710.0,1,0,1,1
,,,,,,,21,17817.0,1,0,1,2
,,,,,,,22,17783.3,1,0,1,1
,,,,,,,23,17694.175,1,0,1,4
,,,,,,,24,18542.075,1,0,1,4
,,,,,,,25,20162.0,1,0,1,1
,,,,,,,26,16989.942857142854,1,0,1,14
,,,,,,,27,19443.4,1,0,1,1
,,,,,,,28,19116.399999999998,1,0,1,3
,,,,,,,29,18580.7,1,0,1,1
,,,,,,,30,18299.1,1,0,1,1
,,,,,,,31,18311.5,1,0,1,1
,,,,,,,32,16416.997560975607,1,0,1,41
,,,,,,,33,16839.399999999998,1,0,1,3
,,,,,,,34,16447.7,1,0,1,2
,,,,,,,35,16141.2,1,0,1,1
,,,,,,,36,16251.1,1,0,1,1
,,,,,,,37,15375.4,1,0,1,15
,,,,,,,38,14784.9,1,0,1,1
,,,,,,,39,16356.150000000001,1,0,1,8
,,,,,,,40,15388.10731707317,1,0,1,41
,,,,,,,41,17263.4,1,0,1,1
,,,,,,,42,17298.0,1,0,1,2
,,,,,,,43,17092.2,1,0,1,1
,,,,,,,44,17014.4,1,0,1,1
,,,,,,,45,16864.3,1,0,1,1
,,,,,,,46,18333.342857142856,1,0,1,7
,,,,,,,47,16020.0,1,0,1,1
,,,,,,,48,14208.142857142857,1,0,1,7
,,,,,,,49,17162.0,1,0,1,1
,,,,,,,50,18336.449999999997,1,0,1,2
,,,,,,,51,18313.2,1,0,1,6
,,,,,,,52,18285.75,1,0,1,2
,,,,,,,53,19486.0,1,0,1,1
,,,,,,,54,18381.5,1,0,1,4
,,,,,,,55,15590.0,1,0,1,1
,,,,,,,56,13946.0,1,0,1,2
,,,,,,,57,13348.2,1,0,1,5
,,,,,,,58,17061.2,1,0,1,3
,,,,,,,59,17448.9,1,0,1,4
,,,,,,,60,17134.3,1,0,1,1
,,,,,,,61,17038.44,1,0,1,10
,,,,,,,62,12940.333333333334,1,0,1,3
,,,,,,,63,14978.833333333334,1,0,1,6
,,,,,,,64,17041.5,1,0,1,1
,,,,,,,65,16808.35,1,0,1,2
,,,,,,,66,15754.095238095239,1,0,1,21
,,,,,,,67,17074.7,1,0,1,1
,,,,,,,68,17205.9,1,0,1,1
,,,,,,,69,17024.5,1,0,1,1
,,,,,,,70,16651.2,1,0,1,1
,,,,,,,71,16207.9,1,0,1,1
,,,,,,,72,15879.9,1,0,1,1
,,,,,,,73,15888.3,1,0,1,1
,,,,,,,74,17077.066666666666,1,0,1,6
,,,,,,,75,15070.0,1,0,1,1
,,,,,,,76,13834.560606060608,1,0,1,33
,,,,,,,77,15113.7,1,0,1,1
,,,,,,,78,15624.2,1,0,1,1
,,,,,,,79,15031.64583333333,1,0,1,24
,,,,,,,80,16144.974999999999,1,0,1,4
,,,,,,,81,14979.04375,1,0,1,16
,,,,,,,82,16538.3,1,0,1,2
,,,,,,,83,17049.6,1,0,1,1
,,,,,,,84,16967.6,1,0,1,1
,,,,,,,85,16910.7,1,0,1,1
,,,,,,,86,16507.75,1,0,1,4
,,,,,,,87,17272.742857142857,1,0,1,7
,,,,,,,88,12833.75,1,0,1,8
,,,,,,,89,16256.133333333331,1,0,1,3
,,,,,,,90,16282.9,1,0,1,6
,,,,,,,91,17029.983333333334,1,0,1,6
,,,,,,,92,15833.0,1,0,1,1
,,,,,,,93,14480.0,1,0,1,1
,,,,,,,94,12710.42857142857,1,0,1,7
,,,,,,,95,15754.0,1,0,1,1
,,,,,,,96,16775.7,1,0,1,1
,,,,,,,97,16836.8,1,0,1,1
,,,,,,,98,16725.3,1,0,1,1
,,,,,,,99,16263.875,1,0,1,4
,,,,,,,100,15619.9,1,0,1,1
,,,,,,,101,15563.6,1,0,1,1
,,,,,,,102,16693.55,1,0,1,2
,,,,,,,103,14352.666666666666,1,0,1,9
,,,,,,,104,11541.0,1,0,1,1
,,,,,,,105,12147.333333333334,1,0,1,3
,,,,,,,106,13575.3,1,0,1,1
,,,,,,,107,14463.8,1,0,1,1
,,,,,,,108,14214.480769230771,1,0,1,26
,,,,,,,109,14461.050000000001,1,0,1,4
,,,,,,,110,14502.921428571428,1,0,1,14
,,,,,,,111,14230.0,1,0,1,1
,,,,,,,112,16947.5,1,0,1,2
,,,,,,,113,17726.1,1,0,1,1
,,,,,,,114,17819.1,1,0,1,1
,,,,,,,115,17866.7,1,0,1,1
,,,,,,,116,15893.86458333333,1,0,1,48
,,,,,,,117,17385.775,1,0,1,4
,,,,,,,118,16136.830769230768,1,0,1,13
,,,,,,,119,13869.0,1,0,1,1
,,,,,,,120,15003.0,1,0,1,1
,,,,,,,121,16948.0,1,0,1,1
,,,,,,,122,17893.3,1,0,1,1
,,,,,,,123,17935.4,1,0,1,1
,,,,,,,124,17736.3,1,0,1,1
,,,,,,,125,17214.766666666666,1,0,1,3
,,,,,,,126,16488.95,1,0,1,2
,,,,,,,127,17389.057142857142,1,0,1,7
,,,,,,,128,13017.375,1,0,1,8
