Time_Index,CT_NG,ME_NG,MA_NG
171,1.8199999999999992,1.8199999999999992,2.2300000000000004
172,1.82,1.82,2.23
173,1.82,1.82,2.23
174,1.82,1.82,2.23
175,1.82,1.82,2.229999999999999
176,1.82,1.82,2.23
177,1.819999999999999,1.819999999999999,2.230000000000001
178,1.82,1.82,2.23
179,1.82,1.82,2.229999999999999
180,1.82,1.82,2.23
181,1.8768484848484845,1.8768484848484845,2.3193333333333337
182,1.89,1.89,2.34
183,1.89,1.89,2.34
184,1.89,1.89,2.34
185,1.8899999999999997,1.8899999999999997,2.34
186,1.89,1.89,2.34
187,1.89,1.89,2.34
188,1.89,1.89,2.34
189,1.89,1.89,2.3400000000000007
190,1.89,1.89,2.34
191,1.89,1.89,2.34
192,1.89,1.89,2.3400000000000003
193,1.89,1.89,2.34
194,1.89,1.89,2.34
195,1.8899999999999995,1.8899999999999995,2.3399999999999985
196,1.89,1.89,2.34
197,1.89,1.89,2.3400000000000007
198,1.89,1.89,2.34
199,1.89,1.89,2.34
200,1.89,1.89,2.34
201,1.89,1.89,2.3400000000000007
202,1.89,1.89,2.34
203,1.8784895833333337,1.8784895833333337,2.3196354166666664
204,1.76,1.76,2.11
205,1.76,1.76,2.11
206,1.76,1.76,2.11
207,1.76,1.76,2.11
208,1.7600000000000007,1.7600000000000007,2.11
209,1.76,1.76,2.11
210,1.7600000000000002,1.7600000000000002,2.11
211,1.76,1.76,2.11
212,1.7599999999999998,1.7599999999999998,2.1100000000000003
213,1.76,1.76,2.11
214,1.7599999999999998,1.7599999999999998,2.11
215,1.76,1.76,2.11
216,1.7600000000000005,1.7600000000000005,2.11
217,1.76,1.76,2.11
218,1.7600000000000002,1.7600000000000002,2.11
219,1.76,1.76,2.11
220,1.76,1.76,2.11
221,1.76,1.76,2.11
222,1.76,1.76,2.11
223,1.76,1.76,2.11
224,1.76,1.76,2.11
225,1.76,1.76,2.11
226,1.76,1.76,2.11
227,1.76,1.76,2.11
228,1.76,1.76,2.11
229,1.76,1.76,2.11
230,1.76,1.76,2.11
231,1.76,1.76,2.11
232,1.76,1.76,2.11
233,1.7516756756756757,1.7516756756756757,2.11
234,1.75,1.75,2.11
235,1.75,1.75,2.1100000000000003
236,1.75,1.75,2.11
237,1.75,1.75,2.11
238,1.75,1.75,2.11
239,1.75,1.75,2.11
240,1.75,1.75,2.1100000000000008
241,1.75,1.75,2.11
242,1.75,1.75,2.11
243,1.75,1.75,2.11
244,1.75,1.75,2.11
245,1.75,1.75,2.11
246,1.6325316455696197,1.6325316455696197,1.8163291139240503
247,1.63,1.63,1.81
248,1.63,1.63,1.81
249,1.6299999999999997,1.6299999999999997,1.81
250,1.6299999999999992,1.6299999999999992,1.8099999999999998
251,1.63,1.63,1.81
252,1.6299999999999997,1.6299999999999997,1.8100000000000003
253,1.63,1.63,1.81
254,1.6299999999999994,1.6299999999999994,1.8100000000000003
255,2.7800000000000002,2.7800000000000002,2.7400000000000007
256,2.78,2.78,2.74
257,2.78,2.78,2.74
258,2.78,2.78,2.74
259,2.78,2.78,2.74
260,2.78,2.78,2.74
261,2.78,2.78,2.74
262,2.7800000000000002,2.7800000000000002,2.740000000000001
263,2.78,2.78,2.74
264,2.78,2.78,2.74
265,2.78,2.78,2.74
266,2.78,2.78,2.74
267,2.78,2.78,2.74
268,2.78,2.78,2.74
269,2.78,2.78,2.7399999999999993
270,2.78,2.78,2.74
271,2.7800000000000002,2.7800000000000002,2.7399999999999998
272,2.78,2.78,2.74
273,2.78,2.78,2.74
274,2.78,2.78,2.74
275,2.78,2.78,2.74
276,2.7800000000000002,2.7800000000000002,2.7400000000000007
277,2.78,2.78,2.74
278,2.78,2.78,2.74
279,2.78,2.78,2.74
280,2.78,2.78,2.74
281,2.7800000000000002,2.7800000000000002,2.7399999999999998
282,2.78,2.78,2.74
283,2.7800000000000002,2.7800000000000002,2.7400000000000007
284,2.78,2.78,2.74
285,2.7800000000000002,2.7800000000000002,2.7400000000000007
286,2.78,2.78,2.74
287,2.78,2.78,2.74
288,2.78,2.78,2.74
289,2.78,2.78,2.74
290,2.78,2.78,2.74
291,2.78,2.78,2.74
292,2.78,2.78,2.74
293,2.78,2.78,2.74
294,2.78,2.78,2.74
295,2.78,2.78,2.74
296,2.78,2.78,2.74
297,2.78,2.78,2.74
298,2.7800000000000007,2.7800000000000007,2.740000000000001
299,2.78,2.78,2.74
300,2.7800000000000002,2.7800000000000002,2.7400000000000007
301,3.7800000000000002,3.7800000000000002,4.28
302,3.78,3.78,4.28
303,3.78,3.78,4.28
304,3.78,3.78,4.28
305,3.78,3.78,4.28
306,3.78,3.78,4.28
307,3.7799999999999994,3.7799999999999994,4.279999999999999
308,3.78,3.78,4.28
309,3.78,3.78,4.28
310,3.78,3.78,4.28
311,3.7799999999999994,3.7799999999999994,4.279999999999999
312,3.78,3.78,4.28
313,3.7799999999999994,3.7799999999999994,4.28
314,3.78,3.78,4.28
315,3.78,3.78,4.28
316,3.78,3.78,4.28
