Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1.0,15521.098,19.0,1.0,0.0
,,,,,,,2.0,15069.608,19.0,0.0,1.0
,,,,,,,3.0,14780.596,19.0,0.0,1.0
,,,,,,,4.0,14659.693,19.0,0.0,1.0
,,,,,,,5.0,14744.025,19.0,0.0,1.0
,,,,,,,6.0,15037.248,19.0,0.0,1.0
,,,,,,,7.0,15525.133,19.0,0.0,1.0
,,,,,,,8.0,15948.442,19.0,0.0,1.0
,,,,,,,9.0,16638.579,19.0,0.0,1.0
,,,,,,,10.0,17309.215,19.0,0.0,1.0
,,,,,,,11.0,17786.413,19.0,0.0,1.0
,,,,,,,12.0,17990.844,19.0,0.0,1.0
,,,,,,,13.0,18005.192,19.0,0.0,1.0
,,,,,,,14.0,17829.645,19.0,0.0,1.0
,,,,,,,15.0,17687.703,19.0,0.0,1.0
,,,,,,,16.0,17831.419,19.0,0.0,1.0
,,,,,,,17.0,18895.352,19.0,0.0,1.0
,,,,,,,18.0,20012.58,19.0,0.0,1.0
,,,,,,,19.0,19864.199,19.0,0.0,1.0
,,,,,,,20.0,19460.387,19.0,0.0,1.0
,,,,,,,21.0,18811.864,19.0,0.0,1.0
,,,,,,,22.0,17873.268,19.0,0.0,1.0
,,,,,,,23.0,16639.854,19.0,0.0,1.0
,,,,,,,24.0,15625.565,19.0,0.0,1.0
,,,,,,,25.0,14989.671,19.0,0.0,1.0
,,,,,,,26.0,14678.553,19.0,0.0,1.0
,,,,,,,27.0,14562.606,19.0,0.0,1.0
,,,,,,,28.0,14601.761,19.0,0.0,1.0
,,,,,,,29.0,14974.557,19.0,0.0,1.0
,,,,,,,30.0,15991.233,19.0,0.0,1.0
,,,,,,,31.0,17739.318,19.0,0.0,1.0
,,,,,,,32.0,18796.04,19.0,0.0,1.0
,,,,,,,33.0,19090.039,19.0,0.0,1.0
,,,,,,,34.0,19188.43,19.0,0.0,1.0
,,,,,,,35.0,19184.68,19.0,0.0,1.0
,,,,,,,36.0,19057.796,19.0,0.0,1.0
,,,,,,,37.0,18825.727,19.0,0.0,1.0
,,,,,,,38.0,18625.022,19.0,0.0,1.0
,,,,,,,39.0,18525.776,19.0,0.0,1.0
,,,,,,,40.0,18550.066,19.0,0.0,1.0
,,,,,,,41.0,19359.901,19.0,0.0,1.0
,,,,,,,42.0,20379.763,19.0,0.0,1.0
,,,,,,,43.0,20359.419,19.0,0.0,1.0
,,,,,,,44.0,19962.979,19.0,0.0,1.0
,,,,,,,45.0,19279.251,19.0,0.0,1.0
,,,,,,,46.0,18189.779,19.0,0.0,1.0
,,,,,,,47.0,16749.306,19.0,0.0,1.0
,,,,,,,48.0,15537.236,19.0,0.0,1.0
,,,,,,,49.0,14778.397,19.0,0.0,1.0
,,,,,,,50.0,14391.429,19.0,0.0,1.0
,,,,,,,51.0,14235.827,19.0,0.0,1.0
,,,,,,,52.0,14258.425,19.0,0.0,1.0
,,,,,,,53.0,14618.637,19.0,0.0,1.0
,,,,,,,54.0,15641.087,19.0,0.0,1.0
,,,,,,,55.0,17383.805,19.0,0.0,1.0
,,,,,,,56.0,18380.916,19.0,0.0,1.0
,,,,,,,57.0,18481.095,19.0,0.0,1.0
,,,,,,,58.0,18322.834,19.0,0.0,1.0
,,,,,,,59.0,18106.065,19.0,0.0,1.0
,,,,,,,60.0,17861.708,19.0,0.0,1.0
