MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.0,1,0.8878044089333333,0.0,1,0.9325113892000001,1,1,1,70
1,0.2679,1,0.72623843,0.2674,1,0.997840822,1,1,1,71
1,0.19704347826086957,1,0.8990630897391303,0.19890434782608696,1,0.6994738447826087,1,1,1,72
1,0.2215,1,0.934025228,0.236,1,0.171693906,1,1,1,73
1,0.448,1,0.963687718,0.471,1,0.154558361,1,1,1,74
1,0.2612310344827586,1,0.32093654455172416,0.2799689655172414,1,0.35221581324137924,1,1,1,75
1,0.4038,1,0.901745558,0.4617,1,0.178833231,1,1,1,76
1,0.2062,1,0.877426207,0.2558,1,0.229911983,1,1,1,77
1,0.0,1,0.9356554659999999,0.0,1,0.341250228,1,1,1,78
1,0.12779500000000002,1,0.703510187175,0.1328575,1,0.492026276675,1,1,1,79
1,0.2573,1,0.501209259,0.2491,1,0.841629386,1,1,1,80
1,0.5438857142857143,1,0.7825928032857143,0.5268857142857143,1,0.6591487952857144,1,1,1,81
1,0.2368,1,0.60289675,0.213,1,0.794496119,1,1,1,82
1,0.16031022727272728,1,0.5132487246477272,0.16572272727272727,1,0.7739623380909092,1,1,1,83
1,0.4516,1,7.35e-06,0.4091,1,0.582361579,1,1,1,84
1,0.5559166666666667,1,0.0036668455,0.5407166666666666,1,0.47650771333333336,1,1,1,85
1,0.1424,1,0.014184862,0.1264,1,0.872334957,1,1,1,86
1,0.17215116279069767,1,0.33873828311627907,0.17691162790697676,1,0.631010933883721,1,1,1,87
1,0.7336,1,0.531124353,0.7351,1,0.250609905,1,1,1,88
1,0.5838,1,0.7590280573333333,0.5555333333333333,1,0.42066133999999994,1,1,1,89
1,0.2042,1,0.651688874,0.2264,1,0.576675177,1,1,1,90
1,0.1269952380952381,1,0.6335677137460317,0.12621904761904762,1,0.7870826863015873,1,1,1,91
1,0.2662,1,0.975051701,0.2569,1,0.722848058,1,1,1,92
1,0.15489747899159664,1,0.3689214457815126,0.1630142857142857,1,0.4229785313781514,1,1,1,93
1,0.3334,1,0.172121212,0.3332,1,0.837952256,1,1,1,94
1,0.535,1,0.189258426,0.5359,1,0.866155028,1,1,1,95
1,0.68832,1,0.314181739,0.6403800000000001,1,0.7944206716,1,1,1,96
1,0.4635,1,0.455034077,0.406,1,0.772954941,1,1,1,97
1,0.2577,1,0.515170276,0.2966,1,0.839647532,1,1,1,98
1,0.007386666666666666,1,0.6220213908000001,0.010866666666666667,1,0.9188239535999999,1,1,1,99
1,0.3412,1,0.288212121,0.3487,1,0.887858212,1,1,1,100
1,0.5422,1,0.155730009,0.5498,1,0.822203994,1,1,1,101
1,0.72362,1,0.1605651242,0.73216,1,0.8169329046,1,1,1,102
1,0.5364,1,0.124641761,0.5699,1,0.869581223,1,1,1,103
1,0.3355,1,0.099795096,0.3757,1,0.825406313,1,1,1,104
1,0.17306318681318683,1,0.6359609740769231,0.1776335164835165,1,0.7250830562087911,1,1,1,105
1,0.1125,1,0.724307418,0.1173,1,0.110993996,1,1,1,106
1,0.1889296875,1,0.7372888863437501,0.19650937500000001,1,0.6665107005625001,1,1,1,107
1,0.01,1,0.195962266125,0.0102625,1,0.27744714537500004,1,1,1,108
1,0.2855,1,0.00687803,0.3,1,0.201831952,1,1,1,109
1,0.4523142857142857,1,0.06570382599999999,0.45662857142857144,1,0.15956026971428572,1,1,1,110
1,0.2223,1,0.183567837,0.1751,1,0.356282949,1,1,1,111
1,0.04316818181818182,1,0.5276466088636363,0.04434090909090909,1,0.8278588964545454,1,1,1,112
1,0.2702,1,0.8455016315,0.3447,1,0.43650825299999996,1,1,1,113
1,0.0854948717948718,1,0.5116467795897436,0.09537179487179487,1,0.6293446039743589,1,1,1,114
1,0.3806,1,0.536517859,0.3948,1,0.634433985,1,1,1,115
1,0.5627,1,0.646394074,0.584,1,0.647287786,1,1,1,116
1,0.7282500000000001,1,0.9180124105,0.74655,1,0.7360566255000001,1,1,1,117
1,0.7455,1,0.594976008,0.7661,1,0.478141487,1,1,1,118
1,0.60555,1,0.82943607875,0.629675,1,0.7818017752499999,1,1,1,119
1,0.1252,1,0.87779361,0.1689,1,0.960448265,1,1,1,120
1,0.0,1,0.9964570105,0.0,1,0.801267028,1,1,1,121
1,0.0,1,0.6848690752727273,0.0,1,0.8008554687272728,1,1,1,122
1,0.156,1,0.570405245,0.166,1,0.758821309,1,1,1,123
1,0.404,1,0.424727678,0.415,1,0.766903937,1,1,1,124
1,0.5895,1,0.04422532,0.5985,1,0.158545822,1,1,1,125
1,0.7503666666666667,1,0.29962677266666665,0.7515666666666667,1,0.441562583,1,1,1,126
1,0.605625,1,0.053048633,0.6257499999999999,1,0.20425014549999998,1,1,1,127
1,0.1256,1,0.073937908,0.1663,1,0.411970258,1,1,1,128
1,0.0,1,0.268713072,0.0,1,0.4689228385,1,1,1,129
1,0.0,1,0.590696812,0.0,1,0.320417523,1,1,1,130
1,0.0,1,0.940650821,0.0,1,0.250929922,1,1,1,131
1,0.0,1,0.986708522,0.0,1,0.196168274,1,1,1,132
1,0.051629999999999995,1,0.9772131024,0.0531,1,0.7127646983,1,1,1,133
1,0.555,1,0.977611303,0.5632,1,0.658175886,1,1,1,134
1,0.31042068965517244,1,0.8750140811379312,0.31543793103448275,1,0.8254739601034482,1,1,1,135
1,0.5003,1,0.997570157,0.4194,1,0.642984033,1,1,1,136
1,0.2563,1,0.928186834,0.2272,1,0.659290433,1,1,1,137
1,0.12096315789473686,1,0.8223478160263159,0.13200263157894737,1,0.7005522318421052,1,1,1,138
1,0.1557,1,0.938784659,0.1773,1,0.49563694,1,1,1,139
1,0.3873,1,1.0,0.4252,1,0.375570089,1,1,1,140
1,0.5217,1,1.0,0.6064,1,0.265338719,1,1,1,141
1,0.5533,1,0.512392402,0.672,1,0.042529028,1,1,1,142
1,0.5509,1,0.880256116,0.662,1,0.043171629,1,1,1,143
1,0.1346578947368421,1,0.3030861111052632,0.16514736842105265,1,0.2650806024736842,1,1,1,144
1,0.1634,1,0.904002309,0.1727,1,0.947718859,1,1,1,145
1,0.3936,1,0.959290564,0.403,1,0.855734825,1,1,1,146
1,0.5714,1,0.997889757,0.5786,1,0.781125665,1,1,1,147
1,0.71824,1,0.8437740208000001,0.72312,1,0.4416842998,1,1,1,148
1,0.5494,1,0.918886721,0.582,1,0.360668629,1,1,1,149
1,0.3596,1,0.893582225,0.4025,1,0.36010474,1,1,1,150
1,0.1252,1,0.785220444,0.1701,1,0.591436982,1,1,1,151
1,0.2272045454545454,1,0.5977138192727273,0.2269363636363636,1,0.6263063668636364,1,1,1,152
1,0.2529,1,0.466974974,0.2714,1,0.033043709,1,1,1,153
1,0.015125,1,0.45567488675,0.03,1,0.073867172,1,1,1,154
1,0.0,1,0.72546494,0.0,1,0.095217265,1,1,1,155
1,0.0,1,0.649517715,0.0,1,0.076705948,1,1,1,156
1,0.20660499999999998,1,0.52850889715,0.22640500000000002,1,0.3957012873,1,1,1,157
1,0.5104,1,0.974222183,0.5953,1,0.118479937,1,1,1,158
1,0.3224,1,0.923883617,0.4131,1,0.108378366,1,1,1,159
1,0.1758695652173913,1,0.21193603869565222,0.1930391304347826,1,0.20812065186956524,1,1,1,160
1,0.2737,1,0.288483322,0.2548,1,0.124753639,1,1,1,161
