Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,11638.198,1,1,0,1
,,,,,,,2,11135.536,1,0,1,1
,,,,,,,3,10804.521,1,0,1,1
,,,,,,,4,11127.77,1,0,1,2
,,,,,,,5,12725.663,1,0,1,1
,,,,,,,6,15071.395,1,0,1,1
,,,,,,,7,16536.891,1,0,1,1
,,,,,,,8,16746.733,1,0,1,1
,,,,,,,9,17213.047,1,0,1,2
,,,,,,,10,17346.685,1,0,1,1
,,,,,,,11,16215.021,1,0,1,1
,,,,,,,12,15837.873,1,0,1,1
,,,,,,,13,15725.998,1,0,1,1
,,,,,,,14,15865.503,1,0,1,1
,,,,,,,15,16760.103,1,0,1,1
,,,,,,,16,17901.118,1,0,1,1
,,,,,,,17,18365.497,1,0,1,1
,,,,,,,18,17728.415,1,0,1,1
,,,,,,,19,17374.41,1,0,1,1
,,,,,,,20,16338.009,1,0,1,1
,,,,,,,21,14955.614,1,0,1,1
,,,,,,,22,13516.872,1,0,1,1
,,,,,,,23,11930.2756,1,0,1,5
,,,,,,,24,13433.84,1,0,1,1
,,,,,,,25,14915.729,1,0,1,1
,,,,,,,26,17153.468,1,0,1,1
,,,,,,,27,18181.03,1,0,1,1
,,,,,,,28,17510.585,1,0,1,1
,,,,,,,29,17580.126,1,0,1,1
,,,,,,,30,17261.697,1,0,1,1
,,,,,,,31,17227.001,1,0,1,1
,,,,,,,32,17496.252,1,0,1,1
,,,,,,,33,17572.603,1,0,1,1
,,,,,,,34,17402.312,1,0,1,1
,,,,,,,35,18387.796333333332,1,0,1,3
,,,,,,,36,17757.039,1,0,1,1
,,,,,,,37,17148.508,1,0,1,1
,,,,,,,38,16261.568,1,0,1,1
,,,,,,,39,15231.307,1,0,1,1
,,,,,,,40,14180.157,1,0,1,1
,,,,,,,41,13457.874,1,0,1,1
,,,,,,,42,12733.2405,1,0,1,2
,,,,,,,43,12456.235,1,0,1,1
,,,,,,,44,12853.856,1,0,1,2
,,,,,,,45,15026.842,1,0,1,1
,,,,,,,46,15252.446,1,0,1,1
,,,,,,,47,16895.759,1,0,1,1
,,,,,,,48,17095.102,1,0,1,1
,,,,,,,49,17101.822,1,0,1,4
,,,,,,,50,17329.095,1,0,1,2
,,,,,,,51,18558.178,1,0,1,1
,,,,,,,52,19551.808,1,0,1,1
,,,,,,,53,19346.396,1,0,1,1
,,,,,,,54,18648.514,1,0,1,1
,,,,,,,55,17722.023,1,0,1,1
,,,,,,,56,16395.795,1,0,1,1
,,,,,,,57,14583.725,1,0,1,1
,,,,,,,58,13050.462,1,0,1,1
,,,,,,,59,12006.579333333333,1,0,1,3
,,,,,,,60,11669.896,1,0,1,1
,,,,,,,61,11839.537,1,0,1,1
,,,,,,,62,13098.96,1,0,1,1
,,,,,,,63,15087.65,1,0,1,1
,,,,,,,64,16272.142,1,0,1,2
,,,,,,,65,17343.9545,1,0,1,2
,,,,,,,66,17689.683,1,0,1,2
,,,,,,,67,17230.503,1,0,1,1
,,,,,,,68,17257.7,1,0,1,1
,,,,,,,69,18233.300999999996,1,0,1,6
,,,,,,,70,16402.888,1,0,1,1
,,,,,,,71,15180.963,1,0,1,1
,,,,,,,72,12885.319599999999,1,0,1,5
,,,,,,,73,12822.977,1,0,1,1
,,,,,,,74,14018.005,1,0,1,1
,,,,,,,75,15558.855,1,0,1,1
,,,,,,,76,17303.582,1,0,1,1
,,,,,,,77,17396.549,1,0,1,1
,,,,,,,78,17421.767,1,0,1,1
,,,,,,,79,17743.623,1,0,1,1
,,,,,,,80,16864.42,1,0,1,1
,,,,,,,81,16478.572,1,0,1,1
,,,,,,,82,16220.908,1,0,1,1
,,,,,,,83,15567.986,1,0,1,1
,,,,,,,84,15728.704,1,0,1,1
,,,,,,,85,17314.239,1,0,1,1
,,,,,,,86,19025.557666666664,1,0,1,3
,,,,,,,87,18030.417,1,0,1,1
,,,,,,,88,16884.766,1,0,1,1
,,,,,,,89,15212.947,1,0,1,1
,,,,,,,90,13907.399,1,0,1,1
,,,,,,,91,12831.798,1,0,1,1
,,,,,,,92,12282.308,1,0,1,1
,,,,,,,93,11628.4395,1,0,1,2
,,,,,,,94,11564.128,1,0,1,1
,,,,,,,95,12635.64,1,0,1,1
,,,,,,,96,14438.427,1,0,1,1
,,,,,,,97,16925.237999999998,1,0,1,9
,,,,,,,98,18314.146,1,0,1,1
,,,,,,,99,18835.871,1,0,1,1
,,,,,,,100,18586.955,1,0,1,1
,,,,,,,101,17904.029,1,0,1,1
,,,,,,,102,17172.575,1,0,1,1
,,,,,,,103,16286.911,1,0,1,1
,,,,,,,104,15134.564,1,0,1,1
,,,,,,,105,13753.747,1,0,1,1
,,,,,,,106,12798.45,1,0,1,1
,,,,,,,107,12281.763,1,0,1,1
,,,,,,,108,12063.809,1,0,1,1
,,,,,,,109,12565.342999999999,1,0,1,3
,,,,,,,110,15577.957,1,0,1,1
,,,,,,,111,17368.144333333334,1,0,1,3
,,,,,,,112,17891.503,1,0,1,1
,,,,,,,113,16885.707,1,0,1,2
,,,,,,,114,17713.059,1,0,1,1
,,,,,,,115,18068.604,1,0,1,1
,,,,,,,116,18041.348,1,0,1,1
,,,,,,,117,18756.4975,1,0,1,4
,,,,,,,118,17377.042,1,0,1,2
,,,,,,,119,16062.455,1,0,1,1
,,,,,,,120,14810.622,1,0,1,1
,,,,,,,121,13610.806,1,0,1,1
,,,,,,,122,12863.186,1,0,1,1
,,,,,,,123,13047.97525,1,0,1,4
,,,,,,,124,14870.268,1,0,1,1
,,,,,,,125,17231.54485714286,1,0,1,7
,,,,,,,126,16972.252,1,0,1,1
,,,,,,,127,17575.721,1,0,1,1
,,,,,,,128,18268.384,1,0,1,1
,,,,,,,129,19374.6465,1,0,1,2
,,,,,,,130,18495.438,1,0,1,1
,,,,,,,131,17302.509,1,0,1,1
,,,,,,,132,15511.048,1,0,1,1
,,,,,,,133,14459.69,1,0,1,1
,,,,,,,134,13258.481,1,0,1,1
,,,,,,,135,12411.723,1,0,1,1
,,,,,,,136,11901.90325,1,0,1,4
,,,,,,,137,13293.155,1,0,1,1
,,,,,,,138,15476.487,1,0,1,1
,,,,,,,139,16898.838,1,0,1,1
,,,,,,,140,16971.71,1,0,1,1
,,,,,,,141,17012.388,1,0,1,1
,,,,,,,142,16409.147,1,0,1,1
,,,,,,,143,16831.709,1,0,1,1
,,,,,,,144,17038.825,1,0,1,1
,,,,,,,145,17442.698,1,0,1,1
,,,,,,,146,17284.417,1,0,1,1
,,,,,,,147,17674.135,1,0,1,1
,,,,,,,148,18546.24,1,0,1,1
,,,,,,,149,19762.729,1,0,1,1
,,,,,,,150,19546.226,1,0,1,1
,,,,,,,151,19026.451,1,0,1,1
,,,,,,,152,18233.857,1,0,1,1
,,,,,,,153,16774.525,1,0,1,1
,,,,,,,154,15131.081,1,0,1,1
,,,,,,,155,13907.067,1,0,1,1
,,,,,,,156,12841.002,1,0,1,1
,,,,,,,157,12041.086,1,0,1,1
,,,,,,,158,11723.06,1,0,1,1
,,,,,,,159,11682.853,1,0,1,1
,,,,,,,160,11740.318500000001,1,0,1,2
,,,,,,,161,12237.109,1,0,1,1
,,,,,,,162,12920.416,1,0,1,1
,,,,,,,163,13861.372,1,0,1,1
,,,,,,,164,14806.554,1,0,1,1
,,,,,,,165,15677.609,1,0,1,1
,,,,,,,166,16784.51,1,0,1,1
,,,,,,,167,17286.207,1,0,1,1
,,,,,,,168,16618.113,1,0,1,1
,,,,,,,169,16124.642,1,0,1,1
,,,,,,,170,15940.468,1,0,1,1
,,,,,,,171,17063.299,1,0,1,1
,,,,,,,172,18310.863,1,0,1,1
,,,,,,,173,18425.404,1,0,1,1
,,,,,,,174,18237.545,1,0,1,1
,,,,,,,175,17666.092,1,0,1,1
,,,,,,,176,17083.934,1,0,1,1
,,,,,,,177,16051.05,1,0,1,1
,,,,,,,178,14809.453,1,0,1,1
,,,,,,,179,13278.054199999999,1,0,1,5
,,,,,,,180,14669.562,1,0,1,1
,,,,,,,181,17452.057,1,0,1,1
,,,,,,,182,18796.059,1,0,1,1
,,,,,,,183,18982.977,1,0,1,1
,,,,,,,184,18363.355,1,0,1,1
,,,,,,,185,18228.099,1,0,1,1
,,,,,,,186,17496.073,1,0,1,1
,,,,,,,187,17219.934,1,0,1,1
,,,,,,,188,17324.613,1,0,1,1
,,,,,,,189,17167.493,1,0,1,1
,,,,,,,190,17123.887,1,0,1,1
,,,,,,,191,17551.880250000002,1,0,1,8
,,,,,,,192,12727.97375,1,0,1,4
,,,,,,,193,12859.386,1,0,1,1
,,,,,,,194,14507.1355,1,0,1,2
,,,,,,,195,16490.808,1,0,1,1
,,,,,,,196,17645.694,1,0,1,1
,,,,,,,197,18445.064,1,0,1,1
,,,,,,,198,18499.763,1,0,1,1
,,,,,,,199,18448.32,1,0,1,2
,,,,,,,200,16892.329,1,0,1,1
,,,,,,,201,16245.464,1,0,1,1
,,,,,,,202,16445.609,1,0,1,1
,,,,,,,203,17025.464625,1,0,1,8
,,,,,,,204,13296.502,1,0,1,1
,,,,,,,205,12787.039,1,0,1,1
,,,,,,,206,12495.488,1,0,1,1
,,,,,,,207,12653.997,1,0,1,1
,,,,,,,208,12998.681,1,0,1,1
,,,,,,,209,14418.428,1,0,1,1
,,,,,,,210,16793.437,1,0,1,1
,,,,,,,211,17972.75,1,0,1,1
,,,,,,,212,17898.813,1,0,1,1
,,,,,,,213,17543.54,1,0,1,1
,,,,,,,214,17488.094666666668,1,0,1,3
,,,,,,,215,17297.253,1,0,1,1
,,,,,,,216,17529.477,1,0,1,1
,,,,,,,217,17682.845,1,0,1,1
,,,,,,,218,18342.615,1,0,1,1
,,,,,,,219,19619.697500000002,1,0,1,2
,,,,,,,220,19083.306,1,0,1,1
,,,,,,,221,18447.403,1,0,1,1
,,,,,,,222,17655.423,1,0,1,1
,,,,,,,223,16021.029,1,0,1,1
,,,,,,,224,14658.098,1,0,1,1
,,,,,,,225,13550.448200000003,1,0,1,5
,,,,,,,226,16701.34866666667,1,0,1,3
,,,,,,,227,18865.357,1,0,1,1
,,,,,,,228,18930.88,1,0,1,1
,,,,,,,229,18685.25,1,0,1,1
,,,,,,,230,18608.252,1,0,1,1
,,,,,,,231,17983.058,1,0,1,1
,,,,,,,232,17855.793,1,0,1,1
,,,,,,,233,16941.517,1,0,1,1
,,,,,,,234,16830.863,1,0,1,1
,,,,,,,235,17307.99,1,0,1,1
,,,,,,,236,19911.113,1,0,1,1
,,,,,,,237,20107.86333333333,1,0,1,3
,,,,,,,238,18580.525,1,0,1,1
,,,,,,,239,17158.404,1,0,1,1
,,,,,,,240,15823.701,1,0,1,1
,,,,,,,241,14499.062333333333,1,0,1,3
,,,,,,,242,14144.436,1,0,1,1
,,,,,,,243,14518.476,1,0,1,2
,,,,,,,244,16297.044,1,0,1,1
,,,,,,,245,17422.247,1,0,1,1
,,,,,,,246,18515.703,1,0,1,1
,,,,,,,247,18857.747,1,0,1,1
,,,,,,,248,18862.077,1,0,1,1
,,,,,,,249,19014.5605,1,0,1,2
,,,,,,,250,18639.601,1,0,1,1
,,,,,,,251,17726.44,1,0,1,1
,,,,,,,252,17530.732,1,0,1,1
,,,,,,,253,18967.817,1,0,1,1
,,,,,,,254,20604.254,1,0,1,1
,,,,,,,255,20601.631,1,0,1,1
,,,,,,,256,19799.173,1,0,1,1
,,,,,,,257,19017.534,1,0,1,1
,,,,,,,258,17932.364,1,0,1,1
,,,,,,,259,16011.977,1,0,1,1
,,,,,,,260,14896.614,1,0,1,1
,,,,,,,261,13636.397,1,0,1,5
,,,,,,,262,14789.253,1,0,1,1
,,,,,,,263,15729.176,1,0,1,1
,,,,,,,264,16731.798,1,0,1,1
,,,,,,,265,17668.541,1,0,1,1
,,,,,,,266,18510.832,1,0,1,1
,,,,,,,267,18291.08,1,0,1,1
,,,,,,,268,18088.067,1,0,1,1
,,,,,,,269,16380.061,1,0,1,1
,,,,,,,270,16064.301,1,0,1,1
,,,,,,,271,16205.904,1,0,1,1
,,,,,,,272,17309.636,1,0,1,1
,,,,,,,273,18526.229,1,0,1,1
,,,,,,,274,20521.267,1,0,1,2
,,,,,,,275,19786.333,1,0,1,1
,,,,,,,276,19066.958,1,0,1,1
,,,,,,,277,17919.219,1,0,1,1
,,,,,,,278,16458.263,1,0,1,1
,,,,,,,279,15161.973,1,0,1,1
,,,,,,,280,13738.270499999999,1,0,1,2
,,,,,,,281,13329.972,1,0,1,1
,,,,,,,282,13316.774,1,0,1,1
,,,,,,,283,13581.352,1,0,1,1
,,,,,,,284,14667.804,1,0,1,1
,,,,,,,285,15966.566,1,0,1,1
,,,,,,,286,16602.726,1,0,1,1
,,,,,,,287,17626.471,1,0,1,1
,,,,,,,288,18013.776,1,0,1,1
,,,,,,,289,17957.528,1,0,1,1
,,,,,,,290,17595.247,1,0,1,1
,,,,,,,291,17832.752,1,0,1,1
,,,,,,,292,17939.877,1,0,1,1
,,,,,,,293,17894.151,1,0,1,1
,,,,,,,294,18016.393,1,0,1,1
,,,,,,,295,18939.915,1,0,1,1
,,,,,,,296,19866.413,1,0,1,5
,,,,,,,297,17157.775,1,0,1,1
,,,,,,,298,15082.212,1,0,1,3
,,,,,,,299,15052.019,1,0,1,1
,,,,,,,300,15017.064,1,0,1,1
,,,,,,,301,15156.803,1,0,1,1
,,,,,,,302,15308.614,1,0,1,1
,,,,,,,303,16991.971,1,0,1,1
,,,,,,,304,18362.806,1,0,1,1
,,,,,,,305,18984.511,1,0,1,1
,,,,,,,306,19163.522,1,0,1,1
,,,,,,,307,18929.264,1,0,1,1
,,,,,,,308,18891.05,1,0,1,1
,,,,,,,309,18631.956,1,0,1,1
,,,,,,,310,18383.268,1,0,1,1
,,,,,,,311,18189.334,1,0,1,1
,,,,,,,312,18165.827,1,0,1,1
,,,,,,,313,18792.214,1,0,1,1
,,,,,,,314,20330.884,1,0,1,1
,,,,,,,315,20353.426,1,0,1,1
,,,,,,,316,19938.072,1,0,1,1
,,,,,,,317,19339.669,1,0,1,1
,,,,,,,318,18382.862,1,0,1,1
,,,,,,,319,16936.697,1,0,1,1
,,,,,,,320,15719.067,1,0,1,1
,,,,,,,321,14410.681,1,0,1,5
,,,,,,,322,14641.944,1,0,1,1
,,,,,,,323,16292.332,1,0,1,1
,,,,,,,324,16814.15,1,0,1,1
,,,,,,,325,17252.489,1,0,1,1
,,,,,,,326,18242.889,1,0,1,1
,,,,,,,327,18835.384,1,0,1,1
,,,,,,,328,18934.116,1,0,1,1
,,,,,,,329,18459.129666666664,1,0,1,3
,,,,,,,330,18352.497,1,0,1,1
,,,,,,,331,18536.426,1,0,1,1
,,,,,,,332,19771.463,1,0,1,1
,,,,,,,333,19775.294,1,0,1,1
,,,,,,,334,18360.9895,1,0,1,2
,,,,,,,335,16557.97,1,0,1,2
,,,,,,,336,14711.547,1,0,1,1
,,,,,,,337,13434.767,1,0,1,4
,,,,,,,338,13381.962,1,0,1,1
,,,,,,,339,14669.799,1,0,1,1
,,,,,,,340,17001.694,1,0,1,1
,,,,,,,341,18117.573,1,0,1,1
,,,,,,,342,18136.134,1,0,1,1
,,,,,,,343,17747.3995,1,0,1,2
,,,,,,,344,17258.582,1,0,1,1
,,,,,,,345,17302.279,1,0,1,2
,,,,,,,346,17175.477,1,0,1,1
,,,,,,,347,17352.053,1,0,1,1
,,,,,,,348,18613.721,1,0,1,1
,,,,,,,349,16717.6144,1,0,1,15
,,,,,,,350,18863.966,1,0,1,1
,,,,,,,351,19025.834,1,0,1,1
,,,,,,,352,18767.526250000003,1,0,1,4
,,,,,,,353,17874.364,1,0,1,1
,,,,,,,354,17872.834,1,0,1,1
,,,,,,,355,17274.706125,1,0,1,16
,,,,,,,356,19192.901,1,0,1,1
,,,,,,,357,19165.818,1,0,1,1
,,,,,,,358,18719.99775,1,0,1,4
,,,,,,,359,18139.461,1,0,1,1
,,,,,,,360,17981.035,1,0,1,1
,,,,,,,361,17182.786599999996,1,0,1,15
,,,,,,,362,18984.265,1,0,1,1
,,,,,,,363,19602.646,1,0,1,1
,,,,,,,364,19858.074,1,0,1,1
,,,,,,,365,19907.014,1,0,1,1
,,,,,,,366,19356.026,1,0,1,1
,,,,,,,367,19075.357,1,0,1,1
,,,,,,,368,18870.552,1,0,1,1
,,,,,,,369,18634.482,1,0,1,1
,,,,,,,370,18956.243,1,0,1,1
,,,,,,,371,19416.581,1,0,1,1
,,,,,,,372,20503.319,1,0,1,1
,,,,,,,373,20663.222,1,0,1,1
,,,,,,,374,20436.512,1,0,1,1
,,,,,,,375,19553.815,1,0,1,1
,,,,,,,376,18525.188,1,0,1,1
,,,,,,,377,17157.742,1,0,1,1
,,,,,,,378,15774.907,1,0,1,1
,,,,,,,379,15519.779625,1,0,1,8
,,,,,,,380,19223.786666666667,1,0,1,3
,,,,,,,381,18989.499,1,0,1,1
,,,,,,,382,18603.081,1,0,1,1
,,,,,,,383,18300.065,1,0,1,1
,,,,,,,384,18015.487,1,0,1,1
,,,,,,,385,17988.67,1,0,1,1
,,,,,,,386,18665.629,1,0,1,1
,,,,,,,387,16995.631181818182,1,0,1,11
,,,,,,,388,14421.665,1,0,1,1
,,,,,,,389,15208.438,1,0,1,1
,,,,,,,390,17684.429,1,0,1,1
,,,,,,,391,19159.668,1,0,1,1
,,,,,,,392,19208.606,1,0,1,1
,,,,,,,393,18901.873,1,0,1,1
,,,,,,,394,18094.509,1,0,1,1
,,,,,,,395,17843.671,1,0,1,1
,,,,,,,396,17983.905,1,0,1,1
,,,,,,,397,17540.938,1,0,1,1
,,,,,,,398,17581.809,1,0,1,1
,,,,,,,399,17685.333,1,0,1,1
,,,,,,,400,18330.601,1,0,1,1
,,,,,,,401,19499.241,1,0,1,1
,,,,,,,402,18459.587,1,0,1,1
,,,,,,,403,18645.037,1,0,1,1
,,,,,,,404,17989.167,1,0,1,1
,,,,,,,405,16975.092,1,0,1,1
,,,,,,,406,15636.543,1,0,1,1
,,,,,,,407,14358.032,1,0,1,1
,,,,,,,408,12909.065666666667,1,0,1,3
,,,,,,,409,12957.198,1,0,1,2
,,,,,,,410,14665.34,1,0,1,1
,,,,,,,411,17009.973,1,0,1,1
,,,,,,,412,17939.938,1,0,1,1
,,,,,,,413,17137.107,1,0,1,1
,,,,,,,414,17146.177833333335,1,0,1,6
,,,,,,,415,16988.242,1,0,1,1
,,,,,,,416,17972.861,1,0,1,1
,,,,,,,417,19608.579,1,0,1,1
,,,,,,,418,19402.49,1,0,1,1
,,,,,,,419,19073.452,1,0,1,1
,,,,,,,420,18212.968,1,0,1,1
,,,,,,,421,16915.1,1,0,1,1
,,,,,,,422,15228.869,1,0,1,1
,,,,,,,423,13916.781,1,0,1,1
,,,,,,,424,12895.094000000001,1,0,1,2
,,,,,,,425,12628.829,1,0,1,1
,,,,,,,426,13317.739,1,0,1,1
,,,,,,,427,13572.247,1,0,1,1
,,,,,,,428,14258.58,1,0,1,1
,,,,,,,429,15879.149,1,0,1,1
,,,,,,,430,16399.069,1,0,1,1
,,,,,,,431,17258.672,1,0,1,1
,,,,,,,432,17685.867,1,0,1,1
,,,,,,,433,18000.173,1,0,1,1
,,,,,,,434,18678.963,1,0,1,1
,,,,,,,435,18518.319,1,0,1,1
,,,,,,,436,18254.87,1,0,1,1
,,,,,,,437,18051.421,1,0,1,1
,,,,,,,438,18021.169,1,0,1,1
,,,,,,,439,18755.025,1,0,1,1
,,,,,,,440,20412.935,1,0,1,1
,,,,,,,441,21052.817,1,0,1,1
,,,,,,,442,16932.106727272727,1,0,1,11
,,,,,,,443,17290.014,1,0,1,1
,,,,,,,444,18746.29,1,0,1,1
,,,,,,,445,19106.393,1,0,1,1
,,,,,,,446,19261.396,1,0,1,1
,,,,,,,447,19080.217,1,0,1,1
,,,,,,,448,18670.72366666667,1,0,1,3
,,,,,,,449,17982.556,1,0,1,1
,,,,,,,450,17999.526,1,0,1,1
,,,,,,,451,18743.988,1,0,1,1
,,,,,,,452,20426.63,1,0,1,1
,,,,,,,453,20523.889,1,0,1,1
,,,,,,,454,19913.7065,1,0,1,2
,,,,,,,455,18569.18,1,0,1,1
,,,,,,,456,16639.716,1,0,1,1
,,,,,,,457,15483.722,1,0,1,1
,,,,,,,458,14630.678,1,0,1,1
,,,,,,,459,13685.139,1,0,1,2
,,,,,,,460,13577.344,1,0,1,1
,,,,,,,461,13701.261,1,0,1,1
,,,,,,,462,14778.725,1,0,1,1
,,,,,,,463,17043.053,1,0,1,1
,,,,,,,464,17959.096,1,0,1,1
,,,,,,,465,18210.5,1,0,1,1
,,,,,,,466,16941.011,1,0,1,1
,,,,,,,467,17436.595,1,0,1,2
