Resource,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,8.979781076115493e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.979781076115493e-15
t1,1.6687387201687946e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6687387201687946e-18
t2,1.1406939940203641e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1406939940203641e-18
t3,9.901317175498904e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901317175498904e-19
t4,1.1516125000378231e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1516125000378231e-18
