number_repr_period,time_rep_period,eps,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time,termination_Status,has_primal
1,8736,1.0,1.6715075827726562e11,1.0199999809265137,4,10.2007191,18.0886757,termination_status,true
1,8736,1.0,2.4889015782526023e13,158.58599996566772,200928,304.1871967,375.3638588,termination_status,true
