BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Storage_State_of_Charge
Zone,1,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2628386189812744e8,1.199783084140512e-13,-1.417619334289453e-13,0.0,0.0,0.0,1.3403345985425187e-13,0.0,0.0,-1.2628386189813027e8,4.4192149882248107e-10
t1,11998.282403627742,1.203525779657683e-14,-5.376619387674251e-15,0.0,0.0,0.0,4.402017647117843e-15,0.0,0.0,-11998.282403627723,5.705104296970791e-14
t2,14690.635664079968,2.746102575341548e-17,-3.125117059331299e-17,0.0,0.0,0.0,2.5431158770964067e-17,0.0,0.0,-14690.63566407997,5.5487791324936085e-14
t3,14384.7872755606,5.379084964279853e-18,-5.112478641254287e-18,0.0,0.0,0.0,6.982755386916813e-18,0.0,0.0,-14384.78727556103,4.79416738474115e-14
t4,14645.85851715373,4.6644081127978364e-17,-8.114242863813176e-17,0.0,0.0,0.0,6.605578748967904e-17,0.0,0.0,-14645.85851715372,6.518635508584849e-14
