region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas,1,1,1,7.010950088931741e-12,0.0,0.0,2.0262012822462414e-12,0.0,0.0,4.1023983675939525e-14,1.1504985248722943e-12,0.0,0.0,0.0,0.0,4.3034447972840165e-11,0.0,0.0,0.0,0.0,0.0,2.791684252569672e-31,0.0,4.3034447972840165e-11,1.0228673879726217e-11,3.280577409311395e-11
NE,natural_gas_ccs,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,nuclear,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,solar_pv,1,1,4,2.4161842342e10,0.0,0.0,6.578e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.602805073700291e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.602805073700291e10,3.0739842342e10,2.5288208395002907e10
NE,onshore_wind,1,1,5,1.4312274363e10,0.0,0.0,4.761e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6967791654313225e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6967791654313225e10,1.9073274363e10,2.7894517291313225e10
NE,fixed_offshore_wind,1,1,6,8.621571598715726e10,0.0,0.0,3.1121925585108353e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.173376415722654e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.173376415722654e11,1.1733764157226561e11,-0.000213623046875
NE,float_offshore_wind,1,1,7,2.2084384984765136e-7,0.0,0.0,4.234287513915925e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8485525475965638e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8485525475965638e-7,2.6318672498681063e-7,-7.833147022715425e-8
NE,battery,1,1,8,1.7739253227332664e-8,2.5657130159457136e-8,0.0,4.683558521716058e-9,5.799704244523401e-9,0.0,0.0,0.0,0.0,0.0,7.830843857043102e-11,0.0,8.239207907714501e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.239207907714501e-11,5.395795459159969e-8,-5.387556251252255e-8
