Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas,1,2.548073520244691e-14,3.670654496822901e-18,0.0
natural_gas_ccs,1,0.0,0.0,0.0
nuclear,1,0.0,0.0,0.0
solar_pv,1,2.7217013363740157e7,22000.0,0.14161366427187477
onshore_wind,1,2.757373448552104e7,9000.0,0.35070378619150694
fixed_offshore_wind,1,7.149311404886624e7,19058.129568345594,0.42940916909859994
float_offshore_wind,1,8.680451012383018e-11,3.0180238873242515e-14,0.0
battery,1,1.199783084140512e-13,2.909042560072085e-14,0.0
