Resource,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,2.548073520244691e-14,0.0,0.0,2.7217013363740157e7,2.757373448552104e7,7.149311404886624e7,8.680451012383018e-11,1.199783084140512e-13,1.2628386189812744e8
t1,4.735158807355353e-18,0.0,0.0,0.0,2094.4702170547403,9903.812186573,1.64210265757482e-14,1.203525779657683e-14,11998.282403627742
t2,3.236796238380882e-18,0.0,0.0,1566.3472117508202,3257.2138848842114,9867.074567444937,2.0513366324478249e-16,2.746102575341548e-17,14690.635664079968
t3,2.8095656115200628e-18,0.0,0.0,3657.8715899999897,3066.3595909091073,7660.556094651504,1.2068540235703513e-14,5.379084964279853e-18,14384.7872755606
t4,3.2677782365252672e-18,0.0,0.0,1192.6105071011332,3784.3181502676644,9668.929859784934,9.507582511277611e-15,4.6644081127978364e-17,14645.85851715373
