Resource,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,591717.6082597893,1.1149625144790194e6,1.4378767719957195e6,2.8688183760029423e-11,0.0,3.1445568947345284e6
t1,0.0,0.0,0.0,0.0,1846.6297829452596,4464.111695002743,6.331855510789333e-15,0.0,6310.741477948002
t2,0.0,0.0,0.0,393.1840504399929,731.2216628189672,967.8761514436592,1.6952971999915268e-14,0.0,2092.2818647026193
t3,0.0,0.0,0.0,2.2737367544323206e-12,-6.821210263296962e-12,1.3642420526593924e-11,6.262993025346417e-17,0.0,9.095009647659536e-12
t4,0.0,0.0,0.0,49.11413456553373,108.94059973233425,88.70542501090131,5.944498590230092e-15,0.0,246.7601593087693
