Segment,1,Total
Zone,1,0
AnnualSum,1.3403345985425187e-13,1.3403345985425187e-13
t1,4.402017647117843e-15,4.402017647117843e-15
t2,2.5431158770964067e-17,2.5431158770964067e-17
t3,6.982755386916813e-18,6.982755386916813e-18
t4,6.605578748967904e-17,6.605578748967904e-17
