Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
MA_solar_pv,1,1,1,0,0,5000.0,5000.0,85300,18760,0.0,0,0,0,0,MA,1
CT_onshore_wind,2,1,1,0,0,10000.0,10000.0,97200,43205,0.1,0,0,0,0,CT,1
CT_solar_pv,2,1,1,0,0,0.0,0.0,85300,18760,0.0,0,0,0,0,CT,1
ME_onshore_wind,3,1,1,0,0,113.34010659501627,113.34010659501627,97200,43205,0.1,0,0,0,0,ME,1
