Period_Index,Rep_Period,Rep_Period_Index
1,13,1
2,13,1
3,13,1
4,13,1
5,13,1
6,13,1
7,13,1
8,13,1
9,13,1
10,17,2
11,13,1
12,13,1
13,13,1
14,13,1
15,17,2
16,17,2
17,17,2
18,13,1
19,13,1
20,17,2
21,17,2
22,17,2
23,17,2
