Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,3,3
4,1,1
5,10,6
6,6,4
7,7,5
8,2,2
9,7,5
10,10,6
11,11,7
12,12,8
13,13,9
14,12,8
15,15,10
16,3,3
17,27,15
18,18,11
19,27,15
20,24,13
21,180,78
22,22,12
23,169,72
24,24,13
25,18,11
26,26,14
27,27,15
28,182,80
29,29,16
30,22,12
31,44,22
32,32,17
33,32,17
34,34,18
35,44,22
36,36,19
37,36,19
38,38,20
39,32,17
40,38,20
41,32,17
42,42,21
43,34,18
44,44,22
45,157,65
46,164,70
47,47,23
48,59,29
49,49,24
50,51,25
51,51,25
52,55,27
53,55,27
54,54,26
55,55,27
56,49,24
57,59,29
58,58,28
59,59,29
60,54,26
61,61,30
62,79,34
63,84,37
64,134,57
65,134,57
66,127,53
67,67,31
68,82,36
69,69,32
70,84,37
71,138,60
72,72,33
73,82,36
74,132,55
75,122,52
76,89,39
77,135,58
78,135,58
79,79,34
80,80,35
81,72,33
82,82,36
83,69,32
84,84,37
85,72,33
86,86,38
87,100,43
88,116,48
89,89,39
90,93,41
91,91,40
92,110,46
93,93,41
94,110,46
95,121,51
96,110,46
97,110,46
98,113,47
99,99,42
100,100,43
101,79,34
102,102,44
103,103,45
104,113,47
105,79,34
106,102,44
107,113,47
108,113,47
109,103,45
110,110,46
111,113,47
112,117,49
113,113,47
114,113,47
115,117,49
116,116,48
117,117,49
118,110,46
119,119,50
120,93,41
121,121,51
122,122,52
123,119,50
124,93,41
125,117,49
126,127,53
127,127,53
128,119,50
129,134,57
130,132,55
131,131,54
132,132,55
133,133,56
134,134,57
135,135,58
136,136,59
137,133,56
138,138,60
139,79,34
140,127,53
141,79,34
142,142,61
143,127,53
144,131,54
145,127,53
146,146,62
147,133,56
148,127,53
149,138,60
150,79,34
151,151,63
152,135,58
153,153,64
154,59,29
155,160,67
156,89,39
157,157,65
158,153,64
159,159,66
160,160,67
161,160,67
162,162,68
163,163,69
164,164,70
165,159,66
166,160,67
167,160,67
168,168,71
169,169,72
170,170,73
171,171,74
172,172,75
173,169,72
174,24,13
175,180,78
176,176,76
177,170,73
178,178,77
179,176,76
180,180,78
181,181,79
182,182,80
